"Name","IconSWF","IconExportName","Category"
"String","String","String","String"
"clan_badge_01_01","sc/ui.sc","clan_badge_01_01",
"clan_badge_01_02","sc/ui.sc","clan_badge_01_02",
"clan_badge_01_03","sc/ui.sc","clan_badge_01_03",
"clan_badge_01_04","sc/ui.sc","clan_badge_01_04",
"clan_badge_02_01","sc/ui.sc","clan_badge_02_01",
"clan_badge_02_02","sc/ui.sc","clan_badge_02_02",
"clan_badge_02_03","sc/ui.sc","clan_badge_02_03",
"clan_badge_02_04","sc/ui.sc","clan_badge_02_04",
"clan_badge_03_01","sc/ui.sc","clan_badge_03_01",
"clan_badge_03_02","sc/ui.sc","clan_badge_03_02",
"clan_badge_03_03","sc/ui.sc","clan_badge_03_03",
"clan_badge_03_04","sc/ui.sc","clan_badge_03_04",
"clan_badge_04_01","sc/ui.sc","clan_badge_04_01",
"clan_badge_04_02","sc/ui.sc","clan_badge_04_02",
"clan_badge_04_03","sc/ui.sc","clan_badge_04_03",
"clan_badge_04_04","sc/ui.sc","clan_badge_04_04",
"clan_badge_05_01","sc/ui.sc","clan_badge_05_01",
"clan_badge_05_02","sc/ui.sc","clan_badge_05_02",
"clan_badge_05_03","sc/ui.sc","clan_badge_05_03",
"clan_badge_05_04","sc/ui.sc","clan_badge_05_04",
