"Name","RequiredExpLevel","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName"
"string","int","int","string","string","string"
"base1",1,0,,"sc/ui.sc","player_icon_00"
"base2",10,0,,"sc/ui.sc","player_icon_01"
"base3",20,0,,"sc/ui.sc","player_icon_02"
"hero1",0,0,"ShotgunGirl","sc/ui.sc","player_icon_shelly"
"hero2",0,0,"Gunslinger","sc/ui.sc","player_icon_colt"
"hero3",0,0,"RocketGirl","sc/ui.sc","player_icon_brock"
"hero4",0,0,"Mechanic","sc/ui.sc","player_icon_jess"
"hero5",0,0,"Shaman","sc/ui.sc","player_icon_nita"
"hero6",0,0,"TntDude","sc/ui.sc","player_icon_mike"
"hero7",0,0,"Luchador","sc/ui.sc","player_icon_primo"
"hero8",0,0,"BullDude","sc/ui.sc","player_icon_bull"
"hero9",0,0,"TrickshotDude","sc/ui.sc","player_icon_rick"
"hero10",0,0,"Barkeep","sc/ui.sc","player_icon_barley"
"hero11",0,0,"DeadMariachi","sc/ui.sc","player_icon_poco"
"hero12",0,0,"Undertaker","sc/ui.sc","player_icon_mortis"
"hero13",0,0,"BowDude","sc/ui.sc","player_icon_bo"
"hero14",0,0,"Cactus","sc/ui.sc","player_icon_spike"
"hero15",0,0,"Crow","sc/ui.sc","player_icon_crow"
