"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","DistanceAddFromBounce","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent","CanGrowStronger","HideFaster","GrapplesEnemy"
"string","int","string","string","string","string","string","string","string","string","int","string","string","string","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","string","string","boolean","boolean","boolean","int","string","boolean","boolean","boolean","int","int","int","int","int","string","int","int","boolean","int","int","int","int","boolean","int","boolean","int","int","int","boolean","boolean","boolean"
"ShotgunGirlProjectile",2935,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlUltiProjectile",4130,"sc/effects.sc","shotgun_shell_ulti_blue","shotgun_shell_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,0,100,,,,,,"Smoke_Trail","true",,,,,"true","true",,70,,,,,,,,,,,,,,,,,,,,,
"GunslingerProjectile",3804,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,0,130,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunslingerUltiProjectile",4891,"sc/effects.sc","Bullet_blue_ulti","Bullet_blue_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",101,,,,,0,2,0,125,,,,,,"Gen_Trail_small","true",,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,
"BullDudeProjectile",2853,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,0,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlProjectile",3044,"sc/effects.sc","rocket1_projectile_blue","rocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,101,,,,,0,2,0,135,,"RocketGirlExplosion",,,,"Rocket_Trail","true",,,,"Use360Frames",,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlUltiProjectile",870,"sc/effects.sc","ballisticrocket1_projectile_blue","ballisticrocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,93,2,0,135,,"RocketGirlUltiExplosion",,,,"Rocket_Trail","true",,,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,,,
"TrickshotDudeProjectile",3478,"sc/effects.sc","Bouncy_bullet_blue","Bouncy_bullet_red","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",101,,,,,0,3,0,130,,,,,,"Gen_Trail_small","true",,"true",500,,,,,,,,,,,,,,,,,,,,,,,,"true",,
"TrickshotDudeUltiProjectile",4891,"sc/effects.sc","Bouncy_bullet_blue_ulti","Bouncy_bullet_red_ulti","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",101,,,,,0,3,0,130,,,,,,"Plasma_Trail","true",,"true",500,,"true",,,,,,,,,,,,,,,,,,,,,,"true",,
