"Name","Disabled","TID","TileSetPrefix","BgPrefix","SWF","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","LargeMap","CommunityCredit"
"string","boolean","string","string","string","string","int","int","int","int","int","int","string","string","string","string","int","int","int","int","string","boolean","string"
"Wanted1",,"TID_WANTED_1","oasis_",,"sc/oasis_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_1",0,66,66,60,,,
"Wanted2",,"TID_WANTED_3","oasis_",,"sc/oasis_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_3",0,66,66,60,,,
"Wanted3",,"TID_WANTED_4",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_3",100,0,0,60,,,
"Wanted4",,"TID_WANTED_5",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Gemgrab_2",100,0,0,60,,,
"Wanted5",,"TID_WANTED_6",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_4",100,0,0,60,,,
"Wanted6",,"TID_WANTED_7",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","BountyHunter","Wanted_5",100,0,0,60,,,
"Wanted7",,"TID_WANTED_2","oasis_",,"sc/oasis_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_oasis","BountyHunter","Wanted_2",0,66,66,60,,,
"Gemgrab1",,"TID_GOLDRUSH_1","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_1",0,0,100,60,,,
"Gemgrab2",,"TID_GOLDRUSH_2","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_2",0,0,100,60,,,
"Gemgrab3",,"TID_GOLDRUSH_3","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_3",0,0,100,60,,,
"Gemgrab4",,"TID_GOLDRUSH_4","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Wanted_3",0,0,100,60,,,
"Gemgrab5",,"TID_GOLDRUSH_5","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_5",0,0,100,60,,,
"Gemgrab6",,"TID_GOLDRUSH_6","mine_",,"sc/mine_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_gemmine","CoinRush","Gemgrab_4",0,0,100,60,,,
"Survival1",,"TID_BATTLE_ROYALE_1",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_1",100,0,0,60,,,
"Survival2",,"TID_BATTLE_ROYALE_2",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,,"OwenReds"
"Survival3",,"TID_BATTLE_ROYALE_3",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_3",100,0,0,60,,,
"Survival4",,"TID_BATTLE_ROYALE_4",,"survival_","sc/survival_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_stormvalley","BattleRoyale","Survival_4",100,0,0,60,,,
"Heist1",,"TID_BANKHEIST_1",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_1",100,0,0,60,,,
"Heist2",,"TID_BANKHEIST_2",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_2",100,0,0,60,,,
"Heist3",,"TID_BANKHEIST_3",,,"sc/canyon_level.sc",0,0,0,255,255,255,"sc/ui.sc","event_canyon","AttackDefend","Bankheist_3",100,0,0,60,,,
