"TID","CN"
"string","string"
"TID_BULL_DUDE_DESC","公牛布兰科就像是一头暴躁的公牛——手持双管猎枪横冲直撞。"
"TID_FIREWORKS_WEAPON_DESC","布洛克发射的火箭弹其射程相当惊人。"
"TID_TNT_DUDE_DESC","爆破麦克是个退休老矿工，他一直怀念以前工作时的美好时光——把东西炸飞！"
"TID_LUCHADOR_DESC","艾尔·普里莫曾经被外太空飞来的陨石砸中过，这一经历带给了他超人的力量和无与伦比的魅力。"
"TID_TRICKSHOT_DUDE_DESC","一个被更高级机器人淘汰掉的泳池清理机器人。现在弹射机器人依靠自己强大的角度计算能力成为了一名伟大的英雄。"
"TID_BARKEEP_DESC","巴利原本只想做一个普普通通的酒保。现在他打磨好了身上的零件——蒸汽涌现，酒瓶飞扬！"
"TID_MECHANIC_DESC","杰西是个乡下来的天才少女，她竟然可以用一堆废铜烂铁做出威力十足的炮台。"
"TID_SHAMAN_DESC","小脚丫妮塔是众多部族萨满中的年纪最小的一位，她的灵兽是大宝贝熊。"
"TID_UNDERTAKER_DESC","莫提斯的工作就是将人埋葬。尽管他骨瘦如柴，满面沧桑，但他的移动速度相当惊人。"
"TID_UNDERTAKER_ULTI_DESC","莫提斯召唤出一群蝙蝠，伤害敌人的同时能为自身恢复生命值，太恐怖了！"
"TID_CROW_DESC","这个高深莫测的生物只在小镇上出现过一天，没有人敢碰他的羽毛——不会再有人了。"
"TID_CROW_ULTI_DESC","黑鸦暂时飞到空中，在他起飞和落地的瞬间会向周围投掷出一圈淬毒的匕首。"
"TID_DEAD_MARIACHI_DESC","在自己的粉丝都被对手乐队吸引走后，波科醒着的每分每秒都在尝试找到那最美的旋律，他想要赢回自己失去的一切。"
"TID_DEAD_MARIACHI_WEAPON_DESC","波科弹吉他时会放出一波接一波刺耳的琴声，对被音浪波及的对手造成伤害。"
"TID_BOW_DUDE_DESC","驯鹰猎人阿博是部族历史上最伟大的弓箭手，他射出的箭看上去朴实无华，威力却不容小窥！"
"TID_BOW_DUDE_WEAPON_DESC","阿博一次发射三枚爆炸性箭矢，这些箭矢会像鹰爪一般抓伤对手。"
"TID_SNIPER_DESC","小胡椒德拉普瑞姆一直都是一位绝色女英雄，她身手十分全面，她的精准射击技巧更是炉火纯青。"
"TID_SNIPER_WEAPON_DESC","小胡椒的特制阳伞可以从伞顶发射子弹狙击敌人，子弹飞行的距离越远，造成的伤害越大！"
"TID_SNIPER_ULTI_DESC","小胡椒向一旁跳开，以躲避那些企图接近她的\q追求者\q。不过她还是会让他们感受一点名媛的\q青睐\q：三颗藏在她吊带袜中的手榴弹。"
"TID_MINIGUN_DUDE_DESC","帕姆是一名拥有钢铁般意志的女士，她把扩张后的拾荒者家族管理得井然有序。"
"TID_BONE_THROWER_DESC","不要小看这个枪手！他能随手拿起巨型机关枪，轻松扫平无数坏蛋。"
"TID_BONE_THROWER_WEAPON_DESC","这个大个子能够轻而易举拿起这架巨大的机关枪，甚至能一边开火一边前进！"
"TID_BONE_THROWER_ULTI_DESC","枪林弹雨中不免会受些皮肉伤，而这台绷带分发装置能让您和您的队友都保持奋战的活力。"
"TID_BLACK_HOLE_DESC","这位来自远方的神秘人为了解读众人的命运而来。你的塔罗牌上写了什么？只有简单的两个字：战败！"
"TID_BLACK_HOLE_WEAPON_DESC","塔拉轻抖手腕，以迅雷之势甩出三张塔罗牌射伤对手。这技艺真是出神入化！"
"TID_STAT_DAMAGE_PER_SECOND","每秒伤害"
"TID_STAT_DAMAGE_PER_SECOND_EACH","每秒伤害"
"TID_STAT_DAMAGE_PER_STRIKE","每击伤害"
"TID_ROBOT_DESC","为服务而生，为破坏代言。"
"TID_ROBOT_WEAPON_DESC","副官艾恩斯利用与生俱来的机械精度发射爆炸火箭，可以攻击到超远距离外的敌军。"
"TID_ROBOT_ULTI_DESC","如果需要使用非常手段，副官艾恩斯可以发射大量火箭，这些火箭将从天而降，对密集的敌军造成重大打击。"
"TID_ARMOR_STAT","生命值"
"TID_HEALTH","生命值"
"TID_STAT_GRENADE_DAMAGE","单个手榴弹伤害"
"TID_STAT_MISSILE_DAMAGE","单发火箭伤害"
"TID_STAT_HEALTH","生命值"
"TID_STAT_SPEED","速度"
"TID_STAT_DAMAGE","伤害"
"TID_STAT_DAMAGE_PER_SHOT","单发伤害"
"TID_STAT_DAMAGE_PER_SHELL","单发霰弹伤害"
"TID_STAT_HAMMER_DAMAGE","每0.2秒伤害"
"TID_QUIT","退出"
"TID_MATCHMAKING_QUIT","退出"
"TID_MATCHMAKING_HEADING","正在搜索玩家"
"TID_MATCHMAKING_TIME_LABEL","离对战开始还有："
"TID_MATCHMAKING_PLAYERS","已找到玩家 <x>/<y>"
"TID_BUTTON_CANCEL","取消"
"TID_BUTTON_OK","确定"
"TID_ENTER_NAME_TITLE","欢迎来到《荒野乱斗》！"
"TID_ENTER_NAME_BODY","您叫什么名字？"
"TID_TIME_DAYS","天"
"TID_TIME_HOURS","小时"
"TID_MATCHMAKING_TIME","<TIME>后开始"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","错误！"
"TID_ERROR_POP_UP_OUT_OF_SYNC","客户端与服务器不同步！"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","重新加载"
"TID_ERROR_POP_UP_CONNECTION_FAILED_TITLE","连接错误"
"TID_ERROR_POP_UP_CONNECTION_FAILED","无法连接服务器，请检查您的网络连接后再次尝试。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","重试"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","登录失败"
"TID_ERROR_POP_UP_LOGIN_FAILED","请稍后再次尝试。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","重试"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","还在吗？"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","点击下方按钮重新载入游戏。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","重新载入游戏"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","可以更新啦！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","好消息！《荒野乱斗》有新版本啦。"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","更新"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","系统维护中"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","抱歉，服务器正在维护。请您先休息一会儿，稍后重试。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","重试"
"TID_ERROR_POP_UP_BANNED_TITLE","您的账号已被封禁！"
"TID_ERROR_POP_UP_BANNED","您的账号已被临时封禁"
"TID_ERROR_POP_UP_BANNED_BUTTON","确定"
"TID_ERROR_POP_UP_BANNED_BUTTON_CONTACT_PS","联系玩家支持"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","查看详情"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","重要通知"
"TID_INFO_POP_UP_IAP_NOTE","《荒野乱斗》是一款免费游戏，但您可以使用应用内购买加速游戏进度（您可以在设备的设置中关闭此购买功能）。轻按确定以接受我们的服务条款与隐私保护政策。"
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","确定"
"TID_SERVER_ERROR_TITLE","服务器错误<number>"
"TID_SERVER_ERROR","您在战斗时掉线了。"
"TID_SERVER_ERROR_BUTTON","确定"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","连接中断"
"TID_ERROR_POP_UP_CONNECTION_LOST","请重新登录！"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","重新登录"
"TID_TROPHIES","奖杯"
"TID_READY","准备就绪"
"TID_BATTLE_END_TITLE_DRAW","平局"
"TID_BATTLE_END_TITLE_COOP_SURVIVAL","存活了<TIME>"
"TID_BATTLE_END_DEATHMATCH_VICTORY","您是第1名！"
"TID_BATTLE_END_DEATHMATCH_DEFEAT","第<RANK>名"
"TID_BATTLE_END_NEXT","下一步"
"TID_BATTLE_END_TAP","轻击以继续"
"TID_RESPAWNING","<n1>秒后重生"
"TID_TEAM_ENTRY_GAME_INFO","位于<LOC>的<MODE>"
"TID_TEAM_MEMBER_LEFT_0","您已退出房间。"
"TID_TEAM_MEMBER_LEFT_1","您已被踢出了房间。"
"TID_TEAM_GAME_STARTING","游戏开始"
"TID_TEAM_CODE_COPIED","房间代码已复制到剪贴板"
"TID_TEAM_ERROR_1","房间服务器错误"
"TID_TEAM_ERROR_2","无法加入房间，房间已满。"
"TID_TEAM_ERROR_3","无法加入房间，房间已关闭。"
"TID_TEAM_ERROR_5","房间代码无效，请检查房间代码是否正确。"
"TID_TEAM_ERROR_6","根据该房间代码未找到相应房间。"
"TID_TEAM_ERROR_7","无法加入房间，您无法加入踢出过您的房间。"
"TID_TEAM_ERROR_8","请检查队伍分配，任何队伍的人数都不能超过3人。"
