"TID","EN"
"string","string"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTORY</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DEFEAT</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>DRAW</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANK <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANK <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> ago"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","BATTLE LOG"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Survived for <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Defeated Boss in <TIME>"
"TID_BATTLE_LOG_MVP","STAR PLAYER"
"TID_BATTLE_LOG_FRIENDLY","FRIENDLY"
"TID_BATTLE_LOG_PVP","RANKED"
"TID_BATTLE_LOG_NO_ENTRIES","NO ENTRIES"
"TID_BATTLE_LOG_THIS_IS_A_BOT","This is a bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays currently disabled"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","No replay available yet"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Replay no longer available!"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Failed to add friend"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Friend link has expired!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Unable to add friend, their friend list is full!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Unable to add friend, your friend list is full!"
"TID_ADD_FRIEND_FAILED_BANNED","Unable to add friend, user is banned!"
"TID_KEYPOOL_KEYS_REMAINING","<VALUE> left"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> keys in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Next Reward"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirm Alternative Reward"
"TID_RANK_UP_REWARD_REPLACED_POWER","None of your Brawlers can be selected to receive <AMOUNT> power points.\n\nClaim the alternative reward instead?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Since you already have <NAME> you will get the alternative reward."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Send friend request"
"TID_PLAYER_INFO_REMOVE_FRIEND","Remove from friend list"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Friend request sent"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","in-game\nfriend"
"TID_POWER_POINTS","POWER POINTS"
"TID_HERO_INFO_LEVEL","LEVEL"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","UPGRADE TO LEVEL <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TAP AGAIN TO CONFIRM"
"TID_HERO_INFO_MAX_LEVEL","MAX LEVEL"
"TID_HERO_INFO_MORE_POWER_NEEDED","Collect more power to upgrade!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler does not have enough Power Points"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","You don't have enough Coins!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler already at maximum level!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<ccc0000><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","STARTING BRAWLER"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Player reported!"
"TID_TOO_MANY_REPORTS_SENT","Your daily reporting limit has been exceeded!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Please wait before sending another report"
"TID_CHOOSE_CHARACTER","CHOOSE BRAWLER"
"TID_ARMOR","HEALTH"
"TID_ARMOR_DESC","Represents how much sustained damage the Brawler can absorb before going down."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shelly's spread-fire shotgun blasts the other team with buckshot. Her Super destroys cover and keeps her opponents at a distance."
"TID_LONG_RANGE_SHOTGUN","BUCKSHOT"
"TID_LONG_RANGE_SHOTGUN_DESC","Shelly's boomstick fires a wide spread of pellets to a medium range. The more pellets hit, the greater the damage."
"TID_MEGA_BLASH_ULTI","SUPER SHELL"
"TID_MEGA_BLASH_ULTI_DESC","Shelly's Super Shell obliterates both cover and enemies. Any survivors get knocked back."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt admires his accuracy when he lights 'em up with his shiny pistols. His Super shreds cover and extends the bullet barrage."
"TID_RAPID_FIRE","SIX-SHOOTERS"
"TID_RAPID_FIRE_DESC","Colt shoots six straight long-range shots out of his revolvers."
"TID_RAPID_FIRE_ULTI","BULLET STORM"
"TID_RAPID_FIRE_ULTI_DESC","Colt rattles off a massive burst of bullets that shoot extra far and destroy cover."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull Blanco is like a bull in a China Shop. A bull with a double barrel shotgun."
"TID_SHOTGUN_BLAST","DOUBLE-BARREL"
"TID_SHOTGUN_BLAST_DESC","Bull's double-barreled shotgun deals heavy damage. It has very short range, so Bull likes to get up close and personal."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull puts his head down and bulldozes through opponents and obstacles. He's always been headstrong!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","When Brock's not lighting up the battle with rockets, he's lighting up the dance floor with his smooth moves."
"TID_FIREWORKS_WEAPON","ROCKIN' ROCKET"
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance."
"TID_FIREWORKS_ULTI","ROCKET RAIN"
"TID_FIREWORKS_ULTI_DESC","Brock fires a rocket barrage that takes out enemies and obstacles. He only wants to see you bathing in the Rocket Rain!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike is a retired miner who misses the favorite part of his old job - blowing stuff up!"
"TID_MORTAR","SHORT FUSE"
"TID_MORTAR_DESC","Mike tosses two sticks of dynamite, passing over any obstacles in the way. The fuses are cut as short as Mike's explosive temper!"
