"TID","KR"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","참가 요청 실패: 이미 다른 팀에 참가했습니다."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","참가 요청 실패: 보류 중인 팀 초대 요청이 있습니다."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","참가 요청 실패: 보류 중인 팀 참가 요청이 있습니다."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","팀 참가 요청 취소"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","팀에 참가하고 싶어요!"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>승리</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>패배</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>무승부</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>위</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>위</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>위</c>"
"TID_BATTLE_LOG_AGE","<TIME> 전"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","Lv"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","전투 기록"
"TID_BATTLE_LOG_REPLAY","리플레이"
"TID_BATTLE_LOG_SURVIVED_FOR","생존 시간: <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","빅 브롤러 처치 시간: <TIME>"
"TID_BATTLE_LOG_MVP","스타 플레이어"
"TID_BATTLE_LOG_FRIENDLY","친선전"
"TID_BATTLE_LOG_PVP","경쟁전"
"TID_BATTLE_LOG_NO_ENTRIES","전투 기록이 없습니다."
"TID_BATTLE_LOG_THIS_IS_A_BOT","AI 브롤러입니다."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","리플레이 불가"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","리플레이 없음"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","리플레이 만료"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","친구를 추가하지 못했습니다!"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","친구 링크가 만료되었습니다!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","친구를 추가할 수 없습니다. 해당 친구의 친구 목록이 가득 찼습니다!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","친구를 추가할 수 없습니다. 내 친구 목록이 가득 찼습니다!"
"TID_ADD_FRIEND_FAILED_BANNED","친구를 추가할 수 없습니다. 사용자가 차단되었습니다!"
"TID_KEYPOOL_KEYS_REMAINING","남은 토큰: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","<TIME> 후 토큰 +<KEYS>개"
"TID_TOP_HUD_NEXT_REWARD","다음 보상"
"TID_RANK_UP_REWARD_REPLACED_TITLE","대체 보상 확인"
"TID_RANK_UP_REWARD_REPLACED_POWER","<AMOUNT> PP를 받을 수 있는 브롤러가 없습니다.\n\n대체 보상이 지급됩니다."
"TID_RANK_UP_REWARD_REPLACED_HERO","이미 <NAME> 브롤러를 보유하여 대체 보상이 지급됩니다."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","친구 요청\n보내기"
"TID_PLAYER_INFO_REMOVE_FRIEND","친구 목록에서 삭제"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","친구 요청\n전송 완료"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","게임 친구"
"TID_POWER_POINTS","PP"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_RANK","RANK"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","<LVL> 파워 레벨로 업그레이드"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","확인하려면 다시 탭하세요!"
"TID_HERO_INFO_MAX_LEVEL","최대 파워 레벨"
"TID_HERO_INFO_MORE_POWER_NEEDED","더 많은 PP를 모아 업그레이드하세요!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","PP가 부족합니다!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","코인이 부족합니다!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","브롤러가 이미 최대 파워 레벨입니다!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","기본 브롤러"
"TID_PLAYER_REPORTED_SUCCESSFULLY","플레이어 신고 완료!"
"TID_TOO_MANY_REPORTS_SENT","일일 신고 횟수 제한을 초과했습니다!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","다른 신고 접수가 가능하기까지 기다려 주세요!"
"TID_CHOOSE_CHARACTER","브롤러 선택"
"TID_ARMOR","HP"
"TID_ARMOR_DESC","브롤러가 처치되기 전까지 버틸 수 있는 피해량을 나타냅니다."
"TID_SHOTGUN_GIRL","쉘리"
"TID_SHOTGUN_GIRL_DESC","넓게 퍼지는 산탄으로 적을 날려버립니다. 특수 공격으로 지형물을 파괴하고 적이 가까지 오지 못하도록 밀어낼 수 있습니다!"
"TID_LONG_RANGE_SHOTGUN","산탄총"
"TID_LONG_RANGE_SHOTGUN_DESC","부채꼴로 산탄을 쏴 중거리까지 피해를 줍니다. 적이 산탄에 많이 맞을수록 더 큰 피해를 줍니다."
"TID_MEGA_BLASH_ULTI","슈퍼 쉘"
"TID_MEGA_BLASH_ULTI_DESC","쉘리의 슈퍼 쉘은 적을 지형물과 함께 깔끔히 날려버립니다. 살아남은 적은 뒤로 밀려납니다."
"TID_GUNSLINGER","콜트"
"TID_GUNSLINGER_DESC","양손의 리볼버를 연발합니다. 특수 공격으로 지형물을 산산조각내고 더 먼 거리까지 피해를 줄 수 있습니다!"
"TID_RAPID_FIRE","6연발 리볼버"
"TID_RAPID_FIRE_DESC","일직선으로 6발을 연속으로 발사합니다."
"TID_RAPID_FIRE_ULTI","불렛 스톰"
"TID_RAPID_FIRE_ULTI_DESC","더 먼 거리까지 대량의 탄환을 발사해 피해를 주고 지형물을 파괴합니다."
"TID_BULL_DUDE","불"
"TID_BULL_DUDE_DESC","산탄총으로 근거리 대상에게 엄청난 피해를 줍니다. 특수 공격으로 장애물을 뚫고 빠르게 돌진해 적을 뒤로 밀어버립니다!"
"TID_SHOTGUN_BLAST","더블 배럴"
"TID_SHOTGUN_BLAST_DESC","불의 이중총열 산탄총은 큰 피해를 줄 수 있지만, 사거리가 짧아 적 가까이 다가가야 합니다."
"TID_CHARGE","불도저"
"TID_CHARGE_DESC","불도저처럼 빠르게 돌진해 적과 지형물을 밀어버립니다. 장애물 뒤에 숨어도 안전하지 않습니다!"
"TID_ROCKET_GIRL","브록"
"TID_ROCKET_GIRL_DESC","장거리 폭발 로켓을 발사합니다. 특수 공격으로 지형물을 제거하는 로켓을 집중 포화합니다!"
"TID_FIREWORKS_WEAPON","락 앤 로켓"
"TID_FIREWORKS_WEAPON_DESC","아주 먼 거리까지 날아가는 단발식 로켓포를 발사합니다."
"TID_FIREWORKS_ULTI","로켓 레인"
"TID_FIREWORKS_ULTI_DESC","적과 지형물을 제거하는 로켓을 퍼부어 집중포화에 허우적대는 상대의 모습을 보며 뿌듯해 합니다."
"TID_TNT_DUDE","다이너마이크"
"TID_TNT_DUDE_DESC","다이너마이트 두 개를 던집니다. 특수 공격으로 다이너마이트가 가득 찬 배럴을 던져 지형물까지 파괴합니다!"
"TID_MORTAR","다이너마이트 투척"
"TID_MORTAR_DESC","경로상의 모든 지형물을 무시하며 날아가는 다이너마이트 두 개를 투척합니다. 참을성 없는 다이너마이크는 도화선도 짧게 잘라놨습니다!"
"TID_MORTAR_ULTI","빅 배럴 붐"
"TID_MORTAR_ULTI_DESC","다이너마이트로 가득 찬 배럴을 던져 폭발시킵니다. 폭발의 영향에 살아남은 적은 뒤로 밀려납니다!"
"TID_LUCHADOR","엘 프리모"
"TID_LUCHADOR_DESC","적에게 분노의 주먹을 날립니다. 특수 공격으로 높이 점프한 뒤 팔꿈치로 범위 안에 있는 적에게 피해를 줍니다!"
"TID_LUCHADOR_WEAPON","분노의 주먹"
"TID_LUCHADOR_WEAPON_DESC","분노로 불타오르는 주먹을 4번 연속 날립니다. 매운 주먹맛 좀 보실래요?"
"TID_LUCHADOR_ULTI","플라잉 엘보 드롭"
"TID_LUCHADOR_ULTI_DESC","높이 점프한 뒤 팔꿈치로 적을 때려눕히고 지형물을 파괴합니다!"
"TID_TRICKSHOT_DUDE","리코셰"
"TID_TRICKSHOT_DUDE_DESC","벽에 튕겨 나오는 탄환을 연발합니다. 특수 공격으로 적을 관통하고 사거리가 긴 탄환을 발사합니다!"
"TID_TRICKSHOT_DUDE_WEAPON","통통탄"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","벽에 맞고 튕겨 나온 탄환은 더 먼 거리까지 공격합니다. 지형물 뒤도 안전하진 않습니다!"
"TID_TRICKSHOT_DUDE_ULTI","트릭샷"
"TID_TRICKSHOT_DUDE_ULTI_DESC","적을 관통하는 사거리가 긴 탄환을 연발합니다. 벽에 튕겨 나온 탄환은 더 먼 거리까지 공격합니다."
"TID_CACTUS","스파이크"
"TID_CACTUS_DESC","가시 수류탄을 투척합니다. 특수 공격으로 가시 선인장밭을 만들어 적을 느리게 만들고 피해를 줍니다!"
"TID_CACTUS_WEAPON","가시 수류탄"
"TID_CACTUS_WEAPON_DESC","폭발할 때 사방으로 가시가 튀어나오는 작은 선인장을 투척합니다."
"TID_CACTUS_ULTI","선인장 파티"
"TID_CACTUS_ULTI_DESC","스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다."
"TID_BARKEEP","발리"
"TID_BARKEEP_DESC","적에게 병을 투척해 광역 피해를 줍니다. 특수 공격으로 병을 던져 불바다를 만듭니다!"
"TID_BARKEEP_WEAPON","병 투척"
"TID_BARKEEP_WEAPON_DESC","발리가 던진 병이 깨지면서 적에게 피해를 주고, 쏟아져 나온 내용물 위에 서 있는 적에게 지속 피해를 줍니다."
"TID_BARKEEP_ULTI","라스트 콜"
"TID_BARKEEP_ULTI_DESC","병을 던져 넓은 지역을 불바다로 만듭니다. 발리의 특별 서비스입니다!"
"TID_MECHANIC","제시"
"TID_MECHANIC_DESC","적에게 에너지 볼을 발사합니다. 특수 공격으로 귀엽지만 치명적인 터렛을 설치합니다!"
"TID_MECHANIC_WEAPON","쇼크 라이플"
"TID_MECHANIC_WEAPON_DESC","에너지 볼을 발사합니다. 에너지 볼이 적에게 맞으면, 범위 안에 있는 다른 적에게 튕겨 나가 최대 3명에게 피해를 줍니다."
"TID_MECHANIC_ULTI","터렛 설치"
"TID_MECHANIC_ULTI_DESC","자동으로 적을 공격하는 터렛을 설치합니다. 100% 재활용 고철로 만들어졌습니다!"
"TID_SHAMAN","니타"
"TID_SHAMAN_DESC","충격파를 쏴서 적에게 피해를 줍니다. 특수 공격으로 거대한 곰을 소환해 함께 싸웁니다!"
"TID_SHAMAN_WEAPON","포효"
"TID_SHAMAN_WEAPON_DESC","전방으로 충격파를 쏴 범위 안에 있는 적에게 피해를 줍니다."
"TID_SHAMAN_ULTI","곰 소환"
