"TID","DE"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Beitrittsanfrage fehlgeschlagen. Du bist bereits in einem Team."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Teameinladung."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Senden der Beitrittsanfrage fehlgeschlagen. Du hast eine ausstehende Beitrittsanfrage."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Beitrittsanfrage abgebrochen."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","ICH MÖCHTE DEINEM TEAM BEITRETEN"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>SIEG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>NIEDERLAGE</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>UNENTSCHIEDEN</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc><RANK>. PLATZ</c>"
"TID_BATTLE_LOG_AGE","Vor <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS."
"TID_BATTLE_LOG_TITLE","KAMPFLOG"
"TID_BATTLE_LOG_REPLAY","WIEDERH."
"TID_BATTLE_LOG_SURVIVED_FOR","<TIME> lang überlebt"
"TID_BATTLE_LOG_VICTORY_IN","Riesenbrawler in <TIME> besiegt"
"TID_BATTLE_LOG_MVP","STARSPIELER"
"TID_BATTLE_LOG_FRIENDLY","TESTSPIEL"
"TID_BATTLE_LOG_PVP","RANGLISTENSPIEL"
"TID_BATTLE_LOG_NO_ENTRIES","KEINE EINTRÄGE"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Dies ist ein Bot."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Wiederholungen sind vorübergehend deaktiviert."
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Noch keine Wiederholung."
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Wiederholung nicht verfügbar!"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Fehler beim Hinzufügen von Freund"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Freundschaftslink abgelaufen!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Freund kann nicht hinzugefügt werden. Seine Freundesliste ist voll!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Freund kann nicht hinzugefügt werden. Deine Freundesliste ist voll!"
"TID_ADD_FRIEND_FAILED_BANNED","Freund kann nicht hinzugefügt werden. Der Spieler ist gesperrt!"
"TID_KEYPOOL_KEYS_REMAINING","Noch <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> Marken in <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Nächste Belohnung"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Alternative Belohnung bestätigen"
"TID_RANK_UP_REWARD_REPLACED_POWER","Keiner deiner Brawler kann die <AMOUNT> Powerpunkte erhalten.\n\nStattdessen alternative Belohnung einfordern?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Du hast <NAME> bereits freigeschaltet. Daher bekommst du die alternative Belohnung."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","FREUNDES-\nANFRAGE"
"TID_PLAYER_INFO_REMOVE_FRIEND","Aus Freundesliste entfernen"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","ANFRAGE GESENDET"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","INGAME-\nFREUND"
"TID_POWER_POINTS","POWERPUNKTE"
"TID_HERO_INFO_LEVEL","POWER"
"TID_HERO_INFO_RANK","RANG"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","AUF POWERLEVEL <LVL> UPGRADEN"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","ZUM BESTÄTIGEN ERNEUT TIPPEN"
"TID_HERO_INFO_MAX_LEVEL","MAX. POWER"
"TID_HERO_INFO_MORE_POWER_NEEDED","Für dieses Upgrade musst du mehr Power sammeln!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Brawler hat nicht genug Powerpunkte!"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Du hast nicht genug Münzen!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Brawler ist schon auf dem höchsten Powerlevel!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ERSTER BRAWLER"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Spieler gemeldet!"
"TID_TOO_MANY_REPORTS_SENT","Dein tägliches Meldelimit wurde überschritten!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Warte bitte, bevor du eine weitere Meldung schickst."
"TID_CHOOSE_CHARACTER","WÄHLE EINEN BRAWLER"
"TID_ARMOR","TREFFERPUNKTE"
"TID_ARMOR_DESC","Zeigt an, wie viel kontinuierlichen Schaden ein Brawler einstecken kann, bevor er besiegt ist."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Shellys Shotgun beschießt Gegner mit Streufeuer. Ihr Superskill zerstört Deckungen und hält Feinde auf Distanz!"
"TID_LONG_RANGE_SHOTGUN","STREUSCHUSS"
"TID_LONG_RANGE_SHOTGUN_DESC","Shellys Schießeisen feuert eine weit gestreute Schrotsalve mit mittlerer Reichweite. Je mehr Kugeln treffen, desto größer ist der Schaden."
"TID_MEGA_BLASH_ULTI","SUPERSCHROT"
"TID_MEGA_BLASH_ULTI_DESC","Shellys Superschrot macht sowohl Deckungen als auch Gegner dem Erdboden gleich. Wer davon noch nicht erledigt wird, wird zurückgestoßen."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Mit seinen zwei Revolvern kann Colt präzise Salven verschießen. Sein Superskill hat eine hohe Reichweite und mäht Deckungen nieder!"
"TID_RAPID_FIRE","SECHSERSCHUSS"
"TID_RAPID_FIRE_DESC","Colt verschießt sechs Schüsse mit großer Reichweite aus seinen glänzenden Revolvern."
"TID_RAPID_FIRE_ULTI","KUGELHAGEL"
"TID_RAPID_FIRE_ULTI_DESC","Colt ballert eine massive Salve an Kugeln, die Deckungen zerstören und eine extrem hohe Reichweite haben."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bulls Schrotflinte teilt aus der Nähe großen Schaden aus. Mit seinem Superskill stürmt er vorwärts, wodurch er Hindernisse zerstört und Gegner zurückstößt."
"TID_SHOTGUN_BLAST","DOPPELT KILLT BESSER"
"TID_SHOTGUN_BLAST_DESC","Bulls doppelläufige Schrotflinte teilt großen Schaden aus. Sie hat eine sehr geringe Reichweite - doch Bull macht es nichts aus, es ganz aus der Nähe mit seinen Gegnern aufzunehmen."
"TID_CHARGE","BULLDOZER"
"TID_CHARGE_DESC","Bull senkt seinen Kopf und rammt sich wild durch Gegner und Hindernisse. Er will mit dem Kopf durch die Wand - und ist damit echt erfolgreich!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock feuert eine explosive Rakete mit hoher Reichweite auf Gegner. Mit seinem Superskill verschießt er mehrere Raketen, die Feinde sowie Hindernisse hochjagen."
"TID_FIREWORKS_WEAPON","ROCKENDE RAKETE"
"TID_FIREWORKS_WEAPON_DESC","Brock verschießt eine rockende Rakete, die eine weite Entfernung zurücklegt."
"TID_FIREWORKS_ULTI","RAKETENREGEN"
"TID_FIREWORKS_ULTI_DESC","Brock feuert mehrere Raketen, die Feinde sowie Hindernisse hochjagen."
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike wirft zwei explosive Dynamitstangen. Sein Superskill ist eine riesige, mit Sprengstoff vollgestopfte Tonne, die Deckungen zerstört."
"TID_MORTAR","KURZE LUNTE"
"TID_MORTAR_DESC","Mike wirft zwei Dynamitstangen, die über jedes Hindernis fliegen. Diese sind ebenso explosiv wie sein Temperament!"
"TID_MORTAR_ULTI","DONNERTONNE"
"TID_MORTAR_ULTI_DESC","Ein riesiges Fass, das bis zum Rand mit Sprengstoff vollgestopft ist und Deckungen hochjagt. Gegner werden bei der Explosion zurückgestoßen!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo greift seine Gegner mit einem Hagel an Fäusten an. Sein Superskill ist ein Ellenbogen-Drop, der allen Getroffenen Schaden zufügt."
"TID_LUCHADOR_WEAPON","FURORFÄUSTE"
"TID_LUCHADOR_WEAPON_DESC","El Primo pfeffert Feinden furios vier feurige Fäuste ins Face. Das ist Backenfutter mit Jalapeño-Geschmack!"
"TID_LUCHADOR_ULTI","FLYING ELBOW DROP"
"TID_LUCHADOR_ULTI_DESC","El Primo springt hoch in die Luft und landet mit einem intergalaktischen Ellenbogen-Drop, der Feinde wegstößt und Deckungen zerschmettert."
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet verschießt Kugeln, die von Wänden abprallen. Mit seinem Superskill feuert er eine lange Salve an Flummigeschossen, die Ziele durchdringen."
"TID_TRICKSHOT_DUDE_WEAPON","FLUMMIGESCHOSSE"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Ricochets Kugeln prallen von Wänden ab, bekommen dadurch eine höhere Reichweite und können Gegner hinter Deckungen treffen."
"TID_TRICKSHOT_DUDE_ULTI","TRICKSCHUSS"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet feuert eine lange Salve an Kugeln, die Feinde durchstoßen und von Wänden abprallen, wodurch sie eine höhere Reichweite bekommen."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike wirft Kaktusgranaten, die Nadeln fliegen lassen. Sein Superskill erzeugt ein Feld stacheliger Kakteen, die Feinden Schaden zufügen und sie verlangsamen."
"TID_CACTUS_WEAPON","NADELGRANATE"
"TID_CACTUS_WEAPON_DESC","Spike verschießt einen kleinen Kaktus, der explodiert und Nadeln in verschiedene Richtungen fliegen lässt."
"TID_CACTUS_ULTI","NADELBEET"
"TID_CACTUS_ULTI_DESC","Spike wirft eine dornige Granate. Feinde in ihrem Wirkungsbereich erleiden Schaden und werden verlangsamt."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley schleudert Flaschen auf Feinde und verursacht so Flächenschaden. Sein Superskill ist ein Bombardement mit brennenden Flaschen!"
"TID_BARKEEP_WEAPON","UNVERDÜNNT"
"TID_BARKEEP_WEAPON_DESC","Barley wirft eine Flasche, die auf dem Boden zerbricht und Feinden Schaden zufügt. Bleiben diese in der Pfütze stehen, erleiden sie Schaden über Zeit."
"TID_BARKEEP_ULTI","BRENNT IM ABGANG"
"TID_BARKEEP_ULTI_DESC","Barley schleudert brennende Flaschen, die einen großen Bereich in Brand setzen. Der geht aufs Haus!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Jessies Gewehr verschießt Energiekugeln, die von Feind zu Feind springen. Mit ihrem Superskill baut sie einen niedlichen, aber gefährlichen Geschützturm!"
"TID_MECHANIC_WEAPON","ENERGIEGEWEHR"
"TID_MECHANIC_WEAPON_DESC","Jessie verschießt eine Energiekugel. Nachdem diese ein Ziel trifft, springt sie auf das nächstgelegene Ziel über. So können bis zu drei Gegner getroffen werden."
"TID_MECHANIC_ULTI","RAMSCHI!"
"TID_MECHANIC_ULTI_DESC","Jessie baut einen Geschützturm auf, der automatisch auf Feinde schießt. Er besteht zu 100 % aus recyceltem Material!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita greift ihre Feinde mit einer donnernden Schockwelle an. Mit ihrem Superskill beschwört sie einen Bären, der sie im Kampf unterstützt!"
"TID_SHAMAN_WEAPON","ZERBÄRSTEN"
"TID_SHAMAN_WEAPON_DESC","Nita verursacht eine Schockwelle im Boden, die getroffenen Gegnern Schaden zufügt."
"TID_SHAMAN_ULTI","GUT BÄRSCHÜTZT"
"TID_SHAMAN_ULTI_DESC","Nita beschwört den Großen Babybären, der ihre Feinde angreift."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis schnellt mit jedem Schwung seiner Schaufel nach vorne. Mit seinem Superskill entsendet er eine Wolke an Fledermäusen, die Feinden Schaden zufügen und ihn heilen!"
"TID_UNDERTAKER_WEAPON","SCHAUFELSCHWINGER"
"TID_UNDERTAKER_WEAPON_DESC","Mortis schwingt seine Schaufel und schnellt vorwärts, wodurch sich für ihn Geschäftsgelegenheiten ergeben."
"TID_UNDERTAKER_ULTI","LEBENSRAUB"
"TID_UNDERTAKER_ULTI_DESC","Mortis ruft einen Schwarm blutsaugender Fledermäuse herbei, die Trefferpunkte seiner Gegner stehlen und ihn heilen. Gruselig!"
"TID_CROW","CROW"
"TID_CROW_DESC","Crow wirft ein Trio an vergifteten Dolchen. Mit seinem Superskill springt er in die Luft und schleudert sowohl beim Hochspringen als auch bei der Landung Dolche."
"TID_CROW_WEAPON","SPRINGMESSER"
"TID_CROW_WEAPON_DESC","Crow wirft drei Dolche. Durch die vergifteten Klingen erleiden Gegner auch nach dem Treffer noch Schaden über Zeit."
"TID_CROW_ULTI","STURZFLUG"
"TID_CROW_ULTI_DESC","Crow fliegt empor und wirft sowohl beim Hochfliegen als auch bei der Landung einen Ring vergifteter Dolche um sich."
"TID_DEAD_MARIACHI","POCO"
"TID_DEAD_MARIACHI_DESC","Poco beschießt Gegner mit Schallwellen, die Schaden verursachen. Mit seinem Superskill kann er sowohl sich als auch Verbündete heilen."
"TID_DEAD_MARIACHI_WEAPON","POWERAKKORD"
"TID_DEAD_MARIACHI_WEAPON_DESC","Poco spielt sein Guitarrón und verschießt so Schallwellen, die durch Mark und Bein gehen. Getroffene Gegner erleiden dadurch Schaden."
"TID_DEAD_MARIACHI_ULTI","ZUGABE"
"TID_DEAD_MARIACHI_ULTI_DESC","Poco heilt sich selbst sowie alle Verbündeten, die er mit seiner belebenden Melodie erreichen kann."
"TID_BOW_DUDE","BO"
"TID_BOW_DUDE_DESC","Bo verschießt drei explosive Pfeile. Mit seinem Superskill platziert er versteckte Minen auf dem Boden."
"TID_BOW_DUDE_WEAPON","ADLERAUGE"
"TID_BOW_DUDE_WEAPON_DESC","Bo verschießt drei Pfeile, die einschlagen wie explosive Adlerklauen."
"TID_BOW_DUDE_ULTI","FUCHSFALLE"
