"TID","FR"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Envoi de la demande impossible : vous êtes déjà dans une équipe."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Envoi de la demande impossible : vous avez une invitation en attente."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Envoi de la demande impossible : vous avez une demande en attente."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Demande annulée"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","Je veux rejoindre votre équipe !"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VICTOIRE</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DÉFAITE</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>ÉGALITÉ</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANG <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANG <RANK></c>"
"TID_BATTLE_LOG_AGE","Il y a <TIME>"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","NIV."
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","JOURNAL DE COMBAT"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","A survécu pendant <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Brawler géant vaincu en <TIME>"
"TID_BATTLE_LOG_MVP","JOUEUR STAR"
"TID_BATTLE_LOG_FRIENDLY","AMICAL"
"TID_BATTLE_LOG_PVP","CLASSÉ"
"TID_BATTLE_LOG_NO_ENTRIES","AUCUNE ENTRÉE"
"TID_BATTLE_LOG_THIS_IS_A_BOT","C'est un bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replay momentanément désactivé"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Aucun replay disponible"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Ce replay n'est plus disponible."
"TID_PLAYER_XP_LEVEL","NIVEAU"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Impossible d'ajouter cet ami"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Demande d'ami expirée"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Impossible d'ajouter cet ami, sa liste d'amis est pleine."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Impossible d'ajouter cet ami, votre liste d'amis est pleine."
"TID_ADD_FRIEND_FAILED_BANNED","Impossible d'ajouter cet ami, il a été banni."
"TID_KEYPOOL_KEYS_REMAINING","Reste : <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> jetons dans <TIME>"
