"TID","JP"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","すでにチームに参加しているため、参加リクエストを送信できません"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","保留中の招待があるため\n参加リクエストを送信できません"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","保留中のリクエストがあるため参加リクエストを送信できません"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","参加リクエストがキャンセルされました"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","チームに入れてください"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>勝利</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>敗北</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>引き分け</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>ランク<RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>ランク<RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>ランク<RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME>前"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","レベル"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","バトル履歴"
"TID_BATTLE_LOG_REPLAY","リプレイ"
"TID_BATTLE_LOG_SURVIVED_FOR","生存時間：<TIME>"
"TID_BATTLE_LOG_VICTORY_IN","巨大キャラ撃破まで：<TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","フレンドバトル"
"TID_BATTLE_LOG_PVP","ガチバトル"
"TID_BATTLE_LOG_NO_ENTRIES","履歴なし"
"TID_BATTLE_LOG_THIS_IS_A_BOT","これはボットです"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","リプレイは\n現在利用できません"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","リプレイは\nまだ利用できません"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","もう利用できない\nリプレイです！"
"TID_PLAYER_XP_LEVEL","レベル"
"TID_PLAYER_RANK_TIER_0","1"
"TID_PLAYER_RANK_TIER_1","2"
"TID_PLAYER_RANK_TIER_2","3"
"TID_PLAYER_RANK_TIER_3","4"
"TID_PLAYER_RANK_TIER_4","5"
"TID_PLAYER_RANK_TIER_5","6"
"TID_ADD_FRIEND_FAILED","フレンドを追加できません"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","フレンドリンクが期限切れです！"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","フレンドを追加できません。相手のフレンドリストが一杯です！"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","フレンドを追加できません。フレンドリストが一杯です！"
"TID_ADD_FRIEND_FAILED_BANNED","フレンドを追加できません。相手のアカウントは利用停止中です！"
"TID_KEYPOOL_KEYS_REMAINING","残り <VALUE>個"
"TID_KEYPOOL_NEXT_PATCH","<TIME>後に<KEYS>個追加"
"TID_TOP_HUD_NEXT_REWARD","次の報酬"
"TID_RANK_UP_REWARD_REPLACED_TITLE","代替報酬を確認"
"TID_RANK_UP_REWARD_REPLACED_POWER","<AMOUNT>パワーポイントを受け取れるキャラクターがいません。\n\n代替報酬を受け取りますか？"
"TID_RANK_UP_REWARD_REPLACED_HERO","すでに<NAME>を持っているため、代替報酬を受け取ります。"
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","フレンド申請"
"TID_PLAYER_INFO_REMOVE_FRIEND","フレンドリストから削除します"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","フレンド申請送信済"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","ゲーム内\nフレンド"
"TID_POWER_POINTS","パワーポイント"
"TID_HERO_INFO_LEVEL","パワー"
"TID_HERO_INFO_RANK","ランク"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","パワーレベル<LVL>にアップグレード"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","もう一度タップして確定"
"TID_HERO_INFO_MAX_LEVEL","最大パワー"
"TID_HERO_INFO_MORE_POWER_NEEDED","パワーポイントを集めてアップグレード！"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","キャラクターのパワーポイントが足りません"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","コインが足りません"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","キャラクターのパワーレベルはすでに最大です！"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","先発キャラクター"
"TID_PLAYER_REPORTED_SUCCESSFULLY","プレイヤーを報告しました！"
"TID_TOO_MANY_REPORTS_SENT","1日の最大報告数を超えています！"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","次の報告を行えるようになるまで、しばらくお待ちください"
"TID_CHOOSE_CHARACTER","キャラクターを選択"
"TID_ARMOR","HP"
"TID_ARMOR_DESC","キャラクターが倒されるまでに耐えられるダメージの量を示します。"
"TID_SHOTGUN_GIRL","シェリー"
"TID_SHOTGUN_GIRL_DESC","シェリーのバックショットは広範囲に広がって標的を襲う。必殺技は障害物を吹き飛ばし、敵も寄せ付けない。"
"TID_LONG_RANGE_SHOTGUN","バックショット"
"TID_LONG_RANGE_SHOTGUN_DESC","シェリーの武器は、広範囲に広がる中距離の散弾銃だ。命中した弾が多いほど、ダメージが大きくなる。"
"TID_MEGA_BLASH_ULTI","スーパーシェル"
"TID_MEGA_BLASH_ULTI_DESC","障害物も敵も吹き飛ばす高威力。やられなかった敵も押し戻してしまう。"
"TID_GUNSLINGER","コルト"
"TID_GUNSLINGER_DESC","コルトは両手に持ったピストルから正確な射撃を繰り出す。障害物も粉々にする必殺技は、強烈なうえに射程も一段と長い。"
"TID_RAPID_FIRE","シックスシューター"
