"TID","PT"
"string","string"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Não é possível enviar o pedido. Você já está numa equipe."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Não é possível enviar o pedido. Você tem convite de equipe pendente."
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Não é possível enviar o pedido. Você tem um pedido pendente."
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Pedido para equipe cancelado."
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","QUERO ENTRAR NA SUA EQUIPE"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>VITÓRIA</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>DERROTA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>EMPATE</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>CLASSIFICAÇÃO <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> atrás"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","NVL"
"TID_BATTLE_LOG_TVST_VERSUS","x"
"TID_BATTLE_LOG_TITLE","REGISTRO DE BATALHA"
"TID_BATTLE_LOG_REPLAY","REPLAY"
"TID_BATTLE_LOG_SURVIVED_FOR","Sobreviveu por <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Derrotou o Brawler Chefão em <TIME>"
"TID_BATTLE_LOG_MVP","CRAQUE"
"TID_BATTLE_LOG_FRIENDLY","AMISTOSO"
"TID_BATTLE_LOG_PVP","RANQUEADO"
"TID_BATTLE_LOG_NO_ENTRIES","NENHUMA ENTRADA AINDA"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Este é um Bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Replays desativados"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Ainda não há nenhum replay"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","O replay não está mais disponível!"
"TID_PLAYER_XP_LEVEL","NÍVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Falha ao iniciar amizade"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","O link de amizade expirou!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Não é possível fazer amizade com quem está com a lista de amigos cheia."
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Não é possível fazer amizade estando com a lista de amigos cheia."
"TID_ADD_FRIEND_FAILED_BANNED","Não é possível fazer amizade com quem foi banido."
"TID_KEYPOOL_KEYS_REMAINING","Chaves restantes: <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","+<KEYS> fichas em <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Próxima recompensa"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Confirmar a recompensa alternativa"
"TID_RANK_UP_REWARD_REPLACED_POWER","Nenhum dos seus Brawlers pode receber <AMOUNT> pontos de poder.\n\nColetar a recompensa alternativa?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Como já tem <NAME>, você ganhará a recompensa alternativa."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Enviar pedido de amizade"
"TID_PLAYER_INFO_REMOVE_FRIEND","Remover da lista de amigos"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Pedido de amizade enviado"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","Vocês\nsão amigos"
"TID_POWER_POINTS","PONTOS DE PODER"
"TID_HERO_INFO_LEVEL","PODER"
"TID_HERO_INFO_RANK","CLASSE"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","MELHORE PARA O NÍVEL DE PODER <LVL>"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","TOQUE DE NOVO PARA CONFIRMAR"
"TID_HERO_INFO_MAX_LEVEL","PODER MÁXIMO"
"TID_HERO_INFO_MORE_POWER_NEEDED","Colete mais pontos de poder para melhorar!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","O Brawler não tem pontos de poder suficientes"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Você não tem moedas suficientes!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","O Brawler já atingiu o nível de poder máximo!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","BRAWLER INICIAL"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Jogador denunciado!"
"TID_TOO_MANY_REPORTS_SENT","Você ultrapassou o limite de denúncias diárias!"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Aguarde antes de enviar outra denúncia."
"TID_CHOOSE_CHARACTER","ESCOLHA SEU BRAWLER"
"TID_ARMOR","SAÚDE"
"TID_ARMOR_DESC","Indica a quantidade de dano que o Brawler tolera antes de cair."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","A carabina de ampla propagação da Shelly detona a outra equipe com chumbo grosso. Seu Super destrói qualquer cobertura e mantém os adversários afastados!"
"TID_LONG_RANGE_SHOTGUN","CHUMBO GROSSO"
"TID_LONG_RANGE_SHOTGUN_DESC","A arma da Shelly dispara chumbinhos em grande amplitude e alcance médio. Quanto mais chumbinhos acertarem o alvo, maior o dano."
"TID_MEGA_BLASH_ULTI","SUPERBALA"
"TID_MEGA_BLASH_ULTI_DESC","A Superbala da Shelly oblitera coberturas e inimigos. Os sobreviventes são empurrados para longe."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt dispara uma rajada precisa de balas com suas pistolas duplas. O Super dele destrói cobertura e estende o bombardeio de balas!"
"TID_RAPID_FIRE","ESVAZIANDO O TAMBOR"
"TID_RAPID_FIRE_DESC","Colt dispara seis tiros rápidos de longo alcance com seus revólveres."
"TID_RAPID_FIRE_ULTI","TREM-BALA"
"TID_RAPID_FIRE_ULTI_DESC","Colt dispara uma rajada de balas de longo alcance que destrói cobertura."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull causa dano devastador de perto com sua escopeta. No Super, ele se lança através de barreiras e empurra os inimigos!"
"TID_SHOTGUN_BLAST","ENGATILHADO"
"TID_SHOTGUN_BLAST_DESC","A espingarda de cano duplo do Bull faz um grande estrago, mas tem curto alcance, então ele precisa se \qengatilhar\q nos outros rapidinho."
"TID_CHARGE","BULDÔZER"
"TID_CHARGE_DESC","De cabeça baixa, Bull ara o solo, os obstáculos e os adversários! Ele sempre foi cabeça-dura mesmo!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock dispara seu lança-foguetes de longo alcance contra seus inimigos. Seu Super é um bombardeio de foguetes balísticos que destroem qualquer cobertura!"
"TID_FIREWORKS_WEAPON","RUMO AO ESTRELATO"
"TID_FIREWORKS_WEAPON_DESC","Brock aposta tudo rumo ao estrelato lançando um único míssil de longo alcance."
"TID_FIREWORKS_ULTI","CHUVA DE FOGUETÓRIO"
"TID_FIREWORKS_ULTI_DESC","Brock dispara uma chuva de mísseis que detona inimigos e obstáculos. Nem mesmo o mais resistente dos guarda-chuvas pode com esse tipo de temporal!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Dynamike lança duas bananas de dinamite. Em seu Super, ele lança um barril cheio de dinamite que destrói as coberturas!"
"TID_MORTAR","PAVIO CURTO"
"TID_MORTAR_DESC","Mike arremessa duas dinamites que passam por qualquer obstáculo. O pavio é curto como o temperamento dele!"
"TID_MORTAR_ULTI","BARRIL BOMBÁSTICO"
"TID_MORTAR_ULTI_DESC","Um barril de dinamites detona os obstáculos, e os sobreviventes são empurrados no impacto!"
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo desfere uma onda de socos contra os inimigos. No Super, ele dá uma cotovelada aérea que causa dano em todos que estiverem embaixo!"
"TID_LUCHADOR_WEAPON","PUNHOS FURIOSOS"
"TID_LUCHADOR_WEAPON_DESC","El Primo dispara um turbilhão de punhos furiosamente incendiados. Vai um sanduíche de jalapeño e punhos aí?"
"TID_LUCHADOR_ULTI","ATAQUE DE COTOVELO"
"TID_LUCHADOR_ULTI_DESC","Das alturas, El Primo desfere uma cotovelada intergaláctica que repele os inimigos e destrói coberturas!"
"TID_TRICKSHOT_DUDE","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Ricochet dispara uma rajada de balas que quicam nas paredes. No Super, ele dispara uma longa rajada de balas quicantes que perfuram os alvos!"
"TID_TRICKSHOT_DUDE_WEAPON","BALAS QUICANTES"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","As balas disparadas ricocheteiam nas paredes, ampliando o alcance e também acertam inimigos atrás de proteção."
"TID_TRICKSHOT_DUDE_ULTI","TIRO PERENE"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Ricochet dispara uma rajada de balas que perfura os inimigos e ricocheteia nas paredes, ampliando o alcance."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Spike arremessa granadas de cactos que soltam espinhos por todo canto. Seu Super cria um campo de mamonas que desacelera e causa dano aos inimigos!"
"TID_CACTUS_WEAPON","CACTO EXPLOSIVO"
"TID_CACTUS_WEAPON_DESC","Spike atira um pequeno cacto que explode e lança espinhos em todas as direções."
"TID_CACTUS_ULTI","ESTÁTUA!"
"TID_CACTUS_ULTI_DESC","Spike lança uma granada de espinhos que causa dano e retarda os inimigos."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Barley ataca arremessando garrafas contra os inimigos, causando dano em área. O Super é um enorme bombardeio de garrafas flamejantes!"
"TID_BARKEEP_WEAPON","DOSE ÚNICA"
"TID_BARKEEP_WEAPON_DESC","Uma garrafa é lançada ao solo causando dano aos inimigos próximos. Se eles permanecerem na poça, o dano é ainda maior."
"TID_BARKEEP_ULTI","SAIDEIRA"
"TID_BARKEEP_ULTI_DESC","Barley atira várias garrafas incendiárias, espalhando fogo por uma grande área. Essa é cortesia da casa!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","A arma de choque da Jessie dispara esferas de energia que quicam entre os inimigos. No Super, ela invoca uma torreta fofa, mas com metralhadoras letais."
"TID_MECHANIC_WEAPON","ARMA DE CHOQUE"
"TID_MECHANIC_WEAPON_DESC","Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance."
"TID_MECHANIC_ULTI","LATA-VELHA"
"TID_MECHANIC_ULTI_DESC","Jessie mobiliza uma torreta totalmente reciclada que atira automaticamente nos inimigos!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita ataca os inimigos com ondas de choque estrondosas. O Super dela invoca um urso enorme que luta ao seu lado!"
"TID_SHAMAN_WEAPON","TREMOR"
"TID_SHAMAN_WEAPON_DESC","Nita cria um terremoto que causa dano aos inimigos atingidos por seu tremor."
"TID_SHAMAN_ULTI","GARRA DE URSO"
"TID_SHAMAN_ULTI_DESC","Nita invoca o espírito do Grande Bebê Urso para lhe dar uma mãozinha na caça aos inimigos."
"TID_UNDERTAKER","MORTIS"
"TID_UNDERTAKER_DESC","Mortis dá uma arrancada para frente a cada golpe com sua pá. No Super, ele envia uma nuvem de morcegos que causam dano nos inimigos e recuperam seus pontos de vida!"
"TID_UNDERTAKER_WEAPON","SETE PALMOS"
"TID_UNDERTAKER_WEAPON_DESC","Com arrancadas para a frente e tacadas precisas da sua pá, os negócios de Mortis vão de vento em popa."
"TID_UNDERTAKER_ULTI","TRANSFUSÃO"
"TID_UNDERTAKER_ULTI_DESC","Com uma ajudinha de morcegos-vampiros, Mortis suga a saúde dos inimigos para restaurar a sua própria. Que nojo!"
"TID_CROW","CORVO"
"TID_CROW_DESC","Corvo dispara três adagas envenenadas. No Super, ele salta e dispara adagas ao saltar e ao voltar ao solo!"
"TID_CROW_WEAPON","PUNHAL"
"TID_CROW_WEAPON_DESC","Corvo arremessa uma ameaça tripla de punhais. Os inimigos atingidos pelas lâminas envenenadas sofrem dano lentamente."
