"Name","OfferType","FileName","ShopItemAsset","ShopItemBg"
"String","int","String","String","String"
"FreeBox",0,"sc/ui.sc",,
"UpgradeMaterial",1,"sc/ui.sc","shop_item_resourses_coins","shop_price_wrapper_1"
"GuaranteedBox",2,"sc/ui.sc","shop_listitem_2","shop_price_wrapper_1"
"GuaranteedHero",3,"sc/ui.sc","shop_listitem_3","shop_price_wrapper_1"
"Skin",4,"sc/ui.sc","shop_listitem_4","shop_price_wrapper_1"
"StarPower",5,"sc/ui.sc","shop_listitem_5","shop_price_wrapper_1"
"BrawlBox",6,"sc/ui.sc","shop_listitem_6","shop_price_wrapper_1"
"Ticket",7,"sc/ui.sc","shop_listitem_7","shop_price_wrapper_1"
"HeroPower",8,"sc/ui.sc","shop_item_powerpoints",
"CoinDoubler",9,"sc/ui.sc","shop_listitem_9","shop_price_wrapper_1"
"BigBox",10,"sc/ui.sc","shop_listitem_10","shop_price_wrapper_1"
"Keys",11,"sc/ui.sc","shop_listitem_11","shop_price_wrapper_1"
"WildcardPower",12,"sc/ui.sc","shop_listitem_12","shop_price_wrapper_1"
"EventSlot",13,"sc/ui.sc","shop_listitem_13","shop_price_wrapper_1"
"MediumBox",14,"sc/ui.sc","shop_listitem_14","shop_price_wrapper_1"
"AdBox",15,"sc/ui.sc",,
"Gems",16,"sc/ui.sc","shop_item_resourses_gems","shop_price_wrapper_1"
