"Name","Conf","Campaign","ObtainType","PetSkin","CostGems","TID","InfoTID"
"String","String","int","int","String","int","string","String"
"BanditGirlDefault","BanditGirlDefault",,,,,,
"GunSlingerDefault","GunSlingerDefault",,,,,,
"GunSlingerRockstar","GunSlingerRockstar",,,,30,"TID_GUNSLINGER_ROCKSTAR_SKIN","TID_SKIN_INFO_NORMAL"
"BullGuyDefault","BullGuyDefault",,,,,,
"RocketGirlDefault","RocketGirlDefault",,,,,,
"RocketGirlBeach","RocketGirlBeach",,,,80,"TID_ROCKET_BEACH_SKIN","TID_SKIN_INFO_NORMAL"
"TntGuyDefault","TntGuyDefault",,,,,,
"LuchadorDefault","LuchadorDefault",,,,,,
"TurretDefault","TurretDefault",,,,,,
"TrickshotDefault","TrickshotDefault",,,,,,
"CactusDefault","CactusDefault",,,,,,
"CactusPink","CactusPink",,,,80,"TID_CACTUS_PINK_SKIN","TID_SKIN_INFO_FX"
"BarkeepDefault","BarkeepDefault",,,,,,
"MechanicDefault","MechanicDefault",,,"TurretDefault",,,
"ShamanDefault","ShamanDefault",,,"ShamanBearDefault",,,
"ShamanPanda","ShamanPanda",,,"ShamanBearPanda",30,"TID_SHAMAN_PANDA_SKIN","TID_SKIN_INFO_NORMAL_PET"
"ShamanBearDefault","ShamanBearDefault",,,,,,
"ShamanBearPanda","ShamanBearPanda",,,,,,
"UndertakerDefault","UndertakerDefault",,,,,,
"CrowDefault","CrowDefault",,,,,,
"CrowWhite","CrowWhite",,,,80,"TID_CROW_WHITE_SKIN","TID_SKIN_INFO_NORMAL"
"DeadMariachiDefault","DeadMariachiDefault",,,,,,
"BowDudeDefault","BowDudeDefault",,,,,,
"SniperDefault","SniperDefault",,,,,,
"MinigunDudeDefault","MinigunDudeDefault",,,"HealstationDefault",,,
"BullGuyHair","BullGuyHair",,,,80,"TID_BULL_HAIR_SKIN","TID_SKIN_INFO_NORMAL"
"TrickshotGold","TrickshotGold",,,,150,"TID_TRICKSHOT_GOLD_SKIN","TID_SKIN_INFO_FX"
"BarkeepGold","BarkeepGold",,,,30,"TID_BARKEEP_GOLD_SKIN","TID_SKIN_INFO_FX"
"LuchadorRudo","LuchadorRudo",,,,30,"TID_LUCHADOR_RUDO_SKIN","TID_SKIN_INFO_NORMAL"
"BanditGirlBandita","BanditGirlBandita",,,,30,"TID_SHOTGUN_BANDITA_SKIN","TID_SKIN_INFO_NORMAL"
"LuchadorRey","LuchadorRey",,,,80,"TID_LUCHADOR_KING_SKIN","TID_SKIN_INFO_NORMAL"
"BallDefault","BallDefault",,,,,,
"BlackholeDefault","BlackholeDefault",,,,,,
"HealstationDefault","HealstationDefault",,,,,,
"BarrelbotDefault","BarrelbotDefault",,,,,,
"BlackholePetDefault","BlackholePetDefault",,,,,,
"ShellyPetDefault","ShellyPetDefault",,,,,,
"RangedBotDefault","RangedBotDefault",,,,,,
