"Name","Loop","FollowParent","OwnScreenShake","OthersScreenShake","Time","Sound","Type","FileName","ExportName","ParticleEmitterName","Effect","Layer","FlashColor","Scale","FlashDuration","TextInstanceName","TextParentInstanceName","EnemyVersion","FlashWidth","EffectZ"
"string","boolean","boolean","int","int","int","string","string","string","string","string","string","string","int","int","int","string","string","string","int","int"
"Dummy_effect",,,,,,,,,,,,,,,,,,,,
"poisoned","true","true",,,,,"ParticleEmitter",,,"poisoned_particle",,"Object",,50,,,,,,
"Gen_Effect","true","true",,,,,"ParticleEmitter",,,"gen_round_particle",,"Object",,50,,,,,,
"shotgun_hit",,,,,,,"ParticleEmitter",,,"Hit_dust",,"Object",,,,,,,,
"no_hit",,,,,,,"ParticleEmitter",,,"no_hit_effect",,"Object",,,,,,,,
"hammer_attack",,,,,,,"ParticleEmitter",,,"Hit_dust",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hit_flash",,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hitfx_dot_blue_emitter",,"Above",,,,,,,,
"Electricity_hit_red",,,,,,"Jess_hit","ParticleEmitter",,,"Hit_dust",,"Above",,,,,,,,
,,,,,,,"SWF","sc/effects.sc","electricity_hit_red",,,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hitfx_dot_blue_emitter",,"Above",,,,,,,,
"Electricity_hit",,,,,,"Jess_hit","ParticleEmitter",,,"Hit_dust",,"Above",,,,,,"Electricity_hit_red",,
,,,,,,,"SWF","sc/effects.sc","electricity_hit",,,"Above",,,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hitfx_dot_blue_emitter",,"Above",,,,,,,,
"Poison_hit",,,,,,,"ParticleEmitter",,,"Hit_dust",,"Above",,200,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hit_flash",,"Above",,300,,,,,,
,,,,,,,"ParticleEmitter",,,"poison_trail_particle",,"Above",,300,,,,,,
,,,,,,,"SWF","sc/effects.sc","Poison_hit",,,"Above",,,,,,,,
"Gen_hit",,,,,,,"ParticleEmitter",,,"Hit_dust",,"Above",,200,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hit_flash",,"Above",,300,,,,,,
,,,,,,,"ParticleEmitter",,,"gen_hitfx_dot_blue_emitter",,"Above",,200,,,,,,
"Gen_Trail","true","true",,,,,"ParticleEmitter",,,"gen_trail_particle",,"Above",,50,,,,,,
"shotgun_trail_small","true","true",,,,,"ParticleEmitter",,,"shotgun_trail_small_particle",,"Above",,50,,,,,,
"poison_trail","true","true",,,,,"ParticleEmitter",,,"poison_trail_particle",,"Object",,50,,,,,,
"Gen_Trail_dust","true","true",,,,,"ParticleEmitter",,,"gen_trail_small_particle_smoke",,"Above",,50,,,,,,
"Gen_Trail_small","true","true",,,,,"ParticleEmitter",,,"gen_trail_small_particle",,"Above",,50,,,,,,
"Gen_Beam_Trail","true","true",,,,,"ParticleEmitter",,,"gen_beam_trail_particle",,"Above",,50,,,,,,
"Gen_Ground_fx",,,,,,,"Effect",,,,,"Ground",,,,,,,,
"Bats","true",,,,,,"ParticleEmitter",,,"bat_trail_emitter",,"Above",,50,,,,,,
"bear_spawn","true",,,,,"Nita_ulti_bear","ParticleEmitter",,,"magic_spark_exlposion",,"Above",,100,,,,,,
,,,,,,,"ParticleEmitter",,,"Gen_dust_emitter_big",,"Above",,100,,,,,,
"magic_Trail","true",,,,,,"ParticleEmitter",,,"magic_spark_trail_emitter",,"Above",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"electricity_ring_trail_emitter",,"Above",,,,,,,,
"electricity_Trail","true",,,,,,"ParticleEmitter",,,"electricity_spark_trail_emitter",,"Above",,50,,,,,,
,,,,,,,"ParticleEmitter",,,"electricity_ring_trail_emitter",,"Above",,,,,,,,
"Sniper_Trail","true",,,,,"Sniper_trail","ParticleEmitter",,,"sniper_trail_emitter",,"Above",,50,,,,,,
"Plasma_Trail","true",,,,,,"ParticleEmitter",,,"plasma_trail_emitter",,"Above",,50,,,,,,
,,,,,,,"ParticleEmitter",,,,,"Above",,,,,,,,
"Blink_old",,,,,70,,"ParticleEmitter",,,"Stunner",,"Object",,60,,,,,,
,,,,,,,"SWF","sc/effects.sc","ExplosionGroundGlowBlue",,,"Ground",,60,,,,,,
,,,,,130,,"SWF","sc/effects.sc","ElectricLightning",,,"Object",,60,,,,,,
,,,,,,,"SWF","sc/effects.sc","ElectricGlowBall",,,"Object",,60,,,,,,
,,,,,200,,"ScreenFlash",,,,,"Ground",-1258291201,60,,,,,,
"Plasmoid_glow",,,,,,,"SWF","sc/effects.sc","LevelUpGroundGlow",,,"Object",,20,,,,,,
,,,,,,,"SWF","sc/effects.sc","LevelUpFx",,,"Object",,,,,,,,
,,,,,,,"ScreenFlash",,,,,"Ground",-154,,,,,,,
"xp_bar_effect",,,,,,,"ParticleEmitter",,,"Death_sparkle_still1",,"Above",,,,,,,,
"Healing_old",,"true",,,,,"SWF",,,,,"Object",,100,,,,,,
"Immunity_old",,"true",,,,,"SWF",,,,,"Above",,100,,,,,,
"Blob_fx","true","true",,,,,"ParticleEmitter",,,"blob_fx_particles",,"Object",,,,,,,,
"Collect_plasmoid_old",,,,,70,"Orb_get","ParticleEmitter",,,"Stunner",,"Object",,60,,,,,,
