"Name","IconSWF","IconExportName","Target","RequiresCard","Type","Skill","Value","Value2","NumCards","Rarity","TID","PowerNumberTID","PowerNumber2TID","PowerIcon1ExportName","PowerIcon2ExportName"
"String","String","String","String","String","String","String","int","int","int","String","String","String","String","String","String"
"ShotgunGirl_unlock","sc/ui.sc",,"ShotgunGirl",,"unlock",,,,1,"common",,,,,
"ShotgunGirl_hp","sc/ui.sc","health_icon","ShotgunGirl",,"hp",,40,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"ShotgunGirl_abi","sc/ui.sc","attack_icon","ShotgunGirl",,"skill","ShotgunGirlWeapon",4,,5,"common","TID_LONG_RANGE_SHOTGUN","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"ShotgunGirl_ulti","sc/ui.sc","ulti_icon","ShotgunGirl",,"skill","ShotgunGirlUlti",4,,5,"common","TID_MEGA_BLASH_ULTI","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"Gunslinger_unlock","sc/ui.sc",,"Gunslinger",,"unlock",,,,1,"common",,,,,
"Gunslinger_hp","sc/ui.sc","health_icon","Gunslinger",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Gunslinger_abi","sc/ui.sc","attack_icon","Gunslinger",,"skill","GunslingerWeapon",4,,5,"common","TID_RAPID_FIRE","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"Gunslinger_ulti","sc/ui.sc","ulti_icon","Gunslinger",,"skill","GunslingerUlti",4,,5,"common","TID_RAPID_FIRE_ULTI","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"BullDude_unlock","sc/ui.sc",,"BullDude",,"unlock",,,,1,"rare",,,,,
"BullDude_hp","sc/ui.sc","health_icon","BullDude",,"hp",,60,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"BullDude_abi","sc/ui.sc","attack_icon","BullDude",,"skill","BullDudeWeapon",5,,5,"common","TID_SHOTGUN_BLAST","TID_STAT_DAMAGE_PER_SHELL",,"genicon_damage",
"BullDude_ulti","sc/ui.sc","ulti_icon","BullDude",,"skill","BullDudeUlti",10,,5,"common","TID_CHARGE","TID_STAT_DAMAGE",,"genicon_damage",
"RocketGirl_unlock","sc/ui.sc",,"RocketGirl",,"unlock",,,,1,"common",,,,,
"RocketGirl_hp","sc/ui.sc","health_icon","RocketGirl",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"RocketGirl_abi","sc/ui.sc","attack_icon","RocketGirl",,"skill","RocketGirlWeapon",13,,5,"common","TID_FIREWORKS_WEAPON","TID_STAT_DAMAGE",,"genicon_damage",
"RocketGirl_ulti","sc/ui.sc","ulti_icon","RocketGirl",,"skill","RocketGirlUlti",13,,5,"common","TID_FIREWORKS_ULTI","TID_STAT_MISSILE_DAMAGE",,"genicon_damage",
"TrickshotDude_unlock","sc/ui.sc",,"TrickshotDude",,"unlock",,,,1,"rare",,,,,
"TrickshotDude_hp","sc/ui.sc","health_icon","TrickshotDude",,"hp",,25,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"TrickshotDude_abi","sc/ui.sc","attack_icon","TrickshotDude",,"skill","TrickshotDudeWeapon",4,,5,"common","TID_TRICKSHOT_DUDE_WEAPON","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"TrickshotDude_ulti","sc/ui.sc","ulti_icon","TrickshotDude",,"skill","TrickshotDudeUlti",4,,5,"common","TID_TRICKSHOT_DUDE_ULTI","TID_STAT_DAMAGE_PER_SHOT",,"genicon_damage",
"Cactus_unlock","sc/ui.sc",,"Cactus",,"unlock",,,,1,"legendary",,,,,
"Cactus_hp","sc/ui.sc","health_icon","Cactus",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Cactus_abi","sc/ui.sc","attack_icon","Cactus",,"skill","CactusWeapon",6,,5,"common","TID_CACTUS_WEAPON","TID_STAT_DAMAGE_PER_SPIKE",,"genicon_damage",
"Cactus_ulti","sc/ui.sc","ulti_icon","Cactus",,"skill","CactusUlti",5,,5,"common","TID_CACTUS_ULTI","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",
"Barkeep_unlock","sc/ui.sc",,"Barkeep",,"unlock",,,,1,"rare",,,,,
"Barkeep_hp","sc/ui.sc","health_icon","Barkeep",,"hp",,30,,5,"common","TID_ARMOR","TID_ARMOR_STAT",,"genicon_health",
"Barkeep_abi","sc/ui.sc","attack_icon","Barkeep",,"skill","BarkeepWeapon",6,,5,"common","TID_BARKEEP_WEAPON","TID_STAT_DAMAGE_PER_SECOND",,"genicon_damage",
