"Name","FileName","ExportName","ExportNameEnemy","ShadowExportName","GroundGlowExportName","LoopingEffect","Value","Value2","TriggerRangeSubTiles","TriggerAreaEffect","CanBePickedUp","SpawnEffect"
"string","string","string","string","string","string","string","int","int","int","string","boolean","string"
"Health","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",200,,3,,"true","Spawn_plasmoid"
"Speed","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",300,,3,,"true","Spawn_plasmoid"
"Damage","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",100,,3,,"true","Spawn_plasmoid"
"Point","sc/effects.sc","blob_pickup","blob_pickup",,"pickup_glow","Blob_fx",,,3,,"true","Spawn_plasmoid"
"Corpse","sc/effects.sc","Fear_face","Fear_face",,,,,,,,,"Spawn_plasmoid"
"OrbSpawner","sc/level.sc","spawn_hole","spawn_hole","spawn_hole_shadow",,,,,,,,"Spawn_plasmoid"
"Mine","sc/effects.sc","mine","mine_red","projectile_shadow",,,200,1300,3,"MineExplosion","true","Spawn_mine"
"SupplyCrate","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,,,,,,"Spawn_plasmoid"
"BoxOfMines","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,,,,,,"Spawn_plasmoid"
"BattleRoyaleBuff","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green","Health_fx",5,100,3,,"true","Spawn_plasmoid"
"Money","sc/effects.sc","wanted_star_pickup","wanted_star_pickup",,"pickup_glow_gold","Blob_fx",1,,3,,"true","Spawn_plasmoid"
"BoxOfBombs","sc/effects.sc","red_pickup","red_pickup",,"pickup_glow_green",,,,,,,"Spawn_plasmoid"
"Bomb","sc/effects.sc","grenade_01","grenade_01_red","projectile_shadow",,,200,300,200,"SniperBombExplosion","true","Spawn_sniper_bomb"
