"Name","TID","TileSetPrefix","TileSetRedAdd","TileSetGreenAdd","TileSetBlueAdd","TileSetRedMul","TileSetGreenMul","TileSetBlueMul","IconSWF","IconExportName","GameMode","AllowedMaps","ShadowR","ShadowG","ShadowB","ShadowA","Music","LargeMap"
"string","string","string","int","int","int","int","int","int","string","string","string","string","int","int","int","int","string","boolean"
"Wanted1","TID_WANTED_1","oasis_",0,0,0,255,255,255,"sc/ui.sc","level_image_oasis","BountyHunter","Wanted_1",0,66,66,60,,
"Gemgrab1","TID_GOLDRUSH_1","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine","CoinRush","Gemgrab_1",0,0,100,60,,
"Survival1","TID_BATTLE_ROYALE_1",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_1",100,0,0,60,,
"Heist1","TID_BANKHEIST_1",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon","AttackDefend","Bankheist_1",100,0,0,60,,
"Wanted2","TID_WANTED_2","oasis_",0,0,0,255,255,255,"sc/ui.sc","level_image_oasis_01","BountyHunter","Wanted_2",0,66,66,60,,
"Gemgrab2","TID_GOLDRUSH_2","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine_01","CoinRush","Gemgrab_2",0,0,100,60,,
"Survival2","TID_BATTLE_ROYALE_2",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,
"Heist2","TID_BANKHEIST_2",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_01","AttackDefend","Bankheist_2",100,0,0,60,,
"Wanted3","TID_WANTED_3","oasis_",0,0,0,255,255,255,"sc/ui.sc","level_image_oasis_02","BountyHunter","Wanted_3",0,66,66,60,,
"Gemgrab3","TID_GOLDRUSH_3","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine_02","CoinRush","Gemgrab_3",0,0,100,60,,
"Survival3","TID_BATTLE_ROYALE_3",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_3",100,0,0,60,,
"Heist3","TID_BANKHEIST_3",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_02","AttackDefend","Bankheist_3",100,0,0,60,,
"Wanted4","TID_WANTED_4",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon","BountyHunter","Gemgrab_3",100,0,0,60,,
"Gemgrab4","TID_GOLDRUSH_4","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine","CoinRush","Wanted_3",0,0,100,60,,
"Survival4","TID_BATTLE_ROYALE_4",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_4",100,0,0,60,,
"Heist4","TID_BANKHEIST_4",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon","AttackDefend","Bankheist_1",100,0,0,60,,
"Wanted5","TID_WANTED_5",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_02","BountyHunter","Gemgrab_2",100,0,0,60,,
"Gemgrab5","TID_GOLDRUSH_5","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine_01","CoinRush","Gemgrab_5",0,0,100,60,,
"Survival5","TID_BATTLE_ROYALE_5",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,
"Heist5","TID_BANKHEIST_5",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon","AttackDefend","Bankheist_2",100,0,0,60,,
"Wanted6","TID_WANTED_6",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_01","BountyHunter","Wanted_4",0,66,66,60,,
"Gemgrab6","TID_GOLDRUSH_6","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine","CoinRush","Wanted_4",0,0,100,60,,
"Survival6","TID_BATTLE_ROYALE_6",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,
"Heist6","TID_BANKHEIST_6",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_02","AttackDefend","Bankheist_2",100,0,0,60,,
"Wanted7","TID_WANTED_7",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon","BountyHunter","Wanted_5",100,0,0,60,,
"Gemgrab7","TID_GOLDRUSH_7","mine_",0,0,0,255,255,255,"sc/ui.sc","level_image_gemmine_01","CoinRush","Gemgrab_4",0,0,100,60,,
"Survival7","TID_BATTLE_ROYALE_7",,0,0,0,255,255,255,"sc/ui.sc","level_image_stormvalley","BattleRoyale","Survival_2",100,0,0,60,,
"Heist7","TID_BANKHEIST_7",,0,0,0,255,255,255,"sc/ui.sc","level_image_canyon_01","AttackDefend","Bankheist_2",100,0,0,60,,
"Tutorial",,,0,0,0,255,255,255,"sc/ui.sc",,"CoinRush",,100,0,0,60,,
