"Name","RequiredExpLevel","RequiredTotalTrophies","RequiredHero","IconSWF","IconExportName","SortOrder"
"string","int","int","string","string","string","int"
"base1",1,0,,"sc/ui.sc","player_icon_00",0
"base2",10,0,,"sc/ui.sc","player_icon_01",1
"base3",20,0,,"sc/ui.sc","player_icon_02",2
"hero1",0,0,"ShotgunGirl","sc/ui.sc","player_icon_shelly",12
"hero2",0,0,"Gunslinger","sc/ui.sc","player_icon_colt",13
"hero3",0,0,"RocketGirl","sc/ui.sc","player_icon_brock",14
"hero4",0,0,"Mechanic","sc/ui.sc","player_icon_jess",15
"hero5",0,0,"Shaman","sc/ui.sc","player_icon_nita",16
"hero6",0,0,"TntDude","sc/ui.sc","player_icon_mike",17
"hero7",0,0,"Luchador","sc/ui.sc","player_icon_primo",18
"hero8",0,0,"BullDude","sc/ui.sc","player_icon_bull",19
"hero9",0,0,"TrickshotDude","sc/ui.sc","player_icon_rick",20
"hero10",0,0,"Barkeep","sc/ui.sc","player_icon_barley",21
"hero11",0,0,"DeadMariachi","sc/ui.sc","player_icon_poco",22
"hero12",0,0,"Undertaker","sc/ui.sc","player_icon_mortis",23
"hero13",0,0,"BowDude","sc/ui.sc","player_icon_bo",24
"hero14",0,0,"Cactus","sc/ui.sc","player_icon_spike",26
"hero15",0,0,"Crow","sc/ui.sc","player_icon_crow",27
"hero16",0,0,"Sniper","sc/ui.sc","player_icon_piper",25
"base4",40,0,,"sc/ui.sc","player_icon_03",3
"base5",80,0,,"sc/ui.sc","player_icon_04",4
"base6",120,0,,"sc/ui.sc","player_icon_05",5
"base7",160,0,,"sc/ui.sc","player_icon_06",6
"base8",200,0,,"sc/ui.sc","player_icon_07",7
"trophy1",0,500,,"sc/ui.sc","player_icon_trophy_00",8
"trophy2",0,1000,,"sc/ui.sc","player_icon_trophy_01",9
"trophy3",0,2000,,"sc/ui.sc","player_icon_trophy_02",10
"trophy4",0,4000,,"sc/ui.sc","player_icon_trophy_03",11
