"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent"
"string","int","string","string","string","string","string","string","string","string","int","string","string","string","int","boolean","boolean","int","int","int","int","int","int","boolean","string","string","string","string","string","boolean","boolean","boolean","string","boolean","boolean","boolean","int","int","string","int","int","boolean","int","int","int","int","boolean","int","boolean","int","int","int"
"ShotgunGirlProjectile",2700,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlUltiProjectile",3800,"sc/effects.sc","shotgun_shell_ulti_blue","shotgun_shell_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,20,100,,,,,,"Smoke_Trail","true",,,,"true","true",,70,,,,,,,,,,,,,,,
"GunslingerProjectile",3200,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,
"GunslingerUltiProjectile",4500,"sc/effects.sc","Bullet_blue_ulti","Bullet_blue_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"Gen_Trail_small","true",,,,"true","true",,,,,,,,,,,,,,,,,
"BullDudeProjectile",2625,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,
"RocketGirlProjectile",2300,"sc/effects.sc","rocket1_projectile_blue","rocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,50,,,,,0,1,20,100,,"RocketGirlExplosion",,,,"Rocket_Trail","true",,,"Use360Frames",,,,,,,,,,,,,,,,,,,
"RocketGirlUltiProjectile",800,"sc/effects.sc","ballisticrocket1_projectile_blue","ballisticrocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,70,1,20,100,,"RocketGirlUltiExplosion",,,,"Rocket_Trail","true",,,"UseZFrames",,,,,,,,,,,,,,,,,,,
"TrickshotDudeProjectile",3200,"sc/effects.sc","Bouncy_bullet_blue","Bouncy_bullet_red","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",0,,,,,0,3,20,100,,,,,,"Gen_Trail_small","true",,"true",,,,,,,,,,,,,,,,,,,,
"TrickshotDudeUltiProjectile",4500,"sc/effects.sc","Bouncy_bullet_blue_ulti","Bouncy_bullet_red_ulti","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",0,,,,,0,3,20,100,,,,,,"Plasma_Trail","true",,"true",,"true",,,,,,,,,,,,,,,,,,
