"Name","BehaviorType","CanMoveAtSameTime","Targeted","Cooldown","ActiveTime","CastingTime","CastingRange","MaxCastingRange","RechargeTime","MaxCharge","Damage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","AlwaysCastAtMaxRange","Projectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","SpawnedItem","IconSWF","IconExportName","LargeIconSWF","LargeIconExportName","ButtonSWF","ButtonExportName","AttackEffect","UseEffect","EndEffect","LoopEffect"
"string","String","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"ShotgunGirlWeapon","Attack","true","true",250,150,,23,,1250,3,80,100,50,,5,,"true",,,,,,,"ShotgunGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shotgun_girl_attack",,,
"ShotgunGirlUlti","Attack","true","true",250,150,,23,,,,80,100,100,,9,,"true",,,,,,,"ShotgunGirlUltiProjectile",,,,,,"skillicon_megablast",,,"sc/ui.sc","rapid_fire_button","shotgun_girl_attack_ulti",,,
"GunslingerWeapon","Attack","true","true",50,650,,30,,1500,3,80,100,0,,1,"true","true",,,,,,,"GunslingerProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","gunslinger_attack",,,
"GunslingerUlti","Attack","true","true",50,1250,,40,,,,80,100,0,,1,"true","true",,,,,,,"GunslingerUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","gunslinger_attack_ulti",,,
"BullDudeWeapon","Attack","true","true",250,150,,16,,1500,3,100,100,90,,5,,"true",,,,,,,"BullDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","bull_dude_attack",,,
"BullDudeUlti","Charge",,"true",50,,,33,,,,200,,,,,,,130,1800,1,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"bull_dude_ulti",,"bull_dude_ulti_loop"
"RocketGirlWeapon","Attack","true","true",250,150,,36,,2300,3,260,100,,,1,,"true",,,,,,,"RocketGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","rocket_girl_attack",,,
"RocketGirlUlti","Attack","true","true",250,1850,,25,,,,260,300,150,,1,,"true",,,,,,,"RocketGirlUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","rocket_girl_attack_ulti",,,
"TrickshotDudeWeapon","Attack","true","true",50,800,,40,,1250,3,80,150,15,1,1,,"true",,,,,,,"TrickshotDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","trickshot_dude_attack",,,
"TrickshotDudeUlti","Attack","true","true",50,1250,,60,,,,80,100,20,1,1,,"true",,,,,,,"TrickshotDudeUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","trickshot_dude_attack_ulti",,,
"CactusWeapon","Attack","true","true",250,150,,23,,2200,3,120,100,,,1,,"true",,,,,,,"CactusProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","cactus_attack",,,
