"TID","ID"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","TOKEN GANDA AKHIR PEKAN"
"TID_RANKS_ADDED_TITLE","Kelas Jagoan Baru"
"TID_RANKS_ADDED_DESC","Jagoan kini dapat naik hingga ke kelas 35, lebih tinggi dari kelas tertinggi sebelumnya yaitu 20.\n\nKamu menerima <cff00ff><STARPOINTS></c> Poin Bintang dan <TOKENS> Token dari Jagoan yang naik kelas!"
"TID_SKINS_TITLE","KOSTUM"
"TID_SKINS_BUTTON_LABEL","KOSTUM"
"TID_SKIN_PREVIEW","LIHAT KOSTUM"
"TID_DEFAULT_SKIN","KOSTUM AWAL <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Koin"
"TID_TOKENS","Token"
"TID_FIRST_WINS","Token Bintang"
"TID_BUTTON_INBOX","KOTAK MASUK"
"TID_INBOX_TITLE","KOTAK MASUK"
"TID_INBOX_SYSTEM_SENDER","Sistem"
"TID_INBOX_SUPPORT_SENDER","Dukungan"
"TID_INBOX_AGE","<TIME> yang lalu"
"TID_INBOX_CLAIM","KLAIM"
"TID_INBOX_VIEW","LIHAT"
"TID_INBOX_TAB_0","SURAT GENG"
"TID_INBOX_TAB_1","PRIBADI"
"TID_INBOX_NO_ENTRIES","TIDAK ADA ENTRI"
"TID_INBOX_CAPTION_99","Musim telah berakhir"
"TID_INBOX_CAPTION_94","Pemberian kostum: <NAME>"
"TID_INBOX_CAPTION_93","Pemberian Jagoan: <NAME>"
"TID_INBOX_CAPTION_92","Pemberian <AMOUNT> Poin Kekuatan untuk <NAME>"
"TID_INBOX_CAPTION_91","Pemberian <AMOUNT> Tiket"
"TID_INBOX_CAPTION_90","Pemberian <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Pemberian <AMOUNT> Permata"
"TID_INBOX_CAPTION_88","Pemberian <AMOUNT> Pengganda Token"
"TID_INBOX_CAPTION_85","Pencabutan <AMOUNT> Permata"
"TID_INBOX_CAPTION_84","Sumbangan Kekuatan Bintang <ABI> untuk <NAME>"
"TID_INBOX_CAPTION_78","Kelas Jagoan 21-30 telah hadir!"
"TID_INBOX_NEW","BARU!"
"TID_BAND_MAIL_POPUP_TITLE","SURAT GENG"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","Tulis pesanmu di sini..."
"TID_BAND_MAIL_POPUP_POST","KIRIM"
"TID_BAND_MAIL_POPUP_NO_MSG","Jangan lupa menulis pesan"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Fitur ini tidak tersedia untuk akun demo"
"TID_REVOKE_TITLE","Pesan Dari Tim Dukungan"
"TID_REVOKE_OK","Mengerti"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Gagal mengirim permintaan bergabung. Kamu sudah masuk tim"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Gagal mengirim permintaan bergabung. Ada undangan tim yang belum diterima"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Gagal mengirim permintaan bergabung. Ada permintaan bergabung yang belum diterima"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Permintaan bergabung dibatalkan"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","SAYA INGIN GABUNG TIMMU"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>MENANG</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>KALAH</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>SERI</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>PERINGKAT <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> yang lalu"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","LVL"
"TID_BATTLE_LOG_TVST_VERSUS","VS"
"TID_BATTLE_LOG_TITLE","LOG LAGA"
"TID_BATTLE_LOG_REPLAY","TAYANGAN ULANG"
"TID_BATTLE_LOG_SURVIVED_FOR","Bertahan selama <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Mengalahkan Jagoan Besar dalam <TIME>"
"TID_BATTLE_LOG_MVP","MVP"
"TID_BATTLE_LOG_FRIENDLY","PERSAHABATAN"
"TID_BATTLE_LOG_PVP","BERPERINGKAT"
"TID_BATTLE_LOG_NO_ENTRIES","TIDAK ADA ENTRI"
"TID_BATTLE_LOG_THIS_IS_A_BOT","Ini adalah bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Tayangan ulang tidak aktif"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Tidak ada tayangan ulang tersedia"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Tayangan ulang tak tersedia: Trofi Jagoan terlalu rendah"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Raih <NUM> Trofi Jagoan untuk membuka tayangan ulang"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Tayangan ulang tak tersedia: Gagal merekam"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Tayangan ulang tidak lagi tersedia"
"TID_PLAYER_XP_LEVEL","LEVEL"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
