"TID","HE"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","סופשבוע טוקנים כפולים"
"TID_RANKS_ADDED_TITLE","דירוגי בראולרים חדשים"
"TID_RANKS_ADDED_DESC","ניתן כעת לצפות בדירוג בראולרים עד ל-35, שזה עלייה מהדירוג המוביל הקודם של 20.\n\nקיבלת <cff00ff><STARPOINTS></c> נקודות כוכב ו-<TOKENS> טוקנים מהבראולרים שלך שעלו בדירוג!"
"TID_SKINS_TITLE","סקינים"
"TID_SKINS_BUTTON_LABEL","סקינים"
"TID_SKIN_PREVIEW","תצוגה מקדימה של סקין"
"TID_DEFAULT_SKIN","סקין ברירת מחדל של <HERO>"
"TID_HERO_LVL_UP_MATERIAL","מטבעות"
"TID_TOKENS","טוקנים"
"TID_FIRST_WINS","טוקנים של כוכבים"
"TID_BUTTON_INBOX","תיבת דואר נכנס"
"TID_INBOX_TITLE","תיבת דואר נכנס"
"TID_INBOX_SYSTEM_SENDER","מערכת"
"TID_INBOX_SUPPORT_SENDER","תמיכה"
"TID_INBOX_AGE","לפני <TIME>"
"TID_INBOX_CLAIM","קבל"
"TID_INBOX_VIEW","הצג"
"TID_INBOX_TAB_0","דואר מועדון"
"TID_INBOX_TAB_1","אישי"
"TID_INBOX_NO_ENTRIES","אין הזנות"
"TID_INBOX_CAPTION_99","העונה הסתיימה"
"TID_INBOX_CAPTION_94","תרומת סקינים: <NAME>"
"TID_INBOX_CAPTION_93","תרומת בראולרים: <NAME>"
"TID_INBOX_CAPTION_92","תרומה של <AMOUNT> נקודות כוח עבור <NAME>"
"TID_INBOX_CAPTION_91","תרומה של <AMOUNT> כרטיסים"
"TID_INBOX_CAPTION_90","תרומה של <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","תרומה של <AMOUNT> יהלומים"
"TID_INBOX_CAPTION_88","תרומה של <AMOUNT> מכפילי טוקנים"
"TID_INBOX_CAPTION_85","ביטול של <AMOUNT> יהלומים"
"TID_INBOX_CAPTION_84","תרומה של כוח כוכב <ABI> עבור <NAME>"
"TID_INBOX_CAPTION_78","דירוג 21-30 לבראולרים כבר כאן!"
"TID_INBOX_NEW","חדש!"
"TID_BAND_MAIL_POPUP_TITLE","דואר מועדון"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","כתוב את ההודעה שלך כאן..."
"TID_BAND_MAIL_POPUP_POST","פרסם"
"TID_BAND_MAIL_POPUP_NO_MSG","זכור להזין הודעה"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","מאפיין זה לא זמין עבור חשבונות דמו"
"TID_REVOKE_TITLE","הודעה מצוות התמיכה"
"TID_REVOKE_OK","הבנתי"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","לא ניתן לשלוח בקשת הצטרפות. הצטרפת כבר לקבוצה"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","לא ניתן לשלוח בקשת הצטרפות. יש לך הזמנה לקבוצה בהמתנה"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","לא ניתן לשלוח בקשת הצטרפות. יש לך בקשת הצטרפות בהמתנה"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","בקשת ההצטרפות בוטלה"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","אני רוצה להצטרף לקבוצה"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>ניצחון</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>תבוסה</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>תיקו</c>"
