"TID","AR"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","نهاية أسبوع الأقراص المضاعفة"
"TID_RANKS_ADDED_TITLE","رتب أبطال جديدة"
"TID_RANKS_ADDED_DESC","الآن يمكن للأبطال الترقي من الرتبة 20 إلى 35.\n\nلقد حصلت على <cff00ff><STARPOINTS></c> من نقاط النجوم و<TOKENS> من الأقراص من الأبطال الذين رفعت رتبتهم."
"TID_SKINS_TITLE","المظاهر"
"TID_SKINS_BUTTON_LABEL","المظاهر"
"TID_SKIN_PREVIEW","معاينة المظهر"
"TID_DEFAULT_SKIN","مظهر <HERO> الافتراضي"
"TID_HERO_LVL_UP_MATERIAL","النقود"
"TID_TOKENS","الأقراص"
"TID_FIRST_WINS","أقراص النجوم"
"TID_BUTTON_INBOX","البريد الوارد"
"TID_INBOX_TITLE","البريد الوارد"
"TID_INBOX_SYSTEM_SENDER","النظام"
"TID_INBOX_SUPPORT_SENDER","الدعم"
"TID_INBOX_AGE","قبل <TIME>"
"TID_INBOX_CLAIM","المطالبة"
"TID_INBOX_VIEW","العرض"
"TID_INBOX_TAB_0","بريد الاتحاد"
"TID_INBOX_TAB_1","البريد الشخصي"
"TID_INBOX_NO_ENTRIES","السجل فارغ"
"TID_INBOX_CAPTION_99","انتهى الموسم"
"TID_INBOX_CAPTION_94","تبرع مظاهر: <NAME>"
"TID_INBOX_CAPTION_93","تبرع أبطال: <NAME>"
"TID_INBOX_CAPTION_92","تبرع بـ <AMOUNT> من نقاط القوة لصالح <NAME>"
"TID_INBOX_CAPTION_91","تبرع بـ <AMOUNT> من التذاكر"
"TID_INBOX_CAPTION_90","تبرع بـ <AMOUNT> من <NAME>"
"TID_INBOX_CAPTION_89","تبرع بـ <AMOUNT> من الجواهر"
"TID_INBOX_CAPTION_88","تبرع بـ <AMOUNT> من مضاعفات الأقراص"
"TID_INBOX_CAPTION_85","سحب <AMOUNT> من الجواهر"
"TID_INBOX_CAPTION_84","تبرع بالقدرة الخاصة <ABI> لصالح <NAME>"
"TID_INBOX_CAPTION_78","أضفنا رتب الأبطال من 21 إلى 30!"
"TID_INBOX_NEW","جديد!"
"TID_BAND_MAIL_POPUP_TITLE","بريد الاتحاد"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","اكتب رسالتك هنا..."
"TID_BAND_MAIL_POPUP_POST","الإرسال"
"TID_BAND_MAIL_POPUP_NO_MSG","لا تنس إدخال رسالة."
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","هذه الميزة غير متوفرة في الحسابات التجريبية."
