"TID","PL"
"string","string"
"TID_DOUBLE_TOKEN_WEEKEND","WEEKEND x2 ŻETONÓW"
"TID_RANKS_ADDED_TITLE","Nowe rangi Zadymiarzy"
"TID_RANKS_ADDED_DESC","Zadymiarze mogą teraz awansować aż do rangi 35, zamiast do 20 jak wcześniej.\n\nOtrzymujesz <cff00ff><STARPOINTS></c> gwiezdnych punktów i <TOKENS> żetonów za swoich awansowanych Zadymiarzy!"
"TID_SKINS_TITLE","PRZEBRANIA"
"TID_SKINS_BUTTON_LABEL","PRZEBRANIA"
"TID_SKIN_PREVIEW","PODGLĄD PRZEBRANIA"
"TID_DEFAULT_SKIN","DOMYŚLNE PRZEBRANIE DLA: <HERO>"
"TID_HERO_LVL_UP_MATERIAL","Monety"
"TID_TOKENS","Żetony"
"TID_FIRST_WINS","Gwiezdne żetony"
"TID_BUTTON_INBOX","ODEBRANE"
"TID_INBOX_TITLE","ODEBRANE"
"TID_INBOX_SYSTEM_SENDER","System"
"TID_INBOX_SUPPORT_SENDER","Wsparcie"
"TID_INBOX_AGE","<TIME> temu"
"TID_INBOX_CLAIM","ODBIERZ"
"TID_INBOX_VIEW","ZOBACZ"
"TID_INBOX_TAB_0","KLUB"
"TID_INBOX_TAB_1","OSOBISTE"
"TID_INBOX_NO_ENTRIES","BRAK WPISÓW"
"TID_INBOX_CAPTION_99","Koniec sezonu"
"TID_INBOX_CAPTION_94","Darowane przebrania: <NAME>"
"TID_INBOX_CAPTION_93","Darowani zadymiarze: <NAME>"
"TID_INBOX_CAPTION_92","Darowane <AMOUNT> pkt. mocy dla: <NAME>"
"TID_INBOX_CAPTION_91","Darowane bilety: <AMOUNT>"
"TID_INBOX_CAPTION_90","Darowane <AMOUNT> <NAME>"
"TID_INBOX_CAPTION_89","Darowane klejnoty: <AMOUNT>"
"TID_INBOX_CAPTION_88","Darowane podwajacze żetonów: <AMOUNT>"
"TID_INBOX_CAPTION_85","Odebrane klejnoty: <AMOUNT>"
"TID_INBOX_CAPTION_84","Darowana gwiezdna moc <ABI> dla: <NAME>"
"TID_INBOX_CAPTION_78","Rangi 21-30 dla Zadymiarzy już są dostępne!"
"TID_INBOX_NEW","NOWOŚĆ!"
"TID_BAND_MAIL_POPUP_TITLE","POCZTA KLUBOWA"
"TID_BAND_MAIL_POPUP_DEFAULT_TXT","tu napisz wiadomość..."
"TID_BAND_MAIL_POPUP_POST","PUBLIKUJ"
"TID_BAND_MAIL_POPUP_NO_MSG","Pamiętaj o wpisaniu wiadomości"
"TID_FEATURE_DISABLED_FOR_DEMO_ACCOUNTS","Ta funkcja jest niedostępna w przypadku kont demo"
"TID_REVOKE_TITLE","Wiadomość z działu wsparcia"
"TID_REVOKE_OK","Rozumiem"
"TID_TEAM_REQEST_JOIN_FAIL_UNMERGEABLE_TEAMS","Nie można wysłać prośby o dołączenie. Jesteś już w drużynie"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_INVITE","Nie można wysłać prośby o dołączenie. Masz oczekujące zaproszenie do drużyny"
"TID_TEAM_REQEST_JOIN_FAIL_PENDING_JOIN_REQUEST","Nie można wysłać prośby o dołączenie. Masz oczekującą prośbę o dołączenie"
"TID_TEAM_REQUEST_JOIN_REQUEST_CANCELLED","Prośba o dołączenie została anulowana"
"TID_TEAM_JOIN_REQUEST_POPUP_TITLE","CHCĘ DOŁĄCZYĆ DO TWOJEJ DRUŻYNY"
"TID_BATTLE_LOG_TVST_RESULT_0","<c00ff00>WYGRANA</c>"
"TID_BATTLE_LOG_TVST_RESULT_1","<ccc0000>PORAŻKA</c>"
"TID_BATTLE_LOG_TVST_RESULT_2","<ccccccc>REMIS</c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_0","<c00ff00>RANGA <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_1","<ccc0000>RANGA <RANK></c>"
"TID_BATTLE_LOG_DEATHMATCH_RESULT_2","<ccccccc>RANGA <RANK></c>"
"TID_BATTLE_LOG_AGE","<TIME> temu"
"TID_BATTLE_LOG_HERO_LEVEL_LABEL","POZ."
"TID_BATTLE_LOG_TVST_VERSUS","KONTRA"
"TID_BATTLE_LOG_TITLE","DZIENNIK BITEW"
"TID_BATTLE_LOG_REPLAY","POWTÓRKA"
"TID_BATTLE_LOG_SURVIVED_FOR","Udało ci się przeżyć przez <TIME>"
"TID_BATTLE_LOG_VICTORY_IN","Wielki Zadymiarz pokonany w <TIME>"
"TID_BATTLE_LOG_MVP","GWIAZDA GRY"
"TID_BATTLE_LOG_FRIENDLY","DLA ZNAJOMYCH"
"TID_BATTLE_LOG_PVP","RANKINGOWY"
"TID_BATTLE_LOG_NO_ENTRIES","BRAK WPISÓW"
"TID_BATTLE_LOG_THIS_IS_A_BOT","To jest bot"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAYS_DISABLED","Możliwość powtórki jest obecnie wyłączona"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_AVAILABLE","Nie ma jeszcze możliwości powtórki"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW","Brak możliwości powtórki: Zadymiarz ma zbyt mało pucharów"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_TOO_LOW_TROPHIES","Powtórki zostaną odblokowane po zdobyciu <NUM> pucharów dla tego Zadymiarza"
"TID_BATTLE_LOG_REPLAY_INFO_NO_REPLAY_SERVER_ERROR","Brak możliwości powtórki: nagranie nieudane"
"TID_BATTLE_LOG_REPLAY_INFO_REPLAY_EXPIRED","Powtórka nie jest już dostępna"
"TID_PLAYER_XP_LEVEL","POZIOM"
"TID_PLAYER_RANK_TIER_0","I"
"TID_PLAYER_RANK_TIER_1","II"
"TID_PLAYER_RANK_TIER_2","III"
"TID_PLAYER_RANK_TIER_3","IV"
"TID_PLAYER_RANK_TIER_4","V"
"TID_PLAYER_RANK_TIER_5","VI"
"TID_ADD_FRIEND_FAILED","Nie udało się dodać znajomego"
"TID_ADD_FRIEND_FAILED_TOKEN_EXPIRED","Link znajomego wygasł!"
"TID_ADD_FRIEND_FAILED_THEIR_LIST_FULL","Nie można dodać znajomego, jego lista znajomych jest pełna!"
"TID_ADD_FRIEND_FAILED_YOUR_LIST_FULL","Nie można dodać znajomego, twoja lista znajomych jest pełna!"
"TID_ADD_FRIEND_FAILED_BANNED","Nie można dodać znajomego, użytkownik jest zablokowany!"
"TID_KEYPOOL_KEYS_REMAINING","Pozostało <VALUE>"
"TID_KEYPOOL_NEXT_PATCH","Liczba żetonów: +<KEYS> w ciągu <TIME>"
"TID_TOP_HUD_NEXT_REWARD","Następna nagroda"
"TID_RANK_UP_REWARD_REPLACED_TITLE","Potwierdź inną wybraną nagrodę"
"TID_RANK_UP_REWARD_REPLACED_POWER","Żaden z Twoich Zadymiarzy nie może otrzymać <AMOUNT> pkt. mocy.\n\nCzy zamiast tego chcesz otrzymać inną nagrodę?"
"TID_RANK_UP_REWARD_REPLACED_HERO","Otrzymasz inną nagrodę, ponieważ <NAME> jest już w twoim posiadaniu."
"TID_PLAYER_INFO_SEND_FRIEND_REQUEST","Wyślij zaproszenie do znajomych"
"TID_PLAYER_INFO_REMOVE_FRIEND","Usuń z listy znajomych"
"TID_PLAYER_INFO_FRIEND_REQUEST_SENT","Wysłano zaproszenie do znajomych"
"TID_PLAYER_INFO_IS_YOUR_FRIEND","znajomy\nw grze"
"TID_POWER_POINTS","PUNKTY MOCY"
"TID_HERO_INFO_LEVEL","MOC"
"TID_HERO_INFO_RANK","RANGA"
"TID_HERO_INFO_LEVEL_UP_BUTTON_LABEL","PRZEJDŹ NA <LVL>. POZIOM MOCY"
"TID_HERO_INFO_LEVEL_UP_BUTTON_CONFIRM_LABEL","STUKNIJ PONOWNIE, ABY POTWIERDZIĆ"
"TID_HERO_INFO_MAX_LEVEL","MAKSYMALNA MOC"
"TID_HERO_INFO_MORE_POWER_NEEDED","Zbierz więcej mocy, aby móc się rozwijać!"
"TID_HERO_INFO_LEVEL_UP_ERROR_4","Zadymiarz nie ma wystarczającej liczby punktów mocy"
"TID_HERO_INFO_LEVEL_UP_ERROR_3","Masz za mało monet!"
"TID_HERO_INFO_LEVEL_UP_ERROR_5","Zadymiarz osiągnął już maksymalny poziom mocy!"
"TID_HERO_INFO_LEVEL_UP_PRICE_MISSING","<cff6034><AMOUNT></c>"
"TID_HERO_INFO_LEVEL_UP_PRICE","<AMOUNT>"
"TID_HERO_INFO_STARTING_HERO","ZADYMIARZ POCZĄTKOWY"
"TID_HERO_INFO_STAR_POWER_EQUIP","WYBIERZ"
"TID_HERO_INFO_STAR_POWER_EQUIPPED","WYBRANO"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Gracz zgłoszony!"
"TID_TOO_MANY_REPORTS_SENT","Dzienny limit zgłoszeń został wyczerpany."
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","Zanim wyślesz kolejne zgłoszenie, musisz trochę odczekać"
"TID_CHOOSE_CHARACTER","WYBIERZ ZADYMIARZA"
"TID_ARMOR","PUNKTY ŻYCIA"
"TID_ARMOR_DESC","Pokazuje, ile obrażeń może przyjąć Zadymiarz, zanim zostanie pokonany."
"TID_SHOTGUN_GIRL","SHELLY"
"TID_SHOTGUN_GIRL_DESC","Strzelba Shelly ma szeroki zasięg i strzela we wrogą drużynę śrutem. Superatak Shelly niszczy osłony i sprawia, że przeciwnicy trzymają się na dystans."
"TID_LONG_RANGE_SHOTGUN","ŚRUTÓWKA"
"TID_LONG_RANGE_SHOTGUN_DESC","Śrutówka Shelly ma średni zasięg i razi wrogów na szerokim obszarze. Im większa ilość śrutu trafi do celu, tym większe zadaje obrażenia."
"TID_MEGA_BLASH_ULTI","SUPERPOCISK"
"TID_MEGA_BLASH_ULTI_DESC","Superpocisk Shelly niszczy i osłony, i wrogów. Każdy, kto przeżyje, zostaje odrzucony."
"TID_GUNSLINGER","COLT"
"TID_GUNSLINGER_DESC","Colt zasypuje przeciwników starannie wymierzonym gradem kul ze swoich rewolwerów. Jego superatak niszczy osłony i wzmacnia siłę ognia."
"TID_RAPID_FIRE","SZEŚCIOSTRZAŁOWCE"
"TID_RAPID_FIRE_DESC","Colt oddaje ze swoich rewolwerów sześć dalekosiężnych strzałów."
"TID_RAPID_FIRE_ULTI","GRAD KUL"
"TID_RAPID_FIRE_ULTI_DESC","Colt wystrzeliwuje potężną serię pocisków, które mają wyjątkowo daleki zasięg i potrafią niszczyć osłony."
"TID_BULL_DUDE","BULL"
"TID_BULL_DUDE_DESC","Bull zadaje swoją strzelbą ogromne obrażenia z bliska. Superatak pozwala mu atakować nawet przez bariery i odrzucać wrogów!"
"TID_SHOTGUN_BLAST","DUBELTÓWKA"
"TID_SHOTGUN_BLAST_DESC","Dubeltówka zadaje duże obrażenia, lecz ma bardzo krótki zasięg, dlatego Bull lubi atakować z bliska."
"TID_CHARGE","BULDOŻER"
"TID_CHARGE_DESC","Bull pochyla się i niczym buldożer uderza w przeciwników oraz przeszkody. Widać ma mocną głowę!"
"TID_ROCKET_GIRL","BROCK"
"TID_ROCKET_GIRL_DESC","Brock wystrzeliwuje we wrogów długodystansową, wybuchową rakietę. Jego superatak to seria rakiet balistycznych, która niszczy osłony."
"TID_FIREWORKS_WEAPON","BROCKOWA RAKIETA"
"TID_FIREWORKS_WEAPON_DESC","Brock częstuje wrogów jedną Brockową Rakietą o naprawdę dużym zasięgu."
"TID_FIREWORKS_ULTI","DESZCZ RAKIET"
"TID_FIREWORKS_ULTI_DESC","Brock atakuje serią rakiet, która zmiata z powierzchni ziemi wrogów oraz przeszkody. Przygotuj się na nadciągający kataklizm!"
"TID_TNT_DUDE","DYNAMIKE"
"TID_TNT_DUDE_DESC","Mike rzuca dwoma wybuchowymi laskami dynamitu. Jego superatak to beczka wypełniona dynamitem, która niszczy osłony."
"TID_MORTAR","KRÓTKI LONT"
"TID_MORTAR_DESC","Mike rzuca dwoma laskami dynamitu, które mijają wszystkie napotkane na drodze przeszkody. Ich lonty są bardzo krótkie - zupełnie jak cierpliwość wybuchowego Mike´a!"
"TID_MORTAR_ULTI","WYBUCHOWA BECZKA"
"TID_MORTAR_ULTI_DESC","Wielka beczka dynamitu, która wysadza osłony w powietrze. Przeciwnicy, którym uda się przetrwać wybuch, zostają odrzuceni w tył."
"TID_LUCHADOR","EL PRIMO"
"TID_LUCHADOR_DESC","El Primo zasypuje przeciwników gradem uderzeń. Jego superatak to cios łokciem z góry, który zadaje obrażenia wszystkiemu, co znajdzie się poniżej."
"TID_LUCHADOR_WEAPON","PIĘŚCI FURII"
"TID_LUCHADOR_WEAPON_DESC","El Primo w furii atakuje przeciwników ciosami czterech pięści. Są one równie ostre, co papryczki jalapeno!"
"TID_LUCHADOR_ULTI","SPADAJĄCY ŁOKIEĆ"
"TID_LUCHADOR_ULTI_DESC","El Primo wyskakuje w górę i zadaje potężny cios międzygalaktycznym łokciem, zwalającym z nóg wrogów i niszczącym osłony."
"TID_TRICKSHOT_DUDE_OLD","RICOCHET"
"TID_TRICKSHOT_DUDE_DESC","Rico strzela gumowymi pociskami odbijającymi się od ścian, a w ramach superataku wystrzeliwuje długą serię gumowych kul, które przebijają trafione cele."
"TID_TRICKSHOT_DUDE_WEAPON","ODBIJAJĄCE SIĘ POCISKI"
"TID_TRICKSHOT_DUDE_WEAPON_DESC","Wystrzelone przez Rico pociski odbijają się od ścian, zyskując dalszy zasięg. Mogą trafiać we wrogów kryjących się za osłonami."
"TID_TRICKSHOT_DUDE_ULTI","SPRYTNY STRZAŁ"
"TID_TRICKSHOT_DUDE_ULTI_DESC","Rico strzela długą serią pocisków, które przebijają wrogów i odbijają się od ścian, zwiększając przy tym zasięg."
"TID_CACTUS","SPIKE"
"TID_CACTUS_DESC","Naszpikowane igłami kaktusowe granaty sieją spustoszenie wśród wrogów Spike´a, a jego potężny superatak to spowalniające i raniące przeciwników pole kaktusowych kolców."
"TID_CACTUS_WEAPON","KOLCZASTY GRANAT"
"TID_CACTUS_WEAPON_DESC","Spike rzuca niewielkim kaktusem, który po wybuchu rozrzuca kolce w różnych kierunkach."
"TID_CACTUS_ULTI","KOLCZASTE POLE"
"TID_CACTUS_ULTI_DESC","Spike rzuca kolczastym granatem. Znajdujący się w zasięgu wybuchu wrogowie zostają spowolnieni i otrzymują obrażenia."
"TID_BARKEEP","BARLEY"
"TID_BARKEEP_DESC","Ataki Barleya polegają na ciskaniu we wrogów butelkami, których zawartość powoduje obrażenia. Jego superatak to potężna seria płonących butelek."
"TID_BARKEEP_WEAPON","WYSOKIE STĘŻENIE"
"TID_BARKEEP_WEAPON_DESC","Barley rzuca butelką i rozbija ją na ziemi. Wrogowie otrzymują obrażenia od rozprysku, a z czasem tracą punkty zdrowia, jeśli nie wyjdą z kałuży powstałej po rozbiciu."
"TID_BARKEEP_ULTI","OSTATNIA SZANSA"
"TID_BARKEEP_ULTI_DESC","Barley rzuca serią ognistych butelek, sprawiając, że ogromny obszar staje w płomieniach. Na koszt firmy!"
"TID_MECHANIC","JESSIE"
"TID_MECHANIC_DESC","Karabin energetyczny wystrzeliwuje odbijające się od wrogów kule energii. Podczas superataku Jessie używa całkiem zgrabnego, lecz niezwykle śmiercionośnego działka."
"TID_MECHANIC_WEAPON","KARABIN ENERGETYCZNY"
"TID_MECHANIC_WEAPON_DESC","Jessie wystrzeliwuje kulę energii. Po dotarciu do celu pocisk odbija się od niego i leci do kolejnego celu w zasięgu. Może on trafić maksymalnie trzech wrogów."
"TID_MECHANIC_ULTI","ZŁOMEK!"
"TID_MECHANIC_ULTI_DESC","Jessie uruchamia działko, które automatycznie strzela do wrogów. Zrobiła je w 100% z materiałów pochodzących z recyklingu!"
"TID_SHAMAN","NITA"
"TID_SHAMAN_DESC","Nita atakuje wrogów potężną falą uderzeniową. Podczas superataku przywołuje do pomocy ogromnego niedźwiedzia, który walczy u jej boku."
"TID_SHAMAN_WEAPON","WSTRZĄSY"
"TID_SHAMAN_WEAPON_DESC","Nita wysyła falę uderzeniową, zadającą obrażenia wrogom znajdującym się w jej zasięgu."
