"CodeName","Group","Data","ConstructFromBlocks","MetaData"
"String","String","String","boolean","String"
1,"Template_Gemgrab","........2.2.2........",,
2,,".....................",,
3,,".....................",,
4,,".....................",,
5,,".....................",,
6,,".....................",,
7,,".....................",,
8,,".....................",,
9,,".....................",,
10,,".....................",,
11,,".....................",,
12,,".....................",,
13,,".....................",,
14,,".....................",,
15,,".....................",,
16,,".....................",,
17,,".....................",,
18,,".....................",,
19,,".....................",,
20,,".....................",,
21,,".....................",,
22,,".....................",,
23,,".....................",,
24,,".....................",,
25,,".....................",,
26,,".....................",,
27,,".....................",,
28,,".....................",,
29,,".....................",,
30,,".....................",,
31,,".....................",,
32,,".....................",,
33,,"........1.1.1........",,
34,"Template_Laserball","JJJJJJJ.7.7.7.JJJJJJJ",,
35,,"JJJJJJJ.......JJJJJJJ",,
36,,"JJJJJJJ.......JJJJJJJ",,
37,,"JJJJJJJYY...YYJJJJJJJ",,
38,,".....................",,
39,,".....................",,
40,,".....................",,
41,,".....................",,
42,,"........2.2.2........",,
43,,".....................",,
44,,".....................",,
45,,".....................",,
46,,".....................",,
47,,".....................",,
48,,".....................",,
49,,".....................",,
50,,".....................",,
51,,".....................",,
52,,".....................",,
53,,".....................",,
54,,".....................",,
55,,".....................",,
56,,".....................",,
57,,".....................",,
58,,"........1.1.1........",,
59,,".....................",,
60,,".....................",,
61,,".....................",,
62,,".....................",,
63,,"JJJJJJJYY...YYJJJJJJJ",,
64,,"JJJJJJJ.......JJJJJJJ",,
65,,"JJJJJJJ.......JJJJJJJ",,
66,,"JJJJJJJ.6.6.6.JJJJJJJ",,
67,"Template_Survival","............................................................",,
68,,"............................................................",,
69,,"............................................................",,
70,,"...........1.................................1..............",,
71,,"............................................................",,
72,,"............................................................",,
73,,"............................................................",,
74,,"............................................................",,
75,,"............................................................",,
76,,"............................................................",,
77,,"............................................................",,
78,,"............................................................",,
79,,"............................................................",,
80,,"............................................................",,
81,,"............................................................",,
82,,"............................................................",,
83,,"............................................................",,
84,,"............................................................",,
85,,"...1....................................................1...",,
86,,"............................................................",,
87,,"............................................................",,
88,,"............................................................",,
89,,"............................................................",,
90,,"............................................................",,
91,,"............................................................",,
92,,"............................................................",,
93,,"............................................................",,
94,,"............................................................",,
95,,"............................................................",,
96,,"............................................................",,
97,,"............................................................",,
98,,"............................................................",,
99,,"............................................................",,
100,,"............................................................",,
101,,"............................................................",,
102,,"............................................................",,
103,,"............................................................",,
104,,"...1....................................................1...",,
105,,"............................................................",,
106,,"............................................................",,
107,,"............................................................",,
108,,"............................................................",,
109,,"............................................................",,
110,,"............................................................",,
