"Name","FileName","ExportName","ParticleFileName","ParticleExportName","ParticleStyle","ParticleVariations","ThemeMusic","UseInLevelSelection"
"string","string","string","string","string","string","int","string","boolean"
"Default","sc/background_basic.sc","bgr","sc/ui.sc",,,,"Snowtel_Menu","true"
"Winter","sc/background_basic.sc","bgr","sc/ui.sc","particle_snow_","Snow",2,"Snow_brawl","true"
"LNY","sc/background_lny.sc","bgr_cny",,,,,"Cnymenu_music","true"
"CR","sc/background_basic.sc","bgr_royale",,,,,"Brawl_royale_menu_music","true"
"Easter","sc/background_basic.sc","bgr",,,,,"MenuMusic","true"
"GoldenWeek","sc/background_golden_week.sc","bgr_golden_week",,,,,"MenuMusic","true"
"Retropolis","sc/backlocationground_retropolis.sc","bgr_retropolis",,,,,"Retropolis_menu","true"
"Mecha","sc/background_mecha.sc","bgr_mecha",,,,,"MechMenuMusic","true"
"Halloween","sc/background_brawloween.sc","bgr_brawloween",,,,,"Halloween_menu","true"
"Brawlidays","sc/background_brawlidays.sc","bgr_brawlidays",,,,,"Xmas_Pirate_Menu","true"
"LNY20","sc/background_lny_20.sc","bgr_lny20",,,,,"Brawlcade_Menu","true"
"PSG","sc/background_psg.sc","bgr_psg","sc/ui.sc",,,,"Footbrawl_menu_muzak","true"
"SC10","sc/background_s_anniversary.sc","bgr_s_anniversary",,,,,"10th_Anniversary_Menu","true"
"Bazaar","sc/background_t_bazaar.sc","bgr_t_bazaar",,,,,"Brawzaar_menu_muzak","true"
"Monsters","sc/background_scity.sc","bgr_scity",,,,,"Monsterbrawl_menu_muzak","true"
"Giftshop","sc/background_giftshop.sc","bgr_giftshop",,,,,"Starpark_Menu_Music","true"
"MoonFestival20","sc/background_moon_festival.sc","bgr_moon_festival",,,,,"Lunar_Menu_Music","true"
"WF20","sc/background_world_finals.sc","bgr_world_finals",,,,,"Elprimo_fire_menu","true"
"Brawloween_20","sc/background_brawloween.sc","bgr_brawloween",,,,,"Elprimo_fire_menu","true"
"Winter_20","sc/background_snowtel.sc","bgr_snowtel",,,,,"Snowtel_Menu","true"
"Winter_20_snow","sc/background_snowtel.sc","bgr_snowtel","sc/ui.sc","particle_snow_","Snow",2,"Snowtel_Menu","true"
