"TID","IT"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Missioni completate: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Missioni in corso: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","AVVISO SULL'AGGIORNAMENTO"
"TID_TICKET_COMPENSATION_INFO","Non avrai più bisogno dei biglietti, perché li abbiamo rimossi dal gioco, ma in cambio ti regaliamo delle gemme!"
"TID_TICKET_COMPENSATION_CLAIM","RISCUOTI"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","APRI LE CASSE RIMASTE"
"TID_BRAWL_PASS_QUESTS_LABEL","MISSIONI"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Sblocca le missioni ottenendo <TROPHIES> trofei!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Ora puoi sbloccare le missioni dal cammino dei trofei!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Vai al cammino dei trofei per sbloccare le missioni."
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","COMPRA UNA SOGLIA"
"TID_QUESTS_TITLE","MISSIONI"
"TID_QUEST_DESC_1","VINCI <AMOUNT> PARTITE"
"TID_QUEST_DESC_2","SCONFIGGI <AMOUNT> NEMICI"
"TID_QUEST_DESC_3","CAUSA <AMOUNT> PUNTI DANNO"
"TID_QUEST_DESC_4","RIPRISTINA <AMOUNT> PUNTI SALUTE"
"TID_QUEST_DESC_1_LEVELED","COMPLETA UN LIVELLO"
"TID_QUEST_DESC_1_BIG_GAME","VINCI <AMOUNT> PARTITE"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","VINCI <AMOUNT> PARTITA"
"TID_QUEST_HERO_CONDITION","\nCON <HERO>"
"TID_QUEST_MODE_CONDITION","\nIN <MODE>"
"TID_QUEST_NEW","NUOVA"
"TID_QUEST_PREMIUM","SOLO COL BRAWL PASS"
"TID_RANK_POPUP_QUESTS","MISSIONI"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","STAGIONE <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","TORNA ALLA STAGIONE ATTUALE"
"TID_BRAWL_PASS_PREVIOUS_SEASON","STAGIONE PRECEDENTE"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","TOCCA PER RISCUOTERE LE RICOMPENSE!"
"TID_BRAWL_PASS_UNLOCK_INFO","RICOMPENSE PREMIUM BLOCCATE!"
"TID_BRAWL_PASS_UNLOCK_LABEL","SBLOCCA"
"TID_BRAWLPASS_PURCHASE_ERROR_4","Spiacenti, questo Brawl Pass non è più disponibile."
"TID_BRAWLPASS_PURCHASE_ERROR_5","Impossibile acquistare il BUNDLE DEL BRAWL PASS. Hai già ottenuto tutti i premi!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","SBLOCCO SOGLIA"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Vuoi acquistare <NUM> gettoni e avanzare alla prossima soglia?"
"TID_PURCHASE_BRAWL_PASS_TITLE","OTTIENI IL BRAWL PASS!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BUNDLE DEL BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Sblocca le ricompense del Brawl Pass e missioni aggiuntive."
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","Brawl Pass e <NUM> soglie."
"TID_UNDERDOG","SFAVORITO"
"TID_ACCESSORY","GADGET"
"TID_BATTLE_END_COIN_SHOWER","EVENTO PIOGGIA DI MONETE"
"TID_LFG_POPUP_TITLE_MEMBER","TROVA UN MEMBRO"
"TID_LFG_POPUP_TITLE_TEAM","TROVA UNA SQUADRA"
"TID_LFG_POPUP_INFO_MEMBER","Cerca dei giocatori da mettere in squadra."
