"Name","Type","SubType","ChargeCount","Cooldown","UseEffect","LoopingEffect","LoopingEffectPet","ActivationDelay","ActiveTicks","ShowCountdown","StopMovement","StopPetForDelay","AnimationIndex","SetAttackAngle","AimGuideType","ConsumesAmmo","AreaEffect","PetAreaEffect","InterruptsAction","AllowStunActivation","Interruptable","RequirePetDistance","DestroyPet","Range","RequireEnemyInRange","TargetFriends","TargetIndirect","ShieldPercent","ShieldTicks","SpeedBoost","SpeedBoostTicks","SkipTypeCondition","UsableDuringCharge","CustomObject","CustomValue1","CustomValue2","CustomValue3","CustomValue4","CustomValue5","CustomValue6","MissingTargetText","TargetTooFarText","TargetAlreadyActiveText","RequiresSpecificActionText"
"string","string","int","int","int","string","string","string","int","int","boolean","boolean","boolean","int","boolean","int","boolean","string","string","boolean","boolean","boolean","int","boolean","int","boolean","boolean","boolean","int","int","int","int","boolean","int","string","int","int","int","int","int","int","string","string","string","string"
"Rosa_GrowBush",,,3,100,"gadget_activate",,,,,,,,,,1,,"BushGrowArea",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crow_Shield",,,2,100,"gadget_activate",,,,,,,,,,,,,,,,,,,,,,,60,60,,,,,,,,,,,,,,,
"Wally_Heal","consume_bush",,3,100,"gadget_activate",,,,,,,,,,2,,,,"true",,,,,,,,,,,,,,,,2000,,,,,,,"TID_ACCESSORY_BLOCKED_BUSH_TOO_FAR",,
"RocketGirl_Jump","jump",,3,100,"gadget_activate",,,,,,,,,,1,,"RocketJumpExplosion",,"true",,,,,,,,,,,,,,,,200,,,,,,,,,
"TrickshotDude_ShootAround","repeat_area",,3,100,"gadget_activate",,,,20,,,,,,,,"TrickshotDudeAccessoryExplosion",,,,"true",,,,,,,,,,,,,,10,,,,,,,,,
"Cactus_ShootAround","repeat_area",,3,100,"gadget_activate",,,,30,,,,,,,,"CactusAccessoryExplosion",,,,"true",,,,,,,,,,,,,,10,,,,,,,,,
"ArtilleryDude_DestroyPet",,,3,100,"gadget_activate",,,,,,,,,,3,,,"ArtilleryDudeAccessoryExplosion",,,,12,"true",,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_TURRET","TID_ACCESSORY_BLOCKED_TURRET_TOO_FAR",,
"Shaman_PetSlam",,,3,100,"gadget_activate",,"gadget_on_loop",20,,,,,,,3,,,"ShamanBearSlam",,,,12,,,,,,,,,,,,,,,,,,,"TID_ACCESSORY_BLOCKED_MISSING_BEAR","TID_ACCESSORY_BLOCKED_BEAR_TOO_FAR",,
"Barkeep_Slow",,,3,100,"gadget_activate",,,,,,,,,,1,,"BarkeepSlowPuddle",,,,,,,,,,,,,,,,,,,,,,,,,,,
