"Name","Character","Model","ModelCNOverride","GadgetModel","PortraitCameraFile","IntroCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","LobbyAnim","LobbyLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","IntroAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","LobbyFace","LobbyLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","LobbyEffect","HeroScreenEffect","SignatureEffect","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","SecondaryProjectile","UltiProjectile","MainAttackEffect","MainAttackEffect2","UltiAttackEffect","UltiAttackEffect2","UseBlueTextureInMenus","MainAttackUseEffect","UltiUseEffect","UltiEndEffect","MeleeHitEffect","SpawnEffect","UltiLoopEffect","UltiLoopEffect2","StarPower1Effect","StarPower2Effect","AreaEffect","AreaEffectStarPower","AreaEffectStarPower2","AreaEffectAttack","SpawnedItem","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","BoneEffect1","BoneEffect2","BoneEffect3","BoneEffect4","BoneEffectUse","AutoAttackProjectile","ProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","MoveEffect","MoveEffect2","StillEffect","StillEffect2","ChargedShotEffect","DisableHeadRotation"
"string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean","boolean","boolean","string","string","string","string","string","string","string","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","boolean"
"BanditGirlDefault","ShotgunGirl","shelly_geo.scw",,,"shelly_base_cam.scw","shelly_intro_pose.scw",,"ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyWin","ShellyWinloop","ShellyIdle","ShellyWin","ShellyWinloop","ShellyWin","ShellyIdle","ShellyIdle","ShellyProfile","ShellyIntro",,,,,,"ShellyFace","ShellyFace","ShellyHappy","ShellyFace","ShellySad","ShellySadLoop","ShellyHappy","ShellyFace","ShellyFace","ShellyHappy","ShellyFace","ShellyHappy","ShellyStill","ShellyStill",,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunSlingerDefault","Gunslinger","colt_geo.scw",,,"colt_base_cam.scw","emz_intro_pose.scw",,"GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerWinloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle","GunslingerIdle","GunslingerProfile","GunslingerProfile",,,,,,"ColtFace","ColtFace","ColtHappy","ColtFace","ColtSad","ColtSadLoop","ColtHappy","ColtFace","ColtFace","ColtHappy","ColtFace","ColtHappy","ColtStill","ColtStill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunSlingerRockstar","Gunslinger","colt_rockstar_geo.scw",,,"colt_base_cam.scw","emz_intro_pose.scw",,"GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerWinloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle","GunslingerIdle","GunslingerProfile","GunslingerProfile",,,,,,"ColtFace","ColtFace","ColtHappy","ColtFace","ColtSad","ColtSadLoop","ColtHappy","ColtFace","ColtFace","ColtHappy","ColtFace","ColtHappy","ColtStill","ColtStill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BullGuyDefault","BullDude","bull_geo.scw",,,"bull_base_cam.scw","emz_intro_pose.scw",,"BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockWin","BullRockWinloop","BullRockIdle","BullRockWin","BullRockWinloop","BullRockWin","BullRockIdle","BullRockIdle","BullRockProfile","BullRockProfile",,,,,,,,,,,,,,,,,,,,,,,,,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlDefault","RocketGirl","brock_geo.scw",,,"brock_base_cam.scw","emz_intro_pose.scw",,"BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockPushback","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockWin","BrockWinloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle","BrockIdle","BrockProfile","BrockProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlBeach","RocketGirl","brock_beach_geo.scw",,,"brock_base_cam.scw","emz_intro_pose.scw",,"BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockPushback","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockWin","BrockWinloop","BrockIdle","BrockWin","BrockWinloop","BrockWin","BrockIdle","BrockIdle","BrockProfile","BrockProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brock004Projectile",,"Brock004UltiProjectile","beach_brock_def_atk",,"beach_brock_def_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BurnMainAttackWater",,,,,,
"TntGuyDefault","TntDude","dynamike_geo.scw",,,"dynamike_base_cam.scw","emz_intro_pose.scw",,"TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyWin","TntguyWinloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","TntguyIdle","TntguyIdle","TntguyProfile","TntguyProfile",,,,,,,,,,,,,,,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LuchadorDefault","Luchador","primo_geo.scw:torsoGeo+braceletGeo+legsGeo+beltGeo",,,"primo_portrait.scw","primo_intro_pose.scw",,"LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorWinloop","LouchadorIdle","LouchadorWin","LouchadorWinloop","LouchadorWin","LouchadorIdle","LouchadorIdle","LouchadorProfile","LouchadorIntro",,,,"LouchadorGadgetFlipPrimary","LouchadorGadgetFlipRecoil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TurretDefault","MechanicTurret","turret_jessie_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"Turret","Turret","Turret","Turret","TurretAttack",,"Turret",,"Turret","TurretIdle","TurretSpawn","TurretIdle",,"TurretIdle","TurretSpawn","TurretIdle","Turret","TurretSpawn","TurretIdle",,"TurretIdle","TurretIdle","Turret","Turret",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barley002Projectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
