"TID","CNT"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","任務完成：<NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","任務進度：<NUM>"
"TID_TICKET_COMPENSATION_TITLE","更新公告"
"TID_TICKET_COMPENSATION_INFO","你的入場券已被兌換為寶石！入場券已從遊戲中移除，以後遊戲中將不再使用入場券。"
"TID_TICKET_COMPENSATION_CLAIM","領取！"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","打開剩餘寶箱"
"TID_BRAWL_PASS_QUESTS_LABEL","任務"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","獎盃數達到<TROPHIES>即可解鎖任務"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","可以在榮耀之路中解鎖任務囉！"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","前往榮耀之路介面解鎖任務"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","解鎖下一階獎勵"
"TID_QUESTS_TITLE","任務"
"TID_QUEST_DESC_1","贏得<AMOUNT>場對戰"
"TID_QUEST_DESC_2","擊敗<AMOUNT>個敵人"
"TID_QUEST_DESC_3","造成<AMOUNT>點傷害"
"TID_QUEST_DESC_4","恢復<AMOUNT>點生命值"
"TID_QUEST_DESC_1_LEVELED","通過關卡"
"TID_QUEST_DESC_1_BIG_GAME","贏得<AMOUNT>場對戰"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","贏得<AMOUNT>場對戰"
"TID_QUEST_HERO_CONDITION","\n限定英雄：<HERO>"
"TID_QUEST_MODE_CONDITION","\n限定模式：<MODE>"
"TID_QUEST_NEW","NEW"
"TID_QUEST_PREMIUM","亂鬥通行券專屬"
"TID_RANK_POPUP_QUESTS","任務"
"TID_BRAWL_PASS_POPUP_TITLE","亂鬥通行券"
"TID_BRAWL_PASS_POPUP_INFO","第<SEASON>季"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","回到當前主題季"
"TID_BRAWL_PASS_PREVIOUS_SEASON","上一主題季"
