"TID","VI"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Nhiệm vụ đã hoàn tất:<NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Nhiệm vụ đã tiến triển: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","THÔNG BÁO CẬP NHẬT"
"TID_TICKET_COMPENSATION_INFO","Chúng tôi đã loại bỏ Vé khỏi trò chơi, chúng sẽ không còn được sử dụng nữa. Hãy nhận lấy số Ngọc này thay cho số Vé đó nhé!"
"TID_TICKET_COMPENSATION_CLAIM","NHẬN!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","MỞ CÁC HỘP CÒN LẠI"
"TID_BRAWL_PASS_QUESTS_LABEL","NHIỆM VỤ"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Đạt <TROPHIES> Cúp để mở khóa Nhiệm vụ!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Nhiệm vụ hiện có thể được mở khóa từ Cột mốc Cúp!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Vào Cột mốc Cúp để mở khóa Nhiệm vụ"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","MUA MỘT BẬC"
"TID_QUESTS_TITLE","NHIỆM VỤ"
"TID_QUEST_DESC_1","THẮNG <AMOUNT> TRẬN"
"TID_QUEST_DESC_2","ĐÁNH BẠI <AMOUNT> KẺ ĐỊCH"
"TID_QUEST_DESC_3","GÂY <AMOUNT> ĐIỂM SÁT THƯƠNG"
"TID_QUEST_DESC_4","HỒI <AMOUNT> ĐIỂM MÁU"
"TID_QUEST_DESC_1_LEVELED","HOÀN THÀNH CẤP ĐỘ"
"TID_QUEST_DESC_1_BIG_GAME","THẮNG <AMOUNT> TRẬN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","THẮNG <AMOUNT> TRẬN"
"TID_QUEST_HERO_CONDITION","\nVỚI <HERO>"
"TID_QUEST_MODE_CONDITION","\nTRONG CHẾ ĐỘ <MODE>"
"TID_QUEST_NEW","MỚI"
"TID_QUEST_PREMIUM","VÉ BRAWL PASS ĐỘC QUYỀN"
"TID_RANK_POPUP_QUESTS","NHIỆM VỤ"
"TID_BRAWL_PASS_POPUP_TITLE","VÉ BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","MÙA GIẢI <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","QUAY VỀ MÙA GIẢI HIỆN TẠI"
"TID_BRAWL_PASS_PREVIOUS_SEASON","MÙA GIẢI TRƯỚC"
