"Name","Conf","Campaign","IconOverride","SkinGroupId","ObtainType","ObtainTypeCN","LastChance","MasterSkin","PetSkin","PetSkin2","CostStarPoints","CostGems","CostCoins","TID","ShopTID","Features","CommunityCredit","MaterialsFile","BlueTexture","RedTexture","BlueSpecular","RedSpecular","OutlineShader"
"string","string","string","string","int","int","int","boolean","string","string","string","int","int","int","string","string","string","string","string","string","string","string","string","string"
"BanditGirlDefault","BanditGirlDefault",,,,,,,,,,,,,,,,,,"shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr","shelly_v2_01.pvr",
"GunSlingerDefault","GunSlingerDefault",,,,,,,,,,,,,,,,,,"colt_tex.pvr","colt_tex.pvr","colt_tex.pvr","colt_tex.pvr",
"GunSlingerRockstar","GunSlingerRockstar",,,,,,,,,,,29,,"TID_GUNSLINGER_ROCKSTAR_SKIN","TID_GUNSLINGER_ROCKSTAR_SKIN_SHOP","MODEL",,,"colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr","colt_rockstar_tex.pvr",
"BullGuyDefault","BullGuyDefault",,,,,,,,,,,,,,,,,,"bull_tex_01.pvr","bull_tex_01.pvr","bull_tex_01.pvr","bull_tex_01.pvr",
"RocketGirlDefault","RocketGirlDefault",,,,,,,,,,,,,,,,,,"brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,230.233002)","brock_tex.pvr","brock_tex.pvr+hue(masks/brock/brock_ammo_msk.png,213.488007)","brock_tex.pvr",
"RocketGirlBeach","RocketGirlBeach",,,,,,,,,,,79,,"TID_ROCKET_BEACH_SKIN","TID_ROCKET_BEACH_SKIN_SHOP","MODEL,VFX,SFX",,,"brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,230.233002)","brock_beach_tex.pvr","brock_beach_tex.pvr+hue(masks/brock/brock_ammo_beach_msk.png,213.488007)","brock_beach_tex.pvr",
"TntGuyDefault","TntGuyDefault",,,,,,,,,,,,,,,,,,"dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,221.860001)","dynamike_tex.pvr","dynamike_tex.pvr+hue(masks/dynamike/dynamike_red_blue_msk.png,213.488007)","dynamike_tex.pvr",
"LuchadorDefault","LuchadorDefault",,,,,,,,,,,,,,,,,,"primo_tex.pvr","primo_tex.pvr","primo_tex.pvr","primo_tex.pvr",
"TurretDefault","TurretDefault",,,,,,,,,,,,,,,,,,"dogturret.pvr","dogturret.pvr","dogturret.pvr","dogturret.pvr",
"TrickshotDefault","TrickshotDefault",,,,,,,,,,,,,,,,,,"rico_tex.pvr","rico_tex.pvr","rico_tex.pvr","rico_tex.pvr",
"CactusDefault","CactusDefault",,,,,,,,,,,,,,,,,,"spike_tex.pvr","spike_tex.pvr","spike_tex.pvr","spike_tex.pvr",
"CactusPink","CactusPink",,,,,,,,,,,79,,"TID_CACTUS_PINK_SKIN","TID_CACTUS_PINK_SKIN_SHOP","MODEL,VFX",,,"spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr","spike_blossom_tex.pvr",
"BarkeepDefault","BarkeepDefault",,,,,,,,,,,,,,,,,,"barley_tex.pvr","barley_tex.pvr","barley_tex.pvr","barley_tex.pvr",
"MechanicDefault","MechanicDefault",,,,,,,,"TurretDefault",,,,,,,,,,"jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr","jessie_tex.pvr",
"ShamanDefault","ShamanDefault",,,,,,,,"ShamanBearDefault",,,,,,,,,,"nita_tex.pvr","nita_tex.pvr","nita_tex.pvr","nita_tex.pvr",
"ShamanPanda","ShamanPanda",,,,,,,,"ShamanBearPanda",,,29,,"TID_SHAMAN_PANDA_SKIN","TID_SHAMAN_PANDA_SKIN_SHOP","MODEL,PET",,,"nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr","nita_panda_tex.pvr",
"ShamanBearDefault","ShamanBearDefault",,,,,,,,,,,,,,,,,,"nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr",
"ShamanBearPanda","ShamanBearPanda",,,,,,,,,,,,,,,,,,"nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr","nita_bear_panda_tex.pvr",
"UndertakerDefault","UndertakerDefault",,"icon_skin_mortis_nohat",1,,,,,,,,,,,,,,,"mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr","mortis_v2_tex.pvr",
"CrowDefault","CrowDefault",,,,,,,,,,,,,,,,,,"crow_tex.pvr","crow_tex.pvr","crow_tex.pvr","crow_tex.pvr",
"CrowWhite","CrowWhite",,,,,,,,,,,79,,"TID_CROW_WHITE_SKIN","TID_CROW_WHITE_SKIN_SHOP","MODEL,TEXTURE",,,"crow_white_tex.pvr","crow_white_tex.pvr","crow_white_tex.pvr","crow_white_tex.pvr",
"DeadMariachiDefault","DeadMariachiDefault",,,,,,,,,,,,,,,,,,"poco_tex.pvr","poco_tex.pvr","poco_tex.pvr","poco_tex.pvr",
"BowDudeDefault","BowDudeDefault",,,,,,,,"BowDudeTotemDefault",,,,,,,,,,"bo_tex.pvr","bo_tex.pvr","bo_tex.pvr","bo_tex.pvr",
"SniperDefault","SniperDefault",,,,,,,,,,,,,,,,,,"piper_tex.pvr","piper_tex.pvr","piper_tex.pvr","piper_tex.pvr",
"MinigunDudeDefault","MinigunDudeDefault",,,,,,,,"HealstationDefault",,,,,,,,,,,,,,
"BullGuyHair","BullGuyHair",,,,,,,,,,,79,,"TID_BULL_HAIR_SKIN","TID_BULL_HAIR_SKIN_SHOP","MODEL",,,"bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr","bull_viking_tex.pvr",
"TrickshotGold","TrickshotGold",,,,,,,,,,,149,,"TID_TRICKSHOT_GOLD_SKIN","TID_TRICKSHOT_GOLD_SKIN_SHOP","MODEL,VFX",,,"rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr","rico_gold_tex.pvr",
"BarkeepGold","BarkeepGold",,,,,,,,,,,29,,"TID_BARKEEP_GOLD_SKIN","TID_BARKEEP_GOLD_SKIN_SHOP","MODEL,VFX",,,"barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr","barley_banker_tex.pvr",
"LuchadorRudo","LuchadorRudo",,,,,,,,,,,79,,"TID_LUCHADOR_RUDO_SKIN","TID_LUCHADOR_RUDO_SKIN_SHOP","MODEL,ANIM",,,"primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr","primo_elrudo_tex.pvr",
"BanditGirlBandita","BanditGirlBandita",,,,,4,,,,,,29,,"TID_SHOTGUN_BANDITA_SKIN","TID_SHOTGUN_BANDITA_SKIN_SHOP","MODEL",,,"shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr","shelly_bandita_tex.pvr",
"LuchadorRey","LuchadorRey",,,,,,,,,,,149,,"TID_LUCHADOR_KING_SKIN","TID_LUCHADOR_KING_SKIN_SHOP","MODEL,VFX,ANIM",,,"primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr","primo_elrey_tex.pvr",
"BallDefault","BallDefault",,,,,,,,,,,,,,,,,,,,,,
"BlackholeDefault","BlackholeDefault",,,,,,,,,,,,,,,,,,"tara_tex.pvr","tara_tex.pvr","tara_tex.pvr","tara_tex.pvr",
"HealstationDefault","HealstationDefault",,,,,,,,,,,,,,,,,,"pam_turret_blue_tex.pvr","pam_turret_red_tex.pvr","pam_turret_blue_tex.pvr","pam_turret_red_tex.pvr",
"BarrelbotDefault","BarrelbotDefault",,,,,,,,,,,,,,,,,,"darryl_tex.pvr","darryl_tex.pvr","darryl_tex.pvr","darryl_tex.pvr+value(masks/darryl/darryl_msk.png,0.698000)",
"BlackholePetDefault","BlackholePetDefault",,,,,,,,,,,,,,,,,,"tara_superability_tex.pvr","tara_superability_tex.pvr","tara_superability_tex.pvr","tara_superability_tex.pvr",
"TntPetDefault","TntPetDefault",,,,,,,,,,,,,,,,,,"nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr","nita_bear_tex.pvr",
"RangedBotDefault","RangedBotDefault",,,,,,,,,,,,,,,,,,"rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr","rangedbot_tex.pvr",
"MeleeFastBotDefault","MeleeFastBotDefault",,,,,,,,,,,,,,,,,,"fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr","fastmeleebot_tex.pvr",
"MeleeBotDefault","MeleeBotDefault",,,,,,,,,,,,,,,,,,"meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr","meleebot_tex.pvr",
"BossBotDefault","BossBotDefault",,,,,,,,,,,,,,,,,,"bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr","bossbot_tex.pvr",
"ArtilleryGalDefault","ArtilleryGalDefault",,,,,,,,"ArtilleryTurretDefault",,,,,,,,,,"mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr",
"FrankDefault","FrankDefault",,,,,,,,,,,,,,,,,,"frank_tex.pvr","frank_tex.pvr","frank_tex.pvr","frank_tex.pvr",
"ArtilleryTurretDefault","ArtilleryTurretDefault",,,,,,,,,,,,,,,,,,"mari_tex.pvr","mari_tex.pvr","mari_tex.pvr","mari_tex.pvr",
"MechanicKnight","MechanicKnight",,,,,,,,"TurretDragon",,,149,,"TID_MECHANIC_KNIGHT_SKIN","TID_MECHANIC_KNIGHT_SKIN_SHOP","MODEL,TURRET,VFX,ANIM",,,"jessie_knight_tex.pvr","jessie_knight_tex.pvr","jessie_knight_tex.pvr","jessie_knight_tex.pvr",
"FrankCaveman","FrankCaveman","ARCHIVED",,,4,4,,,,,,79,,"TID_FRANK_CAVEMAN_SKIN","TID_FRANK_CAVEMAN_SKIN_SHOP","MODEL",,,"frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr","frank_caveman_01.pvr",
"TurretDragon","TurretDragon",,,,,,,,,,,,,,,,,,"turret_dragon_tex.pvr","turret_dragon_tex.pvr","turret_dragon_tex.pvr","turret_dragon_tex.pvr",
"MechanicSummer","MechanicSummer",,,,,,,,"TurretSummertime",,,79,,"TID_MECHANIC_SUMMER_SKIN","TID_MECHANIC_SUMMER_SKIN_SHOP","MODEL,TURRET,VFX",,,"jessie_summertime_tex.pvr","jessie_summertime_tex.pvr","jessie_summertime_tex.pvr","jessie_summertime_tex.pvr",
"TurretSummertime","TurretSummertime",,,,,,,,,,,,,,,,,,"turret_summertime_tex.pvr","turret_summertime_tex.pvr","turret_summertime_tex.pvr","turret_summertime_tex.pvr",
