"TID","FI"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Suoritetut tehtävät: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Aloitetut tehtävät: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","PÄIVITYSILMOITUS"
"TID_TICKET_COMPENSATION_INFO","Tässä jalokiviä lipuistasi! Liput on poistettu pelistä, joten et tarvitse niitä enää."
"TID_TICKET_COMPENSATION_CLAIM","LUNASTA!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","AVAA LOPUT LIPPAAT"
"TID_BRAWL_PASS_QUESTS_LABEL","TEHTÄVÄT"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Avaa tehtävät keräämällä yhteensä <TROPHIES> pokaalia!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Voit nyt avata pokaalipolun tehtävät!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Avaa pokaalipolun tehtävät."
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","OSTA TASO"
"TID_QUESTS_TITLE","TEHTÄVÄT"
"TID_QUEST_DESC_1","VOITA <AMOUNT> OTTELUA"
"TID_QUEST_DESC_2","TYRMÄÄ <AMOUNT> VASTUSTAJAA"
"TID_QUEST_DESC_3","AIHEUTA <AMOUNT> PISTETTÄ VAHINKOA"
"TID_QUEST_DESC_4","PALAUTA <AMOUNT> PISTETTÄ ELINVOIMAA"
"TID_QUEST_DESC_5","VALITSE \qPELAA UUDELLEEN\q <NUM> KERTAA"
"TID_QUEST_DESC_6","PELAA <NUM> OTTELUA JOUKKUEESSA"
"TID_QUEST_DESC_1_LEVELED","SUORITA TASO"
"TID_QUEST_DESC_1_BIG_GAME","VOITA <AMOUNT> OTTELUA"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","VOITA <AMOUNT> OTTELU"
"TID_QUEST_HERO_CONDITION","\nRÄMÄPÄÄLLÄ <HERO>"
"TID_QUEST_MODE_CONDITION","\nPELITILASSA <MODE>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nJOUKKUEKAVERIN KANSSA"
"TID_QUEST_NEW","UUSI"
"TID_QUEST_PREMIUM","VAIN BRAWL PASSILLA"
"TID_RANK_POPUP_QUESTS","TEHTÄVÄT"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","KAUSI <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","TAKAISIN NYKYISEEN KAUTEEN"
"TID_BRAWL_PASS_PREVIOUS_SEASON","EDELLINEN KAUSI"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","LUNASTA PALKINNOT NAPAUTTAMALLA!"
"TID_BRAWL_PASS_UNLOCK_INFO","PREMIUM-PALKINNOT LUKITTU!"
"TID_BRAWL_PASS_UNLOCK_LABEL","AVAA"
"TID_BRAWLPASS_PURCHASE_ERROR_4","Tämä Brawl Pass ei valitettavasti ole enää saatavilla."
"TID_BRAWLPASS_PURCHASE_ERROR_5","Et voi hankkia Brawl Pass -pakettia, koska olet jo ansainnut kaikki palkinnot!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","SEURAAVA TASO"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Haluatko ostaa <NUM> polettia ja nousta seuraavalle tasolle?"
