"Name","Disabled","FileName","ExportName","ParticleFileName","ParticleExportName","ParticleStyle","ParticleVariations","ThemeMusic","UseInLevelSelection"
"string","boolean","string","string","string","string","string","int","string","boolean"
"Default",,"sc/background_basic.sc","bgr","sc/ui.sc",,,,"Action_Western_Menu","true"
"Winter","true","sc/background_basic.sc","bgr","sc/ui.sc","particle_snow_","Snow",2,"Snow_brawl","true"
"LNY","true","sc/background_lny.sc","bgr_cny",,,,,"Cnymenu_music","true"
"CR","true","sc/background_basic.sc","bgr_royale",,,,,"Brawl_royale_menu_music","true"
"Easter","true","sc/background_basic.sc","bgr",,,,,"MenuMusic","true"
"GoldenWeek","true","sc/background_gw.sc","bgr_gw",,,,,"Golden_Week_Menu","true"
"Retropolis","true","sc/backlocationground_retropolis.sc","bgr_retropolis",,,,,"Retropolis_menu","true"
"Mecha","true","sc/background_mecha.sc","bgr_mecha",,,,,"MechMenuMusic","true"
"Halloween","true","sc/background_brawloween.sc","bgr_brawloween",,,,,"Halloween_menu","true"
"Brawlidays","true","sc/background_brawlidays.sc","bgr_brawlidays",,,,,"Xmas_Pirate_Menu","true"
"LNY20","true","sc/background_lny_20.sc","bgr_lny20",,,,,"Brawlcade_Menu","true"
"PSG","true","sc/background_psg.sc","bgr_psg","sc/ui.sc",,,,"Footbrawl_menu_muzak","true"
"SC10","true","sc/background_s_anniversary.sc","bgr_s_anniversary",,,,,"10th_Anniversary_Menu","true"
"Bazaar","true","sc/background_t_bazaar.sc","bgr_t_bazaar",,,,,"Brawzaar_menu_muzak","true"
"Monsters","true","sc/background_scity.sc","bgr_scity",,,,,"Monsterbrawl_menu_muzak","true"
"Giftshop","true","sc/background_giftshop.sc","bgr_giftshop",,,,,"Starpark_Menu_Music","true"
"MoonFestival20","true","sc/background_moon_festival.sc","bgr_moon_festival",,,,,"Lunar_Menu_Music","true"
"WF20","true","sc/background_world_finals.sc","bgr_world_finals",,,,,"Elprimo_fire_menu","true"
"Brawloween_20","true","sc/background_brawloween.sc","bgr_brawloween",,,,,"Elprimo_fire_menu","true"
"Winter_20","true","sc/background_snowtel.sc","bgr_snowtel",,,,,"Snowtel_Menu","true"
"Winter_20_snow","true","sc/background_snowtel.sc","bgr_snowtel","sc/ui.sc","particle_snow_","Snow",2,"Xmas_menu","true"
"StarrForce","true","sc/background_ox.sc","bgr_ox",,,,,"Space_Brawl_Menu","true"
"LNY21","true","sc/background_lny.sc","bgr_lny21",,,,,"Space_Brawl_LNY_Menu","true"
"ActionShow",,"sc/background_basic.sc","bgr",,,,,"Action_Western_Menu","true"
"Ramadan","true","sc/background_ramadan.sc","bgr_ramadan",,,,,"Brawzaar_menu_muzak","true"
"China_Anniversary",,"sc/background_c1a.sc","bgr_c1a",,,,,"Cnymenu_music","true"
"Velocirapids",,"sc/background_vp.sc","bgr_vp",,,,,"Summer_Brawl_Menu_Muzak","true"
"Punk",,"sc/background_punk.sc","bgr_punk",,,,,"Punk_Brawl_Menu","true"
