"TID","TH"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","เควสต์ที่เล่นเสร็จแล้ว: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","เควสต์ที่กำลังเล่น: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","การแจ้งเตือนการอัปเดต"
"TID_TICKET_COMPENSATION_INFO","รับอัญมณีจากตั๋วของคุณ! เราได้นำตั๋วออกจากเกม ดังนั้นพวกมันจึงไม่มีประโยชน์อีกต่อไป"
"TID_TICKET_COMPENSATION_CLAIM","รับ!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","เปิดกล่องที่เหลือ"
"TID_BRAWL_PASS_QUESTS_LABEL","เควสต์"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","เก็บถ้วยรางวัลให้ถึง <TROPHIES> ถ้วยเพื่อปลดล็อคเควสต์!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","สามารถปลดล็อคเควสต์จากถนนถ้วยรางวัลได้แล้วตอนนี้!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","ไปยังถนนถ้วยรางวัลเพื่อปลดล็อคเควสต์"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","ซื้อขั้น"
"TID_QUESTS_TITLE","เควสต์"
"TID_QUEST_DESC_1","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_DESC_2","เอาชนะศัตรู <AMOUNT> คน"
"TID_QUEST_DESC_3","ทำความเสียหาย <AMOUNT> หน่วย"
"TID_QUEST_DESC_4","รักษาพลังชีวิต <AMOUNT> หน่วย"
"TID_QUEST_DESC_5","ใช้ \qเล่นอีกครั้ง\q <NUM> ครั้ง"
"TID_QUEST_DESC_6","เล่นกับทีมเดิมด้วยกัน <NUM> แมตช์"
"TID_QUEST_DESC_1_LEVELED","เล่นผ่านเลเวล"
"TID_QUEST_DESC_1_BIG_GAME","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","ชนะการต่อสู้ <AMOUNT> ครั้ง"
"TID_QUEST_HERO_CONDITION","\nโดยใช้ <HERO>"
"TID_QUEST_MODE_CONDITION","\nในโหมด<MODE>"
"TID_QUEST_PLAYAGAIN_CONDITION","\nกับเพื่อนร่วมทีม"
"TID_QUEST_NEW","ใหม่"
"TID_QUEST_PREMIUM","พิเศษสำหรับ Brawl Pass"
"TID_RANK_POPUP_QUESTS","เควสต์"
"TID_BRAWL_PASS_POPUP_TITLE","Brawl Pass"
"TID_BRAWL_PASS_POPUP_INFO","ฤดูกาล <SEASON>"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","กลับไปยังฤดูกาลปัจจุบัน"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ฤดูกาลก่อนหน้า"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","แตะที่นี่เพื่อรับรางวัล!"
"TID_BRAWL_PASS_UNLOCK_INFO","รางวัลพรีเมียมล็อคอยู่!"
"TID_BRAWL_PASS_UNLOCK_LABEL","ปลดล็อค"
"TID_BRAWLPASS_PURCHASE_ERROR_4","ขออภัย ไม่สามารถใช้ Brawl Pass นี้ได้แล้ว!"
"TID_BRAWLPASS_PURCHASE_ERROR_5","ไม่สามารถซื้อห่อ Brawl Pass ได้ คุณได้รับรางวัลทั้งหมดแล้ว!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","ข้ามขั้นหรือไม่?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","ซื้อโทเค็น <NUM> ชิ้นเพื่อข้ามไปยังขั้นถัดไปหรือไม่?"
"TID_PURCHASE_BRAWL_PASS_TITLE","ซื้อ Brawl Pass!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","Brawl Pass"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","ห่อ Brawl Pass"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","ปลดล็อครางวัล Brawl Pass และเควสต์เพิ่มเติม"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","Brawl Pass + <NUM> ขั้น"
"TID_UNDERDOG","ไก่รองบ่อน"
"TID_ACCESSORY","อุปกรณ์เสริม"
"TID_BATTLE_END_COIN_SHOWER","อีเวนท์เหรียญโปรยปราย"
"TID_LFG_POPUP_TITLE_MEMBER","ค้นหาสมาชิก"
"TID_LFG_POPUP_TITLE_TEAM","ค้นหาทีม"
"TID_LFG_POPUP_INFO_MEMBER","ค้นหาผู้เล่นเพื่อร่วมทีมกับคุณ"
"TID_LFG_POPUP_INFO_TEAM","ค้นหาผู้เล่นเพื่อเข้าร่วมทีมปัจจุบันของคุณ"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","เกณฑ์อีเวนท์ (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","ฉันต้องการเล่น (แตะเพื่อเปลี่ยน)"
"TID_LFG_POPUP_START_SEARCH","ไปเลย!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","โหมดเกมนี้ไม่รองรับผู้เล่นเพิ่มเติมแล้ว"
"TID_LOOKING_FOR_A_TEAM","กำลังค้นหาทีม"
"TID_LOOKING_FOR_A_MEMBER","กำลังค้นหาสมาชิก"
"TID_CC_TEASER_TITLE","เร็วๆ นี้!"
"TID_CC_TEASER_INFO","เตรียมตัวให้พร้อมสำหรับความท้าทายชิงแชมป์ ชนะ <WIN> ครั้ง!\n\nเล่นกับเพื่อนหรือใช้ฟีเจอร์ \qค้นหาทีม\q เพื่อเพิ่มโอกาสของคุณ\n\nความท้าทายจะเปิดให้เล่นเพียง <DURATION> ชั่วโมงเท่านั้น ใช้เวลาให้คุ้มค่าล่ะ!"
"TID_CC_POPUP_TITLE","ความท้าทายชิงแชมป์"
"TID_CC_POPUP_1_TITLE","PSG CUP"
"TID_CC_POPUP_TITLE_PSG_21","PSG CUP 2021"
"TID_CC_POPUP_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อพิชิตความท้าทาย หากแพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_1_DESC","รับรางวัลเจ๋งๆ ทุกครั้งที่คว้าชัย! ชนะ <WINS> ครั้งเพื่อคว้าถ้วย แต่แพ้ <LOSSES> ครั้ง คุณต้องออก!"
"TID_CC_POPUP_WINS","ชนะ <WINS>/<MAX> ครั้ง"
"TID_CC_POPUP_WINS_FOR_EVENT","ด่าน <LEVEL>"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","รอบ 8 ทีมสุดท้าย"
