"TID","TR"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Tamamlanan görev: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","İlerlenen görev: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","GÜNCELLEME BİLDİRİMİ"
"TID_TICKET_COMPENSATION_INFO","Biletlerinin karşılığında sana elmas veriyoruz! Biletleri oyundan kaldırdık, bu yüzden sahip olduğun biletler artık kullanılmıyor."
"TID_TICKET_COMPENSATION_CLAIM","AL!"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","KALAN KUTULARI AÇ"
"TID_BRAWL_PASS_QUESTS_LABEL","GÖREVLER"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Görevleri açmak için <TROPHIES> kupaya ulaşmalısın!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Görevleri artık kupa yolunda açabileceksin!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Görevleri açmak için kupa yoluna gitmelisin."
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","BİR KADEME AL"
"TID_QUESTS_TITLE","GÖREVLER"
"TID_QUEST_DESC_1","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_DESC_2","<AMOUNT> DÜŞMAN YOK ET"
"TID_QUEST_DESC_3","<AMOUNT> HASAR VER"
"TID_QUEST_DESC_4","<AMOUNT> PUAN İYİLEŞ"
"TID_QUEST_DESC_5","<NUM> KEZ \qTEKRAR OYNA\q SEÇENEĞİNİ KULLAN"
"TID_QUEST_DESC_6","BİR TAKIMDA <NUM> MAÇ YAP"
"TID_QUEST_DESC_1_LEVELED","BÖLÜMÜ TAMAMLA"
"TID_QUEST_DESC_1_BIG_GAME","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","<AMOUNT> SAVAŞ KAZAN"
"TID_QUEST_HERO_CONDITION","\n(<HERO>)"
"TID_QUEST_MODE_CONDITION","\n(<MODE>)"
"TID_QUEST_PLAYAGAIN_CONDITION","\nBİR TAKIM ARKADAŞIYLA"
"TID_QUEST_NEW","YENİ"
"TID_QUEST_PREMIUM","BRAWL PASS ÖZEL"
"TID_RANK_POPUP_QUESTS","GÖREVLER"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","<SEASON>. SEZON"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","ŞU ANKİ SEZONA GERİ DÖN"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ÖNCEKİ SEZON"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","ÖDÜLLERİ ALMAK İÇİN BURAYA DOKUN!"
"TID_BRAWL_PASS_UNLOCK_INFO","ÖZEL ÖDÜLLER KİLİTLİ!"
"TID_BRAWL_PASS_UNLOCK_LABEL","AÇ"
"TID_BRAWLPASS_PURCHASE_ERROR_4","Ne yazık ki bu Brawl Pass artık satın alınamıyor."
"TID_BRAWLPASS_PURCHASE_ERROR_5","BRAWL PASS PAKETİ alınamıyor, tüm ödülleri zaten kazanmışsın!"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","KADEME ATLANSIN MI?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","<NUM> jeton alıp bir sonraki kademeye geçmek ister misin?"
"TID_PURCHASE_BRAWL_PASS_TITLE","BRAWL PASS AL!"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","BRAWL PASS PAKETİ"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Brawl Pass ödüllerini ve ekstra görevleri açarsın."
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + <NUM> KADEME"
"TID_UNDERDOG","DÜŞÜK KUPA"
"TID_ACCESSORY","AKSESUAR"
"TID_BATTLE_END_COIN_SHOWER","ALTIN YAĞMURU ETKİNLİĞİ"
"TID_LFG_POPUP_TITLE_MEMBER","ÜYE ARA"
"TID_LFG_POPUP_TITLE_TEAM","TAKIM ARA"
"TID_LFG_POPUP_INFO_MEMBER","Birlikte takım kurabileceğin oyuncular bulur."
"TID_LFG_POPUP_INFO_TEAM","Takımına katılacak bir oyuncu bulur."
