Name,FileName,StartFrame,EndFrame,FaceFreezeFrame,Speed,TransitionInMs,TransitionOutMs,AutoFadeMs,Looping,Priority
string,string,int,int,int,int,int,int,int,boolean,string
Turret,turret_jessie_geo.scw,,-1,,,,,,,
TurretSpawn,turret_jessie_spawn.scw,,-1,,,,,1,,3
TurretIdle,turret_jessie_idle.scw,,-1,,,,,,true,
TurretAttack,turret_jessie_attack.scw,,-1,,,,,1,,4
GunslingerIdle,colt_idle.scw,,-1,,,100,100,,true,
GunslingerWalk,colt_walk.scw,,-1,,125,100,100,,true,1
GunslingerPrimary,colt_attack.scw,,-1,,,100,200,100,,spine_lower_s#3
GunslingerSecondary,colt_attack.scw,,-1,,,200,200,100,,spine_lower_s#3
GunslingerRecoil,colt_recoil1.scw,1,10,,,100,100,200,,spine_lower_s#4
GunslingerRecoil2,colt_recoil2.scw,1,10,,,100,100,200,,spine_lower_s#4
GunslingerReload,colt_idle.scw,1,3,,,800,800,800,,spine_lower_s#4
GunslingerPushback,colt_pushback.scw,,-1,,,100,100,100,,5
GunslingerWin,colt_win.scw,,-1,,,,,,,
GunslingerWinloop,colt_idle.scw,,-1,,,,,,true,
GunslingerLose,colt_loseloop.scw,,47,,,,,200,,
GunslingerLoseloop,colt_loseloop.scw,48,85,,,,,200,true,
GunslingerProfile,colt_win.scw,1,1,,,,,,,
TntguyIdle,dynamike_idle.scw,,-1,,,100,100,,true,0
TntguyWalk,dynamike_walk.scw,1,29,,150,100,100,,true,1
TntguyPrimary,dynamike_attack.scw,1,5,,,,,10,,hips_s#3
TntguySecondary,dynamike_super.scw,1,5,,,,,10,,hips_s#3
TntguyRecoil,dynamike_attack.scw,5,20,,,,,100,,hips_s#4
TntguyReload,dynamike_walk.scw,1,5,,150,66,66,6,,spine_lower_s#0
TntguyUlti,dynamike_super.scw,5,20,,,,,100,,hips_s#4
TntguyPushback,dynamike_pushback.scw,,-1,,,100,100,100,,5
TntguyWin,dynamike_win.scw,1,62,,,,,,,
TntguyWinloop,dynamike_win.scw,62,89,,80,,,,true,
TntguyLose,dynamike_lose.scw,,41,,,,,,,
TntguyLoseloop,dynamike_lose.scw,41,50,,,,,,true,
TntguyProfile,dynamike_idle.scw,20,20,,,,,,true,
UndertakerIdle,mortis_idle.scw,1,32,,,200,200,,true,
UndertakerAttack,mortis_attack.scw,3,30,,,,250,200,,3
UndertakerWalk,mortis_walk.scw,1,32,,150,100,100,,true,1
UndertakerRecoil1,mortis_attack.scw,3,30,,,,250,200,,4
UndertakerUltiRecoil1,mortis_ulti.scw,5,40,,,,,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
UndertakerUltiAttack,mortis_ulti.scw,,5,,,,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
UndertakerPushback,mortis_pushback.scw,,-1,,,100,100,100,,5
UndertakerWin,mortis_win.scw,1,77,,,,,,,1
UndertakerWinloop,mortis_win.scw,77,106,,,,,,true,1
UndertakerLose,mortis_lose.scw,1,54,,,,,,,1
UndertakerLoseloop,mortis_lose.scw,54,60,,,,,,true,1
UndertakerProfile,mortis_win.scw,49,49,,,,,,,1
CrowIdle,crow_idle.glb,1,29,,,100,100,,true,1
CrowWalk,crow_walk.glb,1,19,,,100,100,,true,1
CrowPrimary,crow_attack.glb,,5,,,100,,,,hips_s#3+L_upperLeg_s#0+R_upperLeg_s#0
CrowSecondary,crow_super.glb,,45,,,50,50,200,,5
CrowRecoil,crow_attack.glb,5,20,,,,50,200,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
CrowReload,crow_reload.glb,1,20,,,100,100,200,,hips_s#0+chest_s#5+R_clavicle_s#0+head_s#0+L_upperLeg_s#0+R_upperLeg_s#0
CrowPushback,crow_pushback.glb,1,10,,,200,100,100,,5
CrowWin,crow_win.glb,,126,,,,,,,
CrowWinloop,crow_win.glb,127,165,,,,,,true,
CrowLose,crow_lose.glb,,-1,,,,,,,
CrowLoseloop,crow_lose.glb,48,-1,,,,,,true,
CrowProfile,crow_idle.glb,1,1,,,,,,true,
BowGuyIdle,bo_idle.scw,1,29,,,100,100,,true,
BowGuyWalk,bo_walk.scw,1,20,,,100,100,,true,1
BowGuyAttack,bo_attack.scw,1,12,,,50,50,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BowGuySecondary,bo_ult.scw,1,12,,,50,50,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BowGuyRecoil,bo_attack.scw,13,30,,,50,50,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BowGuyRecoil2,bo_ult.scw,13,30,,,50,50,350,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
BowGuyWin,bo_win.scw,-1,79,,,100,100,500,,
BowGuyWinloop,bo_win.scw,80,120,,,100,100,200,true,
BowGuyLose,bo_lose.scw,1,29,,,100,100,200,,
BowGuyLoseloop,bo_lose.scw,30,79,,,100,100,200,true,
BowGuyProfile,bo_idle.scw,1,1,,,,,,true,
RicoIdle,rico_idle.scw,,-1,,,100,100,,true,
RicoWalk,rico_walk.scw,,25,,,100,100,,true,1
RicoPrimary,rico_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoSecondary,rico_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoRecoil,rico_attack.scw,8,30,,150,50,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoReload,rico_idle.scw,1,2,,,200,200,200,,
RicoPushback,rico_idle.scw,,-1,,,200,100,200,,5
RicoWin,rico_win.scw,1,149,,,,,,,
RicoWinloop,rico_win.scw,150,210,,,,,,true,
RicoLose,rico_lose.scw,1,70,,,,,,,
RicoLoseloop,rico_lose.scw,70,75,,,,,,true,
RicoProfile,rico_win.scw,1,1,,,,,,true,
RicoPopcornIdle,rico_popcorn_idle.scw,,-1,,,100,100,,true,
RicoPopcornWalk,rico_walk.scw,,-1,,120,100,100,,true,1
RicoPopcornPrimary,rico_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoPopcornSecondary,rico_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoPopcornRecoil,rico_attack.scw,8,30,,150,50,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoPopcornReload,rico_popcorn_idle.scw,1,2,,,200,200,200,,
RicoPopcornPushback,rico_popcorn_idle.scw,,-1,,,200,100,200,,5
RicoPopcornWin,rico_popcorn_win.scw,1,149,,,,,,,
RicoPopcornWinloop,rico_popcorn_win.scw,150,210,,,,,,true,
RicoPopcornLose,rico_popcorn_lose.scw,1,46,,,,,,,
RicoPopcornLoseloop,rico_popcorn_lose.scw,46,138,,,,,,true,
RicoGoldIdle,rico_gold_idle.scw,,-1,,,100,100,,true,
RicoGoldWalk,rico_gold_walk.scw,,25,,120,100,100,,true,1
RicoGoldPrimary,rico_gold_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoGoldSecondary,rico_gold_attack.scw,5,8,,,100,,,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoGoldRecoil,rico_gold_attack.scw,8,30,,150,50,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
RicoGoldReload,rico_gold_idle.scw,1,2,,,200,200,200,,
RicoGoldPushback,rico_gold_idle.scw,,-1,,,200,100,200,,5
RicoGoldWin,rico_gold_win.scw,1,150,,,,,,,
RicoGoldWinloop,rico_gold_win.scw,150,210,,,,,,true,
RicoGoldLose,rico_gold_lose.scw,1,82,,,,,,,
RicoGoldLoseloop,rico_gold_lose.scw,82,85,,,,,,true,
JunkerIdle,jessie_idle.scw,,-1,,,100,100,,true,
JunkerWalk,jessie_walk.scw,,-1,,150,100,100,,true,1
JunkerPrimary,jessie_attack.scw,1,5,,,,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
JunkerUltiAttack,jessie_idle.scw,,-1,,,200,200,10,true,5
JunkerRecoil,jessie_attack.scw,5,15,,,,,100,,hips_s#4+L_upperLeg_s#0+R_upperLeg_s#0
JunkerUltiRecoil,jessie_idle.scw,,-1,,,200,200,100,,5
JunkerReload,jessie_idle.scw,,-1,,,200,200,200,,ChestBone#2
JunkerPushback,jessie_pushback.scw,,-1,,,100,100,100,,5
JunkerWin,jessie_win.scw,1,107,,,,,,,
JunkerWinloop,jessie_win.scw,107,139,,,,,,true,
JunkerLose,jessie_lose.scw,1,56,,,,,,,
JunkerLoseloop,jessie_lose.scw,56,70,,,,,,true,
JunkerProfile,jessie_portrait.scw,1,1,,,,,,true,
