TID,PL
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Wykonane misje: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Postępy misji: <NUM>
TID_TICKET_COMPENSATION_TITLE,POWIADOMIENIE O AKTUALIZACJI
TID_TICKET_COMPENSATION_INFO,"Oto Klejnoty za Twoje Bilety! Usunęliśmy Bilety z gry, więc nie ma już z nich żadnego pożytku."
TID_TICKET_COMPENSATION_CLAIM,ODBIERZ!
TID_BRAWL_PASS_OLD_BOXES_TITLE,OTWÓRZ POZOSTAŁE SKRZYNKI
TID_BRAWL_PASS_QUESTS_LABEL,MISJE
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,"Zdobądź <TROPHIES> pucharów, aby odblokować misje!"
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Teraz można odblokować misje na Alei Pucharów!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,"Przejdź na Aleję Pucharów, aby odblokować misje"
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,KUP KLASĘ
TID_QUESTS_TITLE,MISJE
TID_QUEST_DESC_1,WYGRAJ BITWY: <AMOUNT>
TID_QUEST_DESC_2,POKONAJ <AMOUNT> PRZECIWNIKÓW
TID_QUEST_DESC_3,ZADAJ <AMOUNT> PKT. OBRAŻEŃ
TID_QUEST_DESC_4,ULECZ <AMOUNT> PKT. ŻYCIA
TID_QUEST_DESC_5,SKORZYSTAJ Z OPCJI \qZAGRAJ PONOWNIE\q <NUM> RAZY
TID_QUEST_DESC_6,ROZEGRAJ <NUM>\nMECZY/E W DRUŻYNIE
TID_QUEST_DESC_1_LEVELED,UKOŃCZ POZIOM
TID_QUEST_DESC_1_BIG_GAME,WYGRAJ BITWY: <AMOUNT>
TID_QUEST_DESC_1_BIG_GAME_SINGLE,WYGRAJ <AMOUNT> BITWĘ
TID_QUEST_HERO_CONDITION,\nZ <HERO>
TID_QUEST_MODE_CONDITION,\n(<MODE>)
TID_QUEST_PLAYAGAIN_CONDITION,\nZ CZŁONKIEM DRUŻYNY
TID_QUEST_NEW,NOWOŚĆ
TID_QUEST_PREMIUM,TYLKO Z KARNETEM ZADYMIARSKIM
TID_RANK_POPUP_QUESTS,MISJE
TID_RANK_POPUP_CLUB_FEATURE,KLUBY
TID_BRAWL_PASS_POPUP_TITLE,KARNET ZADYMIARSKI
TID_BRAWL_PASS_POPUP_INFO,SEZON <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,POWRÓT DO BIEŻĄCEGO SEZONU
TID_BRAWL_PASS_PREVIOUS_SEASON,POPRZEDNI SEZON
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,"DOTKNIJ, ABY ODEBRAĆ NAGRODY!"
TID_BRAWL_PASS_UNLOCK_INFO,NAGRODY PREMIUM ZABLOKOWANE!
TID_BRAWL_PASS_UNLOCK_LABEL,ODBLOKUJ
TID_BRAWLPASS_PURCHASE_ERROR_4,"Niestety, ten Karnet Zadymiarski nie jest już dostępny!"
TID_BRAWLPASS_PURCHASE_ERROR_5,"Nie możesz skorzystać już z PAKIETU Z KARNETEM ZADYMIARSKIM, już zdobyłeś wszystkie nagrody!"
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,PODNIEŚĆ KLASĘ?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Kupić <NUM> żetonów i przejść do wyższej klasy?
TID_PURCHASE_BRAWL_PASS_TITLE,ZDOBĄDŹ KARNET ZADYMIARSKI!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,KARNET ZADYMIARSKI
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,PAKIET Z KARNETEM ZADYMIARSKIM
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,Odblokuj nagrody i dodatkowe misje z Karnetem Zadymiarskim
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,KARNET ZADYMIARSKI Z <NUM> KLASAMI
TID_TAKEDOWNS_LABEL,ELIMINACJE
TID_DEFEAT_LABEL,PORAŻKA
TID_UNDERDOG,NĘDZNIK
TID_ACCESSORY,GADŻET
TID_BATTLE_END_COIN_SHOWER,WYDARZENIE: DESZCZ MONET
TID_LFG_POPUP_TITLE_MEMBER,ZNAJDŹ CZŁONKA
