"Name","Disabled","FileName","BackgroundFile","FallBackMusic","Volume","Loop","PlayCount","FadeOutTimeSec","DurationSec","MovieClipFrameLabel"
"String","boolean","String","boolean","String","int","boolean","int","int","int","String"
"BattleMusic",,"music/Slugfest_ingame_01.ogg",,,70,"true",,,60,
,,"music/Slugfest_ingame_03.ogg",,,70,"true",,,90,
,,"music/Slugfest_ingame_06.ogg",,,70,"true",,,75,
,,"music/background/Slugfest_ingame_02.ogg","TRUE",,70,"true",,,60,
,,"music/background/Slugfest_ingame_04.ogg","TRUE",,70,"true",,,57,
,,"music/background/Slugfest_ingame_07.ogg","TRUE",,70,"true",,,71,
,,"music/background/Slugfest_ingame_08.ogg","TRUE",,70,"true",,,57,
"Footbrawl_ingame_muzak","true","music/footbrawl_ingame_muzak_01.ogg",,,70,"true",,,59,
,"true","music/background/footbrawl_ingame_muzak_02.ogg","true",,70,"true",,,62,
"Scrapyard_ingame_music",,"music/scrapyard_lvl_music_01.ogg",,,70,"true",,,63,
"Footbrawl_menu_muzak","true","music/footbrawl_menu_muzak_01.ogg",,,60,"true",,,70,
"Brawzaar_menu_muzak",,"music/brawzaar_menu_01.ogg",,,60,"true",,,126,
"Monsterbrawl_menu_muzak","true","music/bm_menu_01.ogg",,,60,"true",,,68,
"Monsterbrawl_ingame_muzak","true","music/bm_ingame_01.ogg",,,70,"true",,,70,
,"true","music/background/big_brawl_battle_02.ogg","true",,70,"true",,,53,
"Monsterbrawl_boss","TRUE","music/brawlzilla_boss_01.ogg",,,70,"true",,,48,
"Brawzaar_ingame_muzak",,"music/brawzaar_ingame_01.ogg",,,70,"true",,,59,
,,"music/background/brawzaar_ingame_02.ogg","TRUE",,70,"true",,,63,
"Snow_brawl","true","music/Snow_brawl_01.ogg",,,70,"true",,,57,
,,"music/Snow_brawl_02.ogg",,,70,"true",,,65,
,,"music/Snow_brawl_03.ogg",,,70,"true",,,57,
"Cny_levels","true","music/cny_ingame_01.ogg",,,70,"true",,,64,
,,"music/cny_ingame_02.ogg",,,70,"true",,,56,
"Elprimo_fire_menu","true","music/primo_fire_menu_01.ogg",,,60,"true",,,105,
"Poco_Band_Ingame","TRUE","music/ingame_poco_track_01.ogg",,,70,"true",,,62,
,,"music/background/ingame_poco_track_02.ogg","true",,70,"true",,,62,
"Starpark_Menu_Music","true","music/braw_themepark_menu_01.ogg",,,60,"true",,,59,
"Giftshop_Level_Music","true","music/brawl_shop_ingame_01.ogg",,,70,"true",,,73,
"Lunar_Menu_Music","true","music/lunar_brawl_menu_01.ogg",,,60,"true",,,63,
"Retropolis_battle","true","music/retro_brawl_ingame_01.ogg",,,70,"true",,,55,
"Retropolis_menu","true","music/brawl_retro_menu_01.ogg",,,60,"true",,,66,
"Halloween_menu","true","music/brawloween_menu_01.ogg",,,60,"true",,,80,
"Halloween_ingame",,"music/brawloween_ingame_02.ogg",,,70,"true",,,56,
"Brawlcade_Menu","true","music/brawlcade_menu_01.ogg",,,60,"true",,,57,
"Brawlcade_Ingame",,"music/brawlcade_ingame_01.ogg",,,70,"true",,,57,
,,"music/background/brawlcade_ingame_02.ogg","true",,70,"true",,,62,
"Space_Brawl_Menu","true","music/military_lase_tag_ingame_01.ogg",,,60,"true",,,93,
"Space_Brawl_LNY_Menu","true","music/brawl_lunarnewyear_space_lazer_military_01.ogg",,,60,"true",,,84,
"Space_Brawl_Ingame","true","music/military_lase_tag_ingame_01.ogg",,,70,"true",,,60,
,,"music/background/military_lase_tag_ingame_03.ogg","TRUE",,70,"true",,,60,
