Name,ParentProjectileForSkin,Disabled,Speed,FileName,BlueSCW,RedSCW,BlueExportName,RedExportName,ShadowExportName,BlueGroundGlowExportName,RedGroundGlowExportName,PreExplosionBlueExportName,PreExplosionRedExportName,PreExplosionTimeMs,HitEffectEnv,HitEffectChar,MaxRangeReachedEffect,CancelEffect,Radius,IgnoreCloseWalls,Indirect,ConstantFlyTime,TriggerWithDelayMs,BouncePercent,Gravity,EarlyTicks,HideTime,Scale,RandomStartFrame,SpawnAreaEffectObject,SpawnAreaEffectObject2,AreaEffect2DamagePercent,SpawnCharacter,SpawnItem,SpawnAreaEffectTrail,TrailEffect,ShotByHero,IsBeam,IsBouncing,DistanceAddFromBounce,MaxDistanceBounces,Rendering,PiercesCharacters,PiercesEnvironment,PiercesEnvironmentLikeButter,PushbackStrength,PushbackType,ChainsToEnemies,ChainBullets,ChainSpread,ChainTravelDistance,ChainBullet,ExecuteChainSpecialCase,DamagePercentStart,DamagePercentEnd,DamageChangeStartPromille,DamageChangeEndPromille,IgnoreDamageChangeForUltiCharge,DamagesConstantlyTickDelay,FreezeStrength,FreezeDurationMS,StunLengthMS,PartialStunPromille,ScaleStart,ScaleEnd,AttractsPet,LifeStealPercent,PassesEnvironment,PoisonDamagePercent,SuppressHealing,SuppressHealingTicks,DamageOnlyWithOneProj,HealOwnPercent,CanGrowStronger,HideFaster,GrapplesEnemy,KickBack,UseColorMod,RedAdd,GreenAdd,BlueAdd,RedMul,GreenMul,BlueMul,GroundBasis,MinDistanceForSpread,IsFriendlyHomingMissile,IsBoomerang,CanHitAgainAfterBounce,IsHomingMissile,UltiChargeChangePercent,PoisonType,AppliedEffectVisualType,TravelType,TravelTypeVariable,SteerStrength,SteerIgnoreTicks,HomeDistance,SteerLifeTime,VisualizeEndPoint,UniqueProperty,CustomUniquePropertyValue,CustomObject,CustomObject2
string,string,boolean,int,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string,int,boolean,boolean,boolean,int,int,int,int,int,int,int,string,string,int,string,string,string,string,boolean,boolean,boolean,int,int,string,boolean,boolean,boolean,int,int,int,int,int,int,string,int,int,int,int,int,boolean,int,int,int,int,int,int,int,boolean,int,boolean,int,int,int,boolean,int,boolean,boolean,boolean,int,boolean,int,int,int,int,int,int,boolean,int,boolean,boolean,boolean,boolean,int,int,int,int,int,int,int,int,int,boolean,int,int,string,string
ShotgunGirlProjectile,,,3100,sc/effects_brawler.sc,,,bullet_shotgun_def_blue_long,bullet_shotgun_def_red_long,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,bull_def_atk_reached,,0,,,,,,0,2,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShotgunGirlUltiProjectile,,,4130,sc/effects_brawler.sc,,,bullet_shotgun_ulti_blue,bullet_shotgun_ulti_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,shelly_def_ulti_reached,,50,,,,,,0,2,0,100,,,,,,,,,true,,,,,,true,true,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly002Projectile,ShotgunGirlProjectile,,,sc/effects.sc,,,shelly_attack_anim_blue,shelly_attack_anim_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,no_hit,,,,,,,,0,,0,100,,,,,,,,shotgun_trail_small,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly002UltiProjectile,ShotgunGirlUltiProjectile,,,sc/effects.sc,,,shelly_ulti_anim_blue,shelly_ulti_anim_red,shadow_normal_circle,,,,,,Gen_hit,Gen_hit,no_hit,,,,,,,,0,,0,100,,,,,,,,Gen_Trail_small,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly003Projectile,ShotgunGirlProjectile,,,sc/effects_brawler.sc,,,shelly_003_atk_projectile,shelly_003_atk_projectile_red,shadow_normal_circle,,,,,,shelly_003_atk_hitEnv,shelly_003_atk_hit,shelly_003_atk_reached,,,,,,,,0,,0,100,,,,,,,,shelly_003_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly003UltiProjectile,ShotgunGirlUltiProjectile,,,sc/effects_brawler.sc,,,shelly_003_ulti_projectile,shelly_003_ulti_projectile_red,shadow_normal_circle,,,,,,shelly_003_ulti_reached,shelly_003_ulti_hit_red,shelly_003_ulti_reached,,,,,,,,0,,0,100,,,,,,,,shelly_003_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly004Projectile,ShotgunGirlProjectile,,,sc/effects_brawler.sc,,,bullet_shotgun_def_blue_long,shelly_003_atk_projectile_red,,projectile_light,projectile_light_red,,,,shelly_003_atk_hitEnv,shelly_003_atk_hit,,,,,,,,,0,,0,100,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly004UltiProjectile,ShotgunGirlUltiProjectile,,,sc/effects_brawler.sc,,,shelly_003_ulti_projectile,shelly_003_ulti_projectile_red,shadow_normal_circle,,,,,,shelly_003_ulti_reached,shelly_003_ulti_hit_red,shelly_003_ulti_reached,,,,,,,,0,,0,100,,,,,,,,shelly_003_ulti_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shelly005Projectile,ShotgunGirlProjectile,,,sc/effects_brawler.sc,,,shelly_005_atk_projectile,shelly_005_atk_projectile_red,shadow_normal_circle,,,,,,shelly_005_atk_hitEnv,shelly_005_atk_hit,shelly_005_atk_reached,,,,,,,,0,3,0,100,1,,,,,,,shelly_005_atk_trail,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
