"Name","FileName","ExportName"
"String","String","String"
"AmberStill","characters.sc","amber_def_still"
"AmberWin","characters.sc","amber_def_win"
"AmberWinLoop","characters.sc","amber_def_winLoop"
"AmberLose","characters.sc","amber_def_lose"
"AmberLoseLoop","characters.sc","amber_def_loseLoop"
"Amber002Still","characters.sc","amber_002_still"
"Amber002Win","characters.sc","amber_002_win"
"Amber002WinLoop","characters.sc","amber_002_winLoop"
"Amber002Lose","characters.sc","amber_002_lose"
"Amber002LoseLoop","characters.sc","amber_002_loseLoop"
"ArcadeIntro","characters.sc","arcade_def_intro"
"ArcadeStill","characters.sc","arcade_def_still"
"ArcadeWin","characters.sc","arcade_def_win"
"ArcadeWinLoop","characters.sc","arcade_def_winLoop"
"ArcadeLose","characters.sc","arcade_def_lose"
"ArcadeLooseLoop","characters.sc","arcade_def_loseLoop"
"Arcade002Intro","characters.sc","arcade_002_intro"
"Arcade002Still","characters.sc","arcade_002_still"
"Arcade002Win","characters.sc","arcade_002_win"
"Arcade002WinLoop","characters.sc","arcade_002_winLoop"
"Arcade002Lose","characters.sc","arcade_002_lose"
"ArcadeVirusFace","characters.sc","arcade_003_angry"
"ArcadeVirusFaceloop","characters.sc","arcade_003_angryloop"
"ArcadeVirusLose","characters.sc","arcade_003_gameover"
"ArcadeVirusLoseloop","characters.sc","arcade_003_gameover_loop"
"Arcade004Intro","characters.sc","arcade_004_intro"
"Arcade004Still","characters.sc","arcade_004_still"
"Arcade004Win","characters.sc","arcade_004_win"
"Arcade004WinLoop","characters.sc","arcade_004_winLoop"
"Arcade004Lose","characters.sc","arcade_004_lose"
"Arcade004LoseLoop","characters.sc","arcade_004_loseLoop"
"AshWin","characters.sc","ash_def_win"
"AshWinLoop","characters.sc","ash_def_winLoop"
"AshLose","characters.sc","ash_def_lose"
"AshLoseLoop","characters.sc","ash_def_loseLoop"
"AshStill","characters.sc","ash_def_still"
"Ash002Win","characters.sc","ash_002_win"
"Ash002WinLoop","characters.sc","ash_002_winLoop"
"Ash002Lose","characters.sc","ash_002_lose"
"Ash002LoseLoop","characters.sc","ash_002_loseLoop"
"Ash002Still","characters.sc","ash_002_still"
"BarleyWin","characters.sc","barley_def_win"
"BarleyWinLoop","characters.sc","barley_def_winLoop"
"BarleyLose","characters.sc","barley_def_lose"
"BarleyLoseLoop","characters.sc","barley_def_loseLoop"
"BarleyStill","characters.sc","barley_def_still"
"Barley003Win","characters.sc","barley_003_win"
"Barley003WinLoop","characters.sc","barley_003_winLoop"
"Barley003Lose","characters.sc","barley_003_lose"
"Barley003LoseLoop","characters.sc","barley_003_loseLoop"
"Barley003Still","characters.sc","barley_003_still"
"Barley004Win","characters.sc","barley_004_win"
"Barley004WinLoop","characters.sc","barley_004_winLoop"
"Barley004Lose","characters.sc","barley_004_lose"
"Barley004LoseLoop","characters.sc","barley_004_loseLoop"
"Barley004Still","characters.sc","barley_004_still"
"Barley005Win","characters.sc","barley_005_win"
"Barley005WinLoop","characters.sc","barley_005_winLoop"
"Barley005Lose","characters.sc","barley_005_lose"
"Barley005LoseLoop","characters.sc","barley_005_loseLoop"
"Barley005Still","characters.sc","barley_005_still"
"BeaWin","characters.sc","bea_def_win"
"BeaWinLoop","characters.sc","bea_def_winLoop"
"BeaLose","characters.sc","bea_def_lose"
"BeaLoseLoop","characters.sc","bea_def_loseLoop"
"BeaStill","characters.sc","bea_def_still"
"Bea002Still","characters.sc","bea_002_still"
"Bea002Win","characters.sc","bea_002_win"
"Bea002WinLoop","characters.sc","bea_002_winLoop"
"Bea002Lose","characters.sc","bea_002_lose"
"Bea002LoseLoop","characters.sc","bea_002_loseLoop"
"Bea003Still","characters.sc","bea_003_still"
"Bea003Win","characters.sc","bea_003_win"
"Bea003WinLoop","characters.sc","bea_003_winLoop"
"Bea003Lose","characters.sc","bea_003_lose"
"Bea003LoseLoop","characters.sc","bea_003_loseLoop"
"Bea004Still","characters.sc","bea_004_still"
"Bea004Win","characters.sc","bea_004_win"
"Bea004WinLoop","characters.sc","bea_004_winLoop"
"Bea004Lose","characters.sc","bea_004_lose"
"Bea004LoseLoop","characters.sc","bea_004_loseLoop"
"BarleyMsFace","characters.sc","barley_ms_face"
"BarleyMsLose","characters.sc","barley_ms_lose"
"BarleyMsLoseloop","characters.sc","barley_ms_loseloop"
"BelleWin","characters.sc","belle_def_win"
"BelleWinLoop","characters.sc","belle_def_winLoop"
"BelleLose","characters.sc","belle_def_lose"
"BelleLoseLoop","characters.sc","belle_def_loseLoop"
"BelleStill","characters.sc","belle_def_still"
"Belle002Win","characters.sc","belle_002_win"
"Belle002WinLoop","characters.sc","belle_002_winLoop"
"Belle002Lose","characters.sc","belle_002_lose"
"Belle002LoseLoop","characters.sc","belle_002_loseLoop"
"Belle002Still","characters.sc","belle_002_still"
"Belle003Win","characters.sc","belle_003_win"
"Belle003WinLoop","characters.sc","belle_003_winLoop"
"Belle003Lose","characters.sc","belle_003_lose"
"Belle003LoseLoop","characters.sc","belle_003_loseLoop"
"Belle003Still","characters.sc","belle_003_still"
"BibiWin","characters.sc","bibi_def_win"
"BibiWinLoop","characters.sc","bibi_def_winLoop"
"BibiLose","characters.sc","bibi_def_lose"
"BibiLoseLoop","characters.sc","bibi_def_loseLoop"
"BibiStill","characters.sc","bibi_def_still"
"Bibi002Win","characters.sc","bibi_002_win"
"Bibi002WinLoop","characters.sc","bibi_002_winLoop"
"Bibi002Lose","characters.sc","bibi_002_lose"
"Bibi002LoseLoop","characters.sc","bibi_002_loseLoop"
"Bibi002Still","characters.sc","bibi_002_still"
"Bibi003Win","characters.sc","bibi_003_win"
"Bibi003WinLoop","characters.sc","bibi_003_face"
"Bibi003Lose","characters.sc","bibi_003_lose"
"Bibi003LoseLoop","characters.sc","bibi_003_loseLoop"
"Bibi003Still","characters.sc","bibi_003_still"
"Bibi004Win","characters.sc","bibi_004_win"
"Bibi004WinLoop","characters.sc","bibi_004_winLoop"
"Bibi004Lose","characters.sc","bibi_004_lose"
"Bibi004LoseLoop","characters.sc","bibi_004_loseLoop"
"Bibi004Still","characters.sc","bibi_004_still"
"Bibi005Win","characters.sc","bibi_005_win"
"Bibi005WinLoop","characters.sc","bibi_005_winLoop"
"Bibi005Lose","characters.sc","bibi_005_lose"
"Bibi005LoseLoop","characters.sc","bibi_005_loseLoop"
"Bibi005Still","characters.sc","bibi_005_still"
"BullWin","characters.sc","bull_def_win"
"BullWinLoop","characters.sc","bull_def_winLoop"
"BullLose","characters.sc","bull_def_lose"
"BullLoseLoop","characters.sc","bull_def_loseLoop"
"BullStill","characters.sc","bull_def_still"
"Bull002Win","characters.sc","bull_002_win"
"Bull002WinLoop","characters.sc","bull_002_winLoop"
"Bull002Lose","characters.sc","bull_002_lose"
"Bull002LoseLoop","characters.sc","bull_002_loseLoop"
"Bull002Still","characters.sc","bull_002_still"
"Bull004Win","characters.sc","bull_004_win"
"Bull004WinLoop","characters.sc","bull_004_winLoop"
"Bull004Lose","characters.sc","bull_004_lose"
"Bull004LoseLoop","characters.sc","bull_004_loseLoop"
"Bull004Still","characters.sc","bull_004_still"
"Bull005Win","characters.sc","bull_005_win"
"Bull005WinLoop","characters.sc","bull_005_winLoop"
"Bull005Lose","characters.sc","bull_005_lose"
"Bull005LoseLoop","characters.sc","bull_005_loseLoop"
"Bull005Still","characters.sc","bull_005_still"
"CarlWin","characters.sc","carl_def_win"
"CarlWinLoop","characters.sc","carl_def_winLoop"
"CarlLose","characters.sc","carl_def_lose"
"CarlLoseLoop","characters.sc","carl_def_loseLoop"
"CarlStill","characters.sc","carl_def_still"
"Carl002Win","characters.sc","carl_002_win"
"Carl002WinLoop","characters.sc","carl_002_winLoop"
"Carl002Lose","characters.sc","carl_002_lose"
"Carl002LoseLoop","characters.sc","carl_002_loseLoop"
"Carl002Still","characters.sc","carl_002_still"
"Carl003Win","characters.sc","carl_003_win"
"Carl003WinLoop","characters.sc","carl_003_winLoop"
"Carl003Lose","characters.sc","carl_003_lose"
"Carl003LoseLoop","characters.sc","carl_003_loseLoop"
"Carl003Still","characters.sc","carl_003_still"
"Carl004Win","characters.sc","carl_004_win"
"Carl004WinLoop","characters.sc","carl_004_winLoop"
"Carl004Lose","characters.sc","carl_004_lose"
"Carl004LoseLoop","characters.sc","carl_004_loseLoop"
"Carl004Still","characters.sc","carl_004_still"
"Carl005WinLoop","characters.sc","carl_005_winLoop"
"Carl005Still","characters.sc","carl_005_still"
"Carl006Win","characters.sc","carl_006_win"
"Carl006WinLoop","characters.sc","carl_006_winLoop"
"Carl006Lose","characters.sc","carl_006_lose"
"Carl006LoseLoop","characters.sc","carl_006_loseLoop"
"Carl006Still","characters.sc","carl_006_still"
"ColtFace","characters.sc","colt_face"
"ColtStill","characters.sc","colt_still"
"ColtHappy","characters.sc","colt_happy"
"ColtSad","characters.sc","colt_sad"
"ColtSadLoop","characters.sc","colt_sadLoop"
"Colt002Face","characters.sc","colt_002_face"
"Colt002Still","characters.sc","colt_002_still"
"Colt002Happy","characters.sc","colt_002_happy"
"Colt002Sad","characters.sc","colt_002_sad"
"Colt003Still","characters.sc","colt_003_still"
"Colt003Win","characters.sc","colt_003_win"
"Colt003WinLoop","characters.sc","colt_003_winLoop"
"Colt003Lose","characters.sc","colt_003_lose"
"Colt003LoseLoop","characters.sc","colt_003_loseLoop"
"Colt004Still","characters.sc","colt_004_still"
"Colt004Win","characters.sc","colt_004_win"
"Colt004WinLoop","characters.sc","colt_004_winLoop"
"CrowFace","characters.sc","crow_def_face"
"CrowHappy","characters.sc","crow_def_happy"
"CrowSad","characters.sc","crow_def_sad"
"Crow002Face","characters.sc","crow_002_face"
"Crow002Happy","characters.sc","crow_002_happy"
"Crow002Sad","characters.sc","crow_002_sad"
"Crow004Still","characters.sc","crow_004_still"
"Crow004Win","characters.sc","crow_004_win"
"Crow004WinLoop","characters.sc","crow_004_winLoop"
"Crow004Lose","characters.sc","crow_004_lose"
"Crow004LoseLoop","characters.sc","crow_004_loseLoop"
"DarrylStill","characters.sc","darryl_def_still"
"DarrylWin","characters.sc","darryl_def_win"
"DarrylWinLoop","characters.sc","darryl_def_winLoop"
"DarrylLose","characters.sc","darryl_def_lose"
"DarrylLoseLoop","characters.sc","darryl_def_loseLoop"
"DynaStill","characters.sc","dyna_def_still"
"DynaWin","characters.sc","dyna_def_win"
"DynaWinLoop","characters.sc","dyna_def_winLoop"
"DynaLose","characters.sc","dyna_def_lose"
"DynaLoseLoop","characters.sc","dyna_def_loseLoop"
"Dyna002Still","characters.sc","dyna_002_still"
"Dyna002Win","characters.sc","dyna_002_win"
"Dyna002WinLoop","characters.sc","dyna_002_winLoop"
"Dyna002Lose","characters.sc","dyna_002_lose"
"Dyna002LoseLoop","characters.sc","dyna_002_loseLoop"
