Name,Disabled,FileName,ExportName,Character,Skin,IsPicto,BattleCategory,Rarity,EmoteType,SoundEffect,SfxIndex,LockedForChronos,EmoteBundles,IsDefaultBattleEmote
string,boolean,string,string,string,string,boolean,String,String,String,String,int,boolean,String,boolean
emoji_8bit,,sc/ui.sc,emoji_8bit,Arcade,,TRUE,DEFAULT,DEFAULT,DEFAULT,8bit_start_vo,0,,,
emoji_8bit_angry,,sc/ui.sc,emoji_8bit_angry,Arcade,,,ANGRY,COMMON,ANGRY,8bit_hurt_vo,0,,,
emoji_8bit_gg,,sc/ui.sc,emoji_8bit_gg,Arcade,,,SPECIAL,RARE,GG,8bit_kill_vo,1,,,
emoji_8bit_sad,,sc/ui.sc,emoji_8bit_sad,Arcade,,,SAD,COMMON,SAD,8bit_die_vo,3,,,
emoji_8bit_thanks,,sc/ui.sc,emoji_8bit_thanks,Arcade,,,SPECIAL,EPIC,THANKS,8bit_kill_vo,2,,,
emoji_angry,,sc/ui.sc,emoji_angry,,,,ANGRY,DEFAULT,ANGRY,,,,,
emoji_annoyed,,sc/ui.sc,emoji_annoyed,,,,ANGRY,DEFAULT,ANGRY,,,,,
emoji_barley,,sc/ui.sc,emoji_barley,Barkeep,,TRUE,DEFAULT,DEFAULT,DEFAULT,Barley_Die,1,,,
emoji_barley_angry,,sc/ui.sc,emoji_barley_angry,Barkeep,,,ANGRY,COMMON,ANGRY,Barley_Hurt,0,,,
emoji_barley_gg,,sc/ui.sc,emoji_barley_gg,Barkeep,,,SPECIAL,RARE,GG,Barley_Start,0,,,
emoji_barley_sad,,sc/ui.sc,emoji_barley_sad,Barkeep,,,SAD,COMMON,SAD,Barley_Hurt,2,,,
emoji_barley_thanks,,sc/ui.sc,emoji_barley_thanks,Barkeep,,,SPECIAL,EPIC,THANKS,Barley_Start,3,,,
emoji_bea,,sc/ui.sc,emoji_bea,BeeSniper,,TRUE,DEFAULT,DEFAULT,DEFAULT,Bea_Start_VO,3,,,
emoji_bea_angry,,sc/ui.sc,emoji_bea_angry,BeeSniper,,,ANGRY,COMMON,ANGRY,Bea_Hurt_VO,0,,,
emoji_bea_gg,,sc/ui.sc,emoji_bea_gg,BeeSniper,,,SPECIAL,RARE,GG,Bea_Lead_VO,1,,,
emoji_bea_sad,,sc/ui.sc,emoji_bea_sad,BeeSniper,,,SAD,COMMON,SAD,Bea_Die_VO,1,,,
emoji_bea_thanks,,sc/ui.sc,emoji_bea_thanks,BeeSniper,,,SPECIAL,EPIC,THANKS,Bea_Lead_VO,2,,,
emoji_bibi,,sc/ui.sc,emoji_bibi,Baseball,,TRUE,DEFAULT,DEFAULT,DEFAULT,Bibi_kill_vo,1,,,
emoji_bibi_angry,,sc/ui.sc,emoji_bibi_angry,Baseball,,,ANGRY,COMMON,ANGRY,Bibi_hurt_vo,1,,,
emoji_bibi_gg,,sc/ui.sc,emoji_bibi_gg,Baseball,,,SPECIAL,RARE,GG,Bibi_kill_vo,3,,,
emoji_bibi_sad,,sc/ui.sc,emoji_bibi_sad,Baseball,,,SAD,COMMON,SAD,Bibi_die_vo,0,,,
emoji_bibi_thanks,,sc/ui.sc,emoji_bibi_thanks,Baseball,,,SPECIAL,EPIC,THANKS,Bibi_lead_vo,3,,,
emoji_blank,,sc/ui.sc,emoji_blank,,,,SAD,DEFAULT,SAD,,,,,
emoji_bo,,sc/ui.sc,emoji_bo,BowDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Bo_ulti_vo,2,,,
emoji_bo_angry,,sc/ui.sc,emoji_bo_angry,BowDude,,,ANGRY,COMMON,ANGRY,Bo_hurt,3,,,
emoji_bo_gg,,sc/ui.sc,emoji_bo_gg,BowDude,,,SPECIAL,RARE,GG,Bo_ulti_vo,0,,,
emoji_bo_sad,,sc/ui.sc,emoji_bo_sad,BowDude,,,SAD,COMMON,SAD,Bo_hurt,2,,,
emoji_bo_thanks,,sc/ui.sc,emoji_bo_thanks,BowDude,,,SPECIAL,EPIC,THANKS,Bo_start,0,,,
emoji_bothered,,sc/ui.sc,emoji_bothered,,,,PLAYER_2,DEFAULT,ANGRY,,,,,TRUE
emoji_brock,,sc/ui.sc,emoji_brock,RocketGirl,,TRUE,DEFAULT,DEFAULT,DEFAULT,Brock_start_vo,2,,,
emoji_brock_angry,,sc/ui.sc,emoji_brock_angry,RocketGirl,,,ANGRY,COMMON,ANGRY,Brock_hurt_vo,4,,,
emoji_brock_gg,,sc/ui.sc,emoji_brock_gg,RocketGirl,,,SPECIAL,RARE,GG,Brock_kill_vo,3,,,
emoji_brock_sad,,sc/ui.sc,emoji_brock_sad,RocketGirl,,,SAD,COMMON,SAD,Brock_hurt_vo,0,,,
emoji_brock_thanks,,sc/ui.sc,emoji_brock_thanks,RocketGirl,,,SPECIAL,EPIC,THANKS,Brock_start_vo,3,,,
emoji_bull,,sc/ui.sc,emoji_bull,BullDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Bull_start,2,,,
emoji_bull_angry,,sc/ui.sc,emoji_bull_angry,BullDude,,,ANGRY,COMMON,ANGRY,Bull_ulti,2,,,
emoji_bull_gg,,sc/ui.sc,emoji_bull_gg,BullDude,,,SPECIAL,RARE,GG,Bull_start,1,,,
emoji_bull_sad,,sc/ui.sc,emoji_bull_sad,BullDude,,,SAD,COMMON,SAD,Bull_die,3,,,
emoji_bull_thanks,,sc/ui.sc,emoji_bull_thanks,BullDude,,,SPECIAL,EPIC,THANKS,Bull_lead,0,,,
emoji_carl,,sc/ui.sc,emoji_carl,Whirlwind,,TRUE,DEFAULT,DEFAULT,DEFAULT,Carl_start_vo,0,,,
emoji_carl_angry,,sc/ui.sc,emoji_carl_angry,Whirlwind,,,ANGRY,COMMON,ANGRY,Carl_hurt_vo,2,,,
emoji_carl_gg,,sc/ui.sc,emoji_carl_gg,Whirlwind,,,SPECIAL,RARE,GG,Carl_start_vo,1,,,
emoji_carl_sad,,sc/ui.sc,emoji_carl_sad,Whirlwind,,,SAD,COMMON,SAD,Carl_die_vo,0,,,
emoji_carl_thanks,,sc/ui.sc,emoji_carl_thanks,Whirlwind,,,SPECIAL,EPIC,THANKS,Carl_start_vo,2,,,
emoji_colt,,sc/ui.sc,emoji_colt,Gunslinger,,TRUE,DEFAULT,DEFAULT,DEFAULT,Hotshot_Start,1,,,
emoji_colt_angry,,sc/ui.sc,emoji_colt_angry,Gunslinger,,,ANGRY,COMMON,ANGRY,Hotshot_Takedamge_Vo,2,,,
emoji_colt_gg,,sc/ui.sc,emoji_colt_gg,Gunslinger,,,SPECIAL,RARE,GG,Hotshot_Lead,4,,,
emoji_colt_sad,,sc/ui.sc,emoji_colt_sad,Gunslinger,,,SAD,COMMON,SAD,Hotshot_Takedamge_Vo,5,,,
emoji_colt_thanks,,sc/ui.sc,emoji_colt_thanks,Gunslinger,,,SPECIAL,EPIC,THANKS,Hotshot_Start,2,,,
emoji_crow,,sc/ui.sc,emoji_crow,Crow,,TRUE,DEFAULT,DEFAULT,DEFAULT,Crow_Start,0,,,
emoji_crow_angry,,sc/ui.sc,emoji_crow_angry,Crow,,,ANGRY,COMMON,ANGRY,Crow_Takedamage,4,,,
emoji_crow_gg,,sc/ui.sc,emoji_crow_gg,Crow,,,SPECIAL,RARE,GG,Crow_Kill,2,,,
emoji_crow_sad,,sc/ui.sc,emoji_crow_sad,Crow,,,SAD,COMMON,SAD,Crow_Takedamage,0,,,
emoji_crow_thanks,,sc/ui.sc,emoji_crow_thanks,Crow,,,SPECIAL,EPIC,THANKS,Crow_Lead,1,,,
emoji_darryl,,sc/ui.sc,emoji_darryl,BarrelBot,,TRUE,DEFAULT,DEFAULT,DEFAULT,Darryl_Start_VO,3,,,
emoji_darryl_angry,,sc/ui.sc,emoji_darryl_angry,BarrelBot,,,ANGRY,COMMON,ANGRY,Darryl_Hurt_VO,5,,,
emoji_darryl_gg,,sc/ui.sc,emoji_darryl_gg,BarrelBot,,,SPECIAL,RARE,GG,Darryl_Start_VO,4,,,
emoji_darryl_sad,,sc/ui.sc,emoji_darryl_sad,BarrelBot,,,SAD,COMMON,SAD,Darryl_Die_VO,5,,,
emoji_darryl_thanks,,sc/ui.sc,emoji_darryl_thanks,BarrelBot,,,SPECIAL,EPIC,THANKS,Darryl_Start_VO,6,,,
emoji_dynamike,,sc/ui.sc,emoji_dynamike,TntDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Tnt_guy_start_vo,1,,,
emoji_dynamike_angry,,sc/ui.sc,emoji_dynamike_angry,TntDude,,,ANGRY,COMMON,ANGRY,Tnt_guy_hurt_vo,2,,,
emoji_dynamike_gg,,sc/ui.sc,emoji_dynamike_gg,TntDude,,,SPECIAL,RARE,GG,Tnt_guy_start_vo,2,,,
emoji_dynamike_sad,,sc/ui.sc,emoji_dynamike_sad,TntDude,,,SAD,COMMON,SAD,Tnt_guy_hurt_vo,3,,,
emoji_dynamike_thanks,,sc/ui.sc,emoji_dynamike_thanks,TntDude,,,SPECIAL,EPIC,THANKS,Tnt_guy_lead_vo,0,,,
emoji_ecstatic,,sc/ui.sc,emoji_ecstatic,,,,HAPPY,DEFAULT,HAPPY,,,,,
emoji_emz,,sc/ui.sc,emoji_emz,Mummy,,TRUE,DEFAULT,DEFAULT,DEFAULT,Emz_start_vo,1,,,
emoji_emz_angry,,sc/ui.sc,emoji_emz_angry,Mummy,,,ANGRY,COMMON,ANGRY,Emz_hurt_vo,3,,,
emoji_emz_gg,,sc/ui.sc,emoji_emz_gg,Mummy,,,SPECIAL,RARE,GG,Emz_lead_vo,3,,,
emoji_emz_sad,,sc/ui.sc,emoji_emz_sad,Mummy,,,SAD,COMMON,SAD,Emz_hurt_vo,4,,,
emoji_emz_thanks,,sc/ui.sc,emoji_emz_thanks,Mummy,,,SPECIAL,EPIC,THANKS,Emz_lead_vo,2,,,
emoji_frank,,sc/ui.sc,emoji_frank,HammerDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Frank_Gadget,0,,,
emoji_frank_angry,,sc/ui.sc,emoji_frank_angry,HammerDude,,,ANGRY,COMMON,ANGRY,Frank_vo,5,,,
emoji_frank_gg,,sc/ui.sc,emoji_frank_gg,HammerDude,,,SPECIAL,RARE,GG,Frank_vo,2,,,
emoji_frank_sad,,sc/ui.sc,emoji_frank_sad,HammerDude,,,SAD,COMMON,SAD,Frank_vo,1,,,
emoji_frank_thanks,,sc/ui.sc,emoji_frank_thanks,HammerDude,,,SPECIAL,EPIC,THANKS,Frank_vo,2,,,
emoji_frenzied,,sc/ui.sc,emoji_frenzied,,,,ANGRY,DEFAULT,ANGRY,,,,,
emoji_gene,,sc/ui.sc,emoji_gene,HookDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Gene_vo,2,,,
emoji_gene_angry,,sc/ui.sc,emoji_gene_angry,HookDude,,,ANGRY,COMMON,ANGRY,Gene_vo,4,,,
emoji_gene_gg,,sc/ui.sc,emoji_gene_gg,HookDude,,,SPECIAL,RARE,GG,Gene_vo,6,,,
emoji_gene_sad,,sc/ui.sc,emoji_gene_sad,HookDude,,,SAD,COMMON,SAD,Gene_vo,12,,,
emoji_gene_thanks,,sc/ui.sc,emoji_gene_thanks,HookDude,,,SPECIAL,EPIC,THANKS,Gene_vo,9,,,
emoji_grin,,sc/ui.sc,emoji_grin,,,,HAPPY,DEFAULT,HAPPY,,,,,
emoji_happy,,sc/ui.sc,emoji_happy,,,,HAPPY,DEFAULT,HAPPY,,,,,TRUE
emoji_jacky,,sc/ui.sc,emoji_jacky,Driller,,TRUE,DEFAULT,DEFAULT,DEFAULT,Jackie_Start_VO,0,,,
emoji_jacky_angry,,sc/ui.sc,emoji_jacky_angry,Driller,,,ANGRY,COMMON,ANGRY,Jackie_Die_VO,3,,,
emoji_jacky_gg,,sc/ui.sc,emoji_jacky_gg,Driller,,,SPECIAL,RARE,GG,Jackie_Kill_VO,0,,,
emoji_jacky_sad,,sc/ui.sc,emoji_jacky_sad,Driller,,,SAD,COMMON,SAD,Jackie_Hurt_VO,0,,,
emoji_jacky_thanks,,sc/ui.sc,emoji_jacky_thanks,Driller,,,SPECIAL,EPIC,THANKS,Jackie_Ulti_VO,4,,,
emoji_jessie,,sc/ui.sc,emoji_jessie,Mechanic,,TRUE,DEFAULT,DEFAULT,DEFAULT,Jess_start,3,,,
emoji_jessie_angry,,sc/ui.sc,emoji_jessie_angry,Mechanic,,,ANGRY,COMMON,ANGRY,Jess_takedamage,3,,,
emoji_jessie_gg,,sc/ui.sc,emoji_jessie_gg,Mechanic,,,SPECIAL,RARE,GG,Jess_lead,3,,,
emoji_jessie_sad,,sc/ui.sc,emoji_jessie_sad,Mechanic,,,SAD,COMMON,SAD,Jess_die,3,,,
emoji_jessie_thanks,,sc/ui.sc,emoji_jessie_thanks,Mechanic,,,SPECIAL,EPIC,THANKS,Jess_ulti,2,,,
emoji_laugh,,sc/ui.sc,emoji_laugh,,,,PLAYER_1,DEFAULT,HAPPY,,,,,TRUE
emoji_leon,,sc/ui.sc,emoji_leon,Ninja,,TRUE,DEFAULT,DEFAULT,DEFAULT,Leon_start_vo,2,,,
emoji_leon_angry,,sc/ui.sc,emoji_leon_angry,Ninja,,,ANGRY,COMMON,ANGRY,Leon_hurt_vo,3,,,
emoji_leon_gg,,sc/ui.sc,emoji_leon_gg,Ninja,,,SPECIAL,RARE,GG,Leon_kill_vo,0,,,
emoji_leon_sad,,sc/ui.sc,emoji_leon_sad,Ninja,,,SAD,COMMON,SAD,Leon_die_vo,0,,,
emoji_leon_thanks,,sc/ui.sc,emoji_leon_thanks,Ninja,,,SPECIAL,EPIC,THANKS,Leon_ulti_vo,0,,,
emoji_mortis,,sc/ui.sc,emoji_mortis,Undertaker,,TRUE,DEFAULT,DEFAULT,DEFAULT,Mortis_start,3,,,
emoji_mortis_angry,,sc/ui.sc,emoji_mortis_angry,Undertaker,,,ANGRY,COMMON,ANGRY,Mortis_hurt,2,,,
emoji_mortis_gg,,sc/ui.sc,emoji_mortis_gg,Undertaker,,,SPECIAL,RARE,GG,Mortis_kill,3,,,
emoji_mortis_sad,,sc/ui.sc,emoji_mortis_sad,Undertaker,,,SAD,COMMON,SAD,Mortis_die,2,,,
emoji_mortis_thanks,,sc/ui.sc,emoji_mortis_thanks,Undertaker,,,SPECIAL,EPIC,THANKS,Mortis_ulti_vo,2,,,
emoji_nita,,sc/ui.sc,emoji_nita,Shaman,,TRUE,DEFAULT,DEFAULT,DEFAULT,Nita_start,0,,,
emoji_nita_angry,,sc/ui.sc,emoji_nita_angry,Shaman,,,ANGRY,COMMON,ANGRY,Nita_hurt,1,,,
emoji_nita_gg,,sc/ui.sc,emoji_nita_gg,Shaman,,,SPECIAL,RARE,GG,Nita_lead,1,,,
emoji_nita_sad,,sc/ui.sc,emoji_nita_sad,Shaman,,,SAD,COMMON,SAD,Nita_death,0,,,
emoji_nita_thanks,,sc/ui.sc,emoji_nita_thanks,Shaman,,,SPECIAL,EPIC,THANKS,Nita_ulti,1,,,
emoji_pam,,sc/ui.sc,emoji_pam,MinigunDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Pam_start,2,,,
emoji_pam_angry,,sc/ui.sc,emoji_pam_angry,MinigunDude,,,ANGRY,COMMON,ANGRY,Pam_die,0,,,
emoji_pam_gg,,sc/ui.sc,emoji_pam_gg,MinigunDude,,,SPECIAL,RARE,GG,Pam_ulti,1,,,
emoji_pam_sad,,sc/ui.sc,emoji_pam_sad,MinigunDude,,,SAD,COMMON,SAD,Pam_hurt,4,,,
emoji_pam_thanks,,sc/ui.sc,emoji_pam_thanks,MinigunDude,,,SPECIAL,EPIC,THANKS,Pam_start,3,,,
emoji_penny,,sc/ui.sc,emoji_penny,ArtilleryDude,,TRUE,DEFAULT,DEFAULT,DEFAULT,Penny_start,0,,,
emoji_penny_angry,,sc/ui.sc,emoji_penny_angry,ArtilleryDude,,,ANGRY,COMMON,ANGRY,Penny_takedamage,0,,,
emoji_penny_gg,,sc/ui.sc,emoji_penny_gg,ArtilleryDude,,,SPECIAL,RARE,GG,Penny_lead,0,,,
emoji_penny_sad,,sc/ui.sc,emoji_penny_sad,ArtilleryDude,,,SAD,COMMON,SAD,Penny_die,0,,,
emoji_penny_thanks,,sc/ui.sc,emoji_penny_thanks,ArtilleryDude,,,SPECIAL,EPIC,THANKS,Penny_takedamage,1,,,
emoji_piper,,sc/ui.sc,emoji_piper,Sniper,,TRUE,DEFAULT,DEFAULT,DEFAULT,Piper_Start,0,,,
emoji_piper_angry,,sc/ui.sc,emoji_piper_angry,Sniper,,,ANGRY,COMMON,ANGRY,Piper_Takedamage,1,,,
emoji_piper_gg,,sc/ui.sc,emoji_piper_gg,Sniper,,,SPECIAL,RARE,GG,Piper_Lead,0,,,
emoji_piper_sad,,sc/ui.sc,emoji_piper_sad,Sniper,,,SAD,COMMON,SAD,Piper_Die,1,,,
emoji_piper_thanks,,sc/ui.sc,emoji_piper_thanks,Sniper,,,SPECIAL,EPIC,THANKS,Piper_Kill,1,,,
emoji_poco,,sc/ui.sc,emoji_poco,DeadMariachi,,TRUE,DEFAULT,DEFAULT,DEFAULT,Poco_start,3,,,
emoji_poco_angry,,sc/ui.sc,emoji_poco_angry,DeadMariachi,,,ANGRY,COMMON,ANGRY,Poco_die,1,,,
