TID,ES
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Misiones completadas: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Misiones iniciadas: <NUM>
TID_TICKET_COMPENSATION_TITLE,NOTIFICACIÓN DE ACTUALIZACIÓN
TID_TICKET_COMPENSATION_INFO,"Se han eliminado los tiques del juego. Como ya no te harán falta, te entregamos estas gemas a cambio de tus tiques."
TID_TICKET_COMPENSATION_CLAIM,RECLAMAR
TID_BRAWL_PASS_OLD_BOXES_TITLE,ABRIR CAJAS PENDIENTES
TID_BRAWL_PASS_QUESTS_LABEL,MISIONES
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Alcanza <TROPHIES> trofeos para desbloquear las misiones.
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,¡Ya se pueden desbloquear las misiones en el camino de trofeos!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Ve al camino de trofeos para desbloquear las misiones.
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,COMPRAR UNA MARCA
TID_QUESTS_TITLE,MISIONES
TID_QUEST_DESC_1,GANA <AMOUNT> BATALLAS
TID_QUEST_DESC_2,DERROTA A <AMOUNT> ENEMIGOS
TID_QUEST_DESC_3,INFLIGE <AMOUNT> PUNTOS DE DAÑO
TID_QUEST_DESC_4,RECUPERA <AMOUNT> PUNTOS DE SALUD
TID_QUEST_DESC_5,USA \qVOLVER A JUGAR\q <NUM> VECES
TID_QUEST_DESC_6,JUEGA <NUM> PARTIDAS EN EQUIPO
TID_QUEST_DESC_1_LEVELED,COMPLETA UN NIVEL
TID_QUEST_DESC_1_BIG_GAME,GANA <AMOUNT> BATALLAS
TID_QUEST_DESC_1_BIG_GAME_SINGLE,GANA <AMOUNT> BATALLA
TID_QUEST_HERO_CONDITION,\nCON <HERO>
TID_QUEST_MODE_CONDITION,\nEN <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nCON UN ALIADO
TID_QUEST_NEW,NUEVA
TID_QUEST_PREMIUM,EXCLUSIVA DEL BRAWL PASS
TID_RANK_POPUP_QUESTS,MISIONES
TID_RANK_POPUP_CLUB_FEATURE,CLUBS
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,TEMPORADA <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,VOLVER A LA TEMPORADA ACTUAL
TID_BRAWL_PASS_PREVIOUS_SEASON,TEMPORADA ANTERIOR
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,¡TOCA PARA RECLAMAR LAS RECOMPENSAS!
TID_BRAWL_PASS_UNLOCK_INFO,¡RECOMPENSAS EXCLUSIVAS BLOQUEADAS!
TID_BRAWL_PASS_UNLOCK_LABEL,DESBLOQUEAR
TID_BRAWLPASS_PURCHASE_ERROR_3,Ya has adquirido el Brawl Pass de esta temporada.
TID_BRAWLPASS_PURCHASE_ERROR_4,Este Brawl Pass ya no está disponible.
TID_BRAWLPASS_PURCHASE_ERROR_5,No puedes comprar el combo del Brawl Pass porque ya has ganado todas las recompensas.
TID_BRAWLPASS_PURCHASE_ERROR_6,No se puede comprar el Brawl Pass con un saldo de gemas negativo.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,DESBLOQUEAR MARCA
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,¿Quieres comprar <NUM> fichas para desbloquear la siguiente marca de recompensas?
TID_PURCHASE_BRAWL_PASS_TITLE,¡OBTÉN EL BRAWL PASS!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,COMBO DEL BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,Desbloquea las recompensas y las misiones extras del Brawl Pass
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWL PASS + <NUM> MARCAS DE RECOMPENSAS
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,No se puede comprar el Brawl Pass de una temporada anterior.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,No se puede encontrar el Brawl Pass de la temporada actual. Inténtalo de nuevo más tarde.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Ya has desbloqueado el Brawl Pass de la temporada actual.
TID_TAKEDOWNS_LABEL,ELIMINACIONES
TID_DEFEAT_LABEL,DERROTA
TID_UNDERDOG,EN DESVENTAJA
TID_ACCESSORY,GADGET
TID_BATTLE_END_COIN_SHOWER,LLUVIA DE MONEDAS
TID_LFG_POPUP_TITLE_MEMBER,BUSCA A UN MIEMBRO
TID_LFG_POPUP_TITLE_TEAM,BUSCA UN EQUIPO
TID_LFG_POPUP_INFO_MEMBER,Busca a jugadores con los que formar un equipo.
TID_LFG_POPUP_INFO_TEAM,Busca a jugadores para que se unan a tu equipo.
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Normas del evento (toca para cambiar)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Quiero jugar a (toca para cambiar)
TID_LFG_POPUP_START_SEARCH,BUSCAR
TID_LFG_NO_ROOM_FOR_PLAYERS,No puede haber más jugadores en este modo de juego.
TID_LOOKING_FOR_A_TEAM,BUSCANDO EQUIPO
