TID,EN,AR,CN,CNT,DE,ES,FI,FR,HE,ID,IT,JP,KR,MS,NL,PL,PT,RU,TH,TR,VI
string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
TID_TAKEDOWNS_LABEL,TAKEDOWNS,الإطاحات,击倒,擊倒,TAKEDOWNS,ELIMINACIONES,TYRMÄYKSET,CIBLAGES,ניצחונות מוחצים,LAWAN TUMBANG,ELIMINAZIONI,撃破,테이크다운,PENYINGKIRAN,UITSCHAKELINGEN,ELIMINACJE,ELIMINAÇÕES,ПОБЕДЫ,กำจัดคู่ต่อสู้,ALAŞAĞI SAYISI,HẠ GỤC
TID_LFG_POPUP_INFO_MEMBER,Look for players to team up with you,البحث عن لاعبين لتكوين فريق معهم,寻找队友与您并肩作战,尋找隊友與你並肩作戰,"Suche nach Spielern, die sich mit dir zusammentun wollen",Busca a jugadores con los que formar un equipo.,"Etsi pelaajia, jotka haluavat perustaa joukkueen kanssasi.",Rechercher des joueurs pour faire équipe avec vous.,חיפוש שחקנים שייצרו איתך קבוצה,Cari pemain untuk bermain bersama dalam satu tim,Cerca dei giocatori da mettere in squadra.,一緒にチームを組むプレイヤーを探します,함께 플레이할 팀원 찾기,Cari pemain untuk membentuk pasukan,Zoek spelers die met jou een team willen vormen,"Znajdź graczy, z którymi stworzysz drużynę",Procure jogadores para formar uma equipe.,Поиск игроков для игры в команде,ค้นหาผู้เล่นเพื่อร่วมทีมกับคุณ,Birlikte takım kurabileceğin oyuncular bulur.,Tìm thêm người để chơi cùng bạn
TID_LFG_POPUP_EVENT_LABEL_TEAM,I want to play (tap to change),أريد اللعب (اضغط للتغيير),选择活动（点击更换）,選擇活動（點擊更換）,Ich möchte spielen (tippe zum Ändern),Quiero jugar a (toca para cambiar),Haluan pelata (vaihda napauttamalla):,Disponible pour jouer (appuyez pour modifier),אני רוצה לשחק (הקישו כדי לשנות),Aku ingin bermain (ketuk untuk mengubah),Voglio giocare a (tocca per cambiare):,参加を希望する（タップで変更）,플레이할 모드 (탭하여 변경),Saya nak main (ketik untuk tukar),Ik wil dit spelen (tik om te wijzigen),"Chcę zagrać (stuknij, by zmienić)",Quero jogar (toque para escolher),"Хочу играть (нажми, чтобы изменить)",ฉันต้องการเล่น (แตะเพื่อเปลี่ยน),Oynamak istiyorum (değiştirmek için dokun),Tôi muốn chơi (nhấn để thay đổi)
TID_LFG_NO_ROOM_FOR_PLAYERS,This game mode does not support any more players,وضع اللعب المحدد لا يدعم عددًا أكبر من اللاعبين,该模式不支持更多玩家,該模式無法支援更多玩家,Dieser Spielmodus unterstützt keine weiteren Spieler.,No puede haber más jugadores en este modo de juego.,Tässä pelitilassa ei voi olla enempää pelaajia.,Trop de joueurs pour ce mode,מצב המשחק הזה לא תומך בעוד שחקנים,Mode laga ini tidak mendukung lebih banyak pemain,Non possono partecipare altri giocatori a questo evento.,このゲームモードには、これ以上プレイヤーを追加できません,더 이상의 플레이어를 수용할 수 없는 게임 모드입니다.,Mod permainan ini tidak menyokong pemain tambahan,Er kunnen geen andere spelers meer deelnemen aan deze spelmodus.,Ten tryb gry nie obsługuje większej liczby graczy,Este modo não permite um número maior de jogadores.,В этом игровом режиме не может участвовать больше игроков.,โหมดเกมนี้ไม่รองรับผู้เล่นเพิ่มเติมแล้ว,Bu oyun modunda daha fazla oyuncu desteklenmiyor.,Chế độ chơi này không hỗ trợ thêm người chơi nữa
TID_LOOKING_FOR_A_TEAM,LOOKING FOR A TEAM,يجري البحث عن فريق,正在寻找小队,正在尋找小隊,SUCHT NACH TEAM,BUSCANDO EQUIPO,ETSIN JOUKKUETTA,EN RECHERCHE D'ÉQUIPE,מחפש קבוצה,MENCARI TIM,IN CERCA DI UNA SQUADRA,チームを検索中,팀 찾는 중,SEDANG MENCARI PASUKAN,OP ZOEK NAAR EEN TEAM,SZUKANIE DRUŻYNY,PROCURANDO UMA EQUIPE,В ПОИСКЕ КОМАНДЫ,กำลังค้นหาทีม,TAKIM ARANIYOR,ĐANG TÌM ĐỘI
TID_LOOKING_FOR_A_MEMBER,LOOKING FOR A MEMBER,يجري البحث عن عضو,正在寻找队友,正在尋找隊友,SUCHT NACH MITGLIED,BUSCANDO A UN MIEMBRO,ETSIMME JÄSENTÄ,EN RECHERCHE DE MEMBRE,מחפש חבר בקבוצה,MENCARI ANGGOTA,IN CERCA DI UN MEMBRO,メンバーを検索中,멤버 찾는 중,SEDANG MENCARI AHLI,OP ZOEK NAAR EEN LID,SZUKANIE CZŁONKA,PROCURANDO UM INTEGRANTE,В ПОИСКЕ УЧАСТНИКА,กำลังค้นหาสมาชิก,ÜYE ARANIYOR,ĐANG TÌM THÀNH VIÊN
TID_BATTLE_END_CC_QUALIFY_INFO,Congratulations! You are eligible for the next stage in the Brawl Stars Championship.\nCheck out your inbox for more info.,تهانينا! لقد تأهلت للمرحلة التالية من بطولة Brawl Stars.\nاطّلع على بريدك الوارد لمزيد من المعلومات.,恭喜！您已获得参加荒野乱斗全球锦标赛\n下一阶段比赛的资格。\n请查看收件箱了解更多信息。,恭喜！你已獲得參加荒野亂鬥全球錦標賽下一階段的比賽資格。\n請查看你的收件匣以了解更多資訊。,Herzlichen Glückwunsch! Du hast dich für die nächste Phase der Brawl Stars Championship qualifiziert.\nIn deinem Posteingang erfährst du mehr.,¡Enhorabuena! Te has clasificado a la siguiente etapa del Brawl Stars Championship.\nHay más información en el buzón.,Onnea! Pääsit Brawl Stars -mestaruuskisan toiseen vaiheeseen.\nKatso lisätietoja pelin Viestit-kansiosta.,Vous avez réussi à vous qualifier pour la prochaine étape du championnat Brawl Stars.\nAllez voir votre boîte de réception pour en savoir plus.,מזל טוב! אתם רשאים להשתתף בשלב הבא של אליפות Brawl Stars. בדקו את תיבת הדואר הנכנס כדי לקבל פרטים נוספים.,Selamat! Kamu berhak masuk ke babak berikutnya di Kejuaraan Brawl Stars.\nLihat kotak masuk untuk info selengkapnya.,"Complimenti, puoi partecipare al prossimo turno del torneo di Brawl Stars!\nControlla i messaggi per maggiori informazioni.",おめでとうございます！\nブロスタ チャンピオンシップの\n次なるステージへ進む予選を通過しました。\n詳しくは受信箱をご確認ください。,브롤스타즈 챔피언십 다음 스테이지 진출을 축하합니다!\n수신함에서 더 자세한 정보를 확인해 보세요.,Tahniah! Anda layak untuk peringkat seterusnya dalam Kejuaraan Brawl Stars.\nSemak peti masuk untuk maklumat lanjut.,Gefeliciteerd! Je hebt je gekwalificeerd voor de volgende fase van het Brawl Stars-kampioenschap.\nGa naar je postvak In voor meer informatie.,Gratulacje! Przechodzisz do następnego etapu w Mistrzostwach Brawl Stars.\nWięcej informacji znajdziesz w skrzynce odbiorczej.,Parabéns! Você garantiu sua vaga na próxima etapa do campeonato de Brawl Stars.\nConfira suas mensagens para saber mais.,Поздравляем! Ты переходишь на следующий этап чемпионата Brawl Stars.\nДополнительная информация во входящих сообщениях.,ยินดีด้วย! คุณผ่านเข้าด่านถัดไปในศึกชิงแชมป์ Brawl Stars\nดูที่กล่องข้อความสำหรับข้อมูลเพิ่มเติม,Tebrikler! Brawl Stars şampiyonasında bir sonraki aşamaya geçmeye hak kazandın.\nDaha fazla bilgi için gelen kutusunu kontrol et.,Chúc mừng! Bạn đã đủ điều kiện tham gia màn tiếp theo của Giải đấu Quán quân Brawl Stars.\nHãy kiểm tra hộp thư để biết thêm chi tiết.
TID_TEAM_ERROR_38,Pick a Power Level 10 Brawler!,اختر بطلاً بمستوى قوة 10!,请选择一位10级英雄！,請選擇一位10級英雄！,Wähle einen Brawler mit Powerlevel 10 aus!,¡Elige un brawler de nivel de fuerza 10!,Valitse tehotason 10 rämäpää!,Choisissez un brawler au niveau 10 de pouvoir !,צריך לבחור בראולר ברמת עוצמה 10!,Pilih Jagoan dengan Level Kekuatan 10!,Devi selezionare un brawler di livello 10!,パワーレベル10のキャラを\n選択してください！,파워 레벨 10 브롤러를 선택하세요!,Pilih Brawler tahap kuasa 10!,Kies een knokker met krachtlevel 10.,Wybierz Zadymiarza o poziomie mocy 10!,Escolha um Brawler com nível de poder 10!,Выбери бойца с 10-м уровнем силы!,เลือกบรอว์เลอร์ที่มีเลเวลพลัง 10!,10. seviye bir savaşçı seç!,Hãy chọn một Chiến binh Brawl có Cấp Sức mạnh 10!
TID_OVERWHELMING_VICTORY_GMV_3,Win with at least 10 more stars than the enemy,فز وعدد نجومك يفوق عدد نجوم العدو بـ 10 نجمات على الأقل.,在领先对方至少10颗赏金之星的情况下获胜,在領先對方至少10顆賞金之星的情況下獲勝,Gewinne mit mindestens 10 Sternen Differenz.,Gana con al menos 10 estrellas más que tu rival.,Voita vähintään 10 tähden ylivoimalla.,Gagnez avec au moins 10 étoiles de plus que l'adversaire.,נצחו עם לפחות 10 כוכבים יותר מאשר היריב,Menang dengan minimal 10 bintang lebih banyak dari lawan,vinci con almeno 10 stelle in più dell'avversario.,敵よりも10個以上多く星を獲得して勝利する,상대보다 최소 10개 이상의 별을 더 획득해 승리,Menang setidaknya lebih 10 bintang daripada musuh,Win met minstens 10 meer sterren dan de vijand.,"Wygraj, mając przynajmniej 10 gwiazdek więcej od przeciwnika",Vença com pelo menos 10 estrelas a mais do que o adversário.,"наберите хотя бы на 10 звёзд больше, чем противник.",ชนะโดยมีดาวมากกว่าศัตรูอย่างน้อย 10 ดวง,Maçı düşmandan en az 10 yıldız fazla elde ederek kazan.,Thắng với tối thiểu 10 sao nhiều hơn đội đối thủ
TID_INBOX_CAPTION_84_4,Donation of Star Power <ABI> for <NAME>,تبرع بالقدرة الخاصة <ABI> لـ<NAME>,为<NAME>补偿星徽之力：<ABI>,為<NAME>補償能力之星：<ABI>,Starpowerspende (<ABI>) für <NAME>,Donación: <ABI> (habilidad estelar de <NAME>),Lahja: tähtivoima (<ABI>) rämäpäälle <NAME>,"Vous avez reçu un pouvoir star, <ABI>, pour <NAME>.",תרומה של כוח כוכב <ABI> עבור <NAME>,Pemberian Kekuatan Bintang <ABI> untuk <NAME>,Donazione dell'abilità stellare \q<ABI>\q per <NAME>,<NAME>のスターパワー「<ABI>」を寄付,선물: <NAME> 스타 파워 (<ABI>),Pemberian Kuasa Bintang <ABI> untuk <NAME>,Donatie van sterrenkracht <ABI> voor <NAME>,Darowana gwiezdna moc <ABI> dla: <NAME>,Doação do poder de estrela <ABI> para <NAME>,<NAME>: вы получаете звёздную силу «<ABI>» для этого бойца,บริจาคพลังดวงดาว <ABI> ให้กับ <NAME>,<NAME> için <ABI> yıldız gücü hediye edildi.,Quà tặng Sức mạnh Sao <ABI> cho <NAME>
TID_INBOX_CAPTION_84_5,Donation of Gadget <ABI> for <NAME>,تبرع بجهاز <ABI> لـ <NAME>,为<NAME>补偿随身妙具：<ABI>,為<NAME>補償武裝配件：<ABI>,Spende von Gadget (<ABI>) für <NAME>,Donación: <ABI> (gadget de <NAME>),Lahja: varuste (<ABI>) rämäpäälle <NAME>,"Vous avez reçu un gadget, <ABI>, pour <NAME>.",תרומה של גאדג‘ט <ABI> עבור <NAME>,Pemberian Gadget <ABI> untuk <NAME>,Donazione del gadget \q<ABI>\q per <NAME>,<NAME>のガジェット「<ABI>」を寄付,선물: <NAME> 가젯 (<ABI>),Pemberian Alat <ABI> untuk <NAME>,Donatie van gadget <ABI> voor <NAME>,Ofiarowanie gadżetu <ABI> dla: <NAME>,Doação do acessório <ABI> para <NAME>,<NAME>: вы получаете гаджет «<ABI>» для этого бойца,บริจาคอุปกรณ์เสริม <ABI> ให้กับ <NAME>,<NAME> için <ABI> aksesuarı hediye edildi.,Quà tặng Phụ kiện <ABI> cho <NAME>
TID_INBOX_CAPTION_72_52,DONATION: PIN,تبرع: تعبير,补偿：表情,補償：表情,SPENDE: PIN,DONACIÓN: REACCIÓN,LAHJA: MERKKI,DON : ÉMOTE,תרומה: סיכה,PEMBERIAN: PIN,DONAZIONE DI UNA REAZIONE,寄付：ピンズ,선물: 핀,PEMBERIAN: PIN,DONATIE: REACTIE,PODARUNEK: ODZNAKA,DOAÇÃO: REAÇÃO,ВЫ ПОЛУЧАЕТЕ ЗНАЧОК,การบริจาค: อีโมจิ,HEDİYE: ROZET,QUÀ TẶNG: HUY HIỆU
