"Name","OfferType","AcceptToOffers","AcceptToChallengeRewards","AcceptToChallengeFallbackRewards","AcceptToQuestRewards","AcceptToQuestFallbackRewards","IconFrameNumber","MaxResourcePerFrame","ShopItemAsset","ShopItemAssetBig","PopupItemAsset","PopupItemAssetHighlight","MiniOfferAsset","SeparatedSectionOfferAsset","SeparatedSectionTeaseAsset","SeasonalEventOfferAsset","LegendaryOfferAsset","ClubShopItemAsset","OfferAssetSolo","OfferAssetHalf","OfferAssetQuarter","OfferAssetHeroLayout","OfferAssetSoloHighlight","OfferAssetHalfHighlight","OfferAssetQuarterHighlight","OfferAssetHeroLayoutHighlight","SoloOfferBgFrames","BrawlPassAssetPaid","BrawlPassAssetFree","MasteryTrackAsset","MasterySmallRewardAsset","TrophyRankRewardProfile","SameSizeForCollected","TrophyRewardMediumThreshold","TrophyRewardLargeThreshold","TrophyRankRewardTiny","TrophyRankRewardSmall","TrophyRankRewardMedium","TrophyRankRewardLarge","RankedRewardAsset","RankedGoalAsset","RankedGoalQuestAsset","RewardDescTID","ChallengeRewardFrame","ChallengeRewardAsset"
"String","int","boolean","boolean","boolean","boolean","boolean","int","int","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","StringArray","String","String","String","String","String","Boolean","int","int","String","String","String","String","String","String","String","String","String","String"
"FreeBox",0,"FALSE","FALSE",,"FALSE",,0,,"shop_item_resourses_boxes",,,,,,,,"shop_item_resourses_boxes","shop_item_resourses_boxes",,,,,,,,,,,,,,"reward_profilebutton_14",,,,"reward_popupitem_collected_6","reward_popupitem_small_6",,,,,,"TID_SHOP_OFFER_TITLE_0","box",
"Ticket",7,"FALSE","FALSE",,"FALSE",,0,10,,,"shop_popupitem_7",,,,,,,,,,,,,,,,,,,,,"reward_profilebutton_7",,,,,,,,,,,"TID_SHOP_OFFER_TITLE_7",,
,,,,,,,1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,2,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WildcardPower",12,"FALSE","FALSE",,"FALSE",,,,,,"shop_popupitem_12",,,,,,,"shop_item_resourses_power_points","offer_item_power_points_big","offer_item_power_points_big","offer_item_power_points_small","offer_item_power_points_big",,,,,,"brawlpass_reward_premium_power_points","brawlpass_reward_free_power_points",,,"reward_profilebutton_12",,,,"reward_popupitem_collected_12","reward_popupitem_small_12","reward_popupitem_medium_12","reward_popupitem_large_12",,"offer_item_power_points_small","offer_item_power_points_small","TID_SHOP_OFFER_TITLE_12","resource","icon_powerpoints"
"CoinDoubler",9,"TRUE","FALSE",,"FALSE",,,,"shop_item_resourses_coin_doubler",,"shop_popupitem_9",,"shop_item_daily_freebie_token_doubler",,,,"shop_item_coin_doubler","shop_item_resourses_coin_doubler","offer_item_token_doubler_big","offer_item_token_doubler_big","offer_item_token_doubler_small","offer_item_token_doubler_big",,,,,,"reward_popupitem_large_9","reward_popupitem_small_9",,,"reward_profilebutton_9",,1000,1000,"reward_popupitem_collected_9","reward_popupitem_small_9",,"reward_popupitem_large_9",,"offer_item_token_doubler_small","offer_item_token_doubler_small","TID_SHOP_OFFER_TITLE_9",,"reward_profilebutton_9"
"Keys",11,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EventSlot",13,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_large_13",,,,"reward_profilebutton_13",,,,"reward_popupitem_collected_13",,,"reward_popupitem_large_13",,,,,,"reward_profilebutton_13"
"AdBox",15,"FALSE","FALSE",,"FALSE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"reward_popupitem_collected_6","reward_popupitem_small_6",,,,,,"TID_SHOP_OFFER_TITLE_15",,
"UpgradeMaterial",1,"TRUE","TRUE","TRUE","TRUE","TRUE",0,200,"shop_item_resourses_coins",,"shop_popupitem_1",,"shop_item_daily_freebie_coins",,,,"shop_item_resourses_coins","shop_item_resourses_coins","offer_item_coins_big","offer_item_coins_big","offer_item_coins_small","offer_item_coins_big",,,,,"offer_coins","brawlpass_reward_premium_coins","brawlpass_reward_free_coins","mastery_reward_coins","mastery_reward_small_coins","reward_profilebutton_1","TRUE",150,9999,"reward_popupitem_collected_1","reward_popupitem_small_1","reward_popupitem_medium_1","reward_popupitem_large_1",,"offer_item_coins_small","offer_item_coins_small","TID_SHOP_OFFER_TITLE_1","resource","icon_resource_coin"
,,,,,,,1,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
