TID,DE
string,string
TID_BATTLE_END_QUESTS_COMPLETED,<NUM> Quest(s) abgeschlossen
TID_BATTLE_END_QUESTS_PROGRESSED,Fortschritt in <NUM> Quest(s) erreicht
TID_TICKET_COMPENSATION_TITLE,UPDATE-BENACHRICHTIGUNG
TID_TICKET_COMPENSATION_INFO,"Da Tickets aus dem Spiel entfernt wurden, haben wir als Ausgleich für deine Tickets ein paar Juwelen für dich!"
TID_TICKET_COMPENSATION_CLAIM,EINFORDERN
TID_BRAWL_PASS_OLD_BOXES_TITLE,ÜBRIGE BOXEN ÖFFNEN
TID_BRAWL_PASS_QUESTS_LABEL,QUESTS
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,"Erreiche <TROPHIES> Gesamttrophäen, um Quests freizuschalten!"
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Quests können nun im Trophäenpfad freigeschaltet werden!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,"Gehe zum Trophäenpfad, um Quests freizuschalten."
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,STUFE KAUFEN
TID_QUESTS_TITLE,QUESTS
TID_QUEST_DESC_1,GEWINNE <AMOUNT> KÄMPFE
TID_QUEST_DESC_2,BESIEGE <AMOUNT> GEGNER
TID_QUEST_DESC_3,VERURSACHE <AMOUNT> SCHADENSPUNKTE
TID_QUEST_DESC_4,HEILE <AMOUNT> TREFFERPUNKTE
TID_QUEST_DESC_5,NUTZE \qNOCH EIN SPIEL\q <NUM>-MAL
TID_QUEST_DESC_6,SPIELE <NUM> MATCHES IN EINEM TEAM
TID_QUEST_DESC_7_MODE_0,TRAGE <AMOUNT> SEKUNDEN LANG <LIMIT> ODER MEHR JUWELEN
TID_QUEST_DESC_7_MODE_2,VERURSACHE <AMOUNT> SCHADENSPUNKTE AM TRESOR
TID_QUEST_DESC_7_MODE_3,SCHLIESSE <AMOUNT> MATCHES MIT <LIMIT> ODER MEHR STERNEN AB
TID_QUEST_DESC_7_MODE_5,PASSE DEN BALL <AMOUNT> MAL
TID_QUEST_DESC_7_MODE_6,SAMMLE <AMOUNT> POWERWÜRFEL EIN
TID_QUEST_DESC_7_MODE_9,"SAMMLE <AMOUNT> POWERWÜRFEL EIN, WÄHREND BEIDE SPIELER AKTIV SIND"
TID_QUEST_DESC_7_MODE_17,EROBERE <AMOUNT> SEKUNDEN LANG ZONEN
TID_QUEST_DESC_7_MODE_20,BLEIBE <AMOUNT> RUNDEN OHNE NIEDERLAGE
TID_QUEST_DESC_1_LEVELED,LEVEL ABSCHLIESSEN
TID_QUEST_DESC_1_BIG_GAME,GEWINNE <AMOUNT> KÄMPFE
TID_QUEST_DESC_1_BIG_GAME_SINGLE,GEWINNE <AMOUNT> KAMPF
TID_QUEST_HERO_CONDITION,\nMIT <HERO>
TID_QUEST_MODE_CONDITION,\nIM MODUS <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nMIT EINEM TEAMKAMERAD
TID_QUEST_NEW,NEU
TID_QUEST_PREMIUM,EXKLUSIV MIT BRAWLPASS
TID_RANK_POPUP_QUESTS,QUESTS
TID_RANK_POPUP_CLUB_FEATURE,CLUBS
TID_BRAWL_PASS_POPUP_TITLE,BRAWLPASS
TID_BRAWL_PASS_POPUP_INFO,SAISON <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,ZUR AKTUELLEN SAISON
TID_BRAWL_PASS_PREVIOUS_SEASON,VORHERIGE SAISON
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,"TIPPE HIER, UM DEINE BELOHNUNGEN ABZUHOLEN!"
TID_BRAWL_PASS_UNLOCK_INFO,PRÄMIUMBELOHNUNGEN GESPERRT!
TID_BRAWL_PASS_UNLOCK_LABEL,FREISCHALTEN
TID_BRAWLPASS_PURCHASE_ERROR_3,Der Brawlpass für diese Saison wurde bereits gekauft.
TID_BRAWLPASS_PURCHASE_ERROR_4,"Sorry, dieser Brawlpass ist nicht mehr verfügbar!"
TID_BRAWLPASS_PURCHASE_ERROR_5,BRAWLPASS-BUNDLE kann nicht gekauft werden. Du hast bereits jede der Belohnungen verdient!
TID_BRAWLPASS_PURCHASE_ERROR_6,Der Kauf eines Brawlpasses mit negativem Juwelenguthaben ist nicht erlaubt.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,STUFE AUFSTEIGEN?
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,<NUM> Marken kaufen und in die nächste Stufe aufsteigen?
TID_PURCHASE_BRAWL_PASS_TITLE,BRAWLPASS HOLEN!
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWLPASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,BRAWLPASS-BUNDLE
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Schalte Brawlpass-Belohnungen, zusätzliche Quests und <NUM> Quest-Neuauswahlen pro Woche frei."
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,BRAWLPASS + <NUM> STUFEN
