TID,HE
string,string
TID_BATTLE_END_QUESTS_COMPLETED,קווסטים שהושלמו: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,קווסטים שהתקדמו: <NUM>
TID_TICKET_COMPENSATION_TITLE,הודעת עדכון
TID_TICKET_COMPENSATION_INFO,"בבקשה, קחו כמה יהלומים תמורת הכרטיסים שלכם! הסרנו את הכרטיסים מהמשחק אז כבר אין בהם צורך."
TID_TICKET_COMPENSATION_CLAIM,קבלו!
TID_BRAWL_PASS_OLD_BOXES_TITLE,פתחו את הקופסאות שנותרו
TID_BRAWL_PASS_QUESTS_LABEL,קווסטים
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,קבלו <TROPHIES> גביעים כדי לפתוח קווסטים!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,כעת אפשר לפתוח קווסטים מצבירת הגביעים!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,עברו אל צבירת הגביעים כדי לפתוח קווסטים
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,קנה דרגה
TID_QUESTS_TITLE,קווסטים
TID_QUEST_DESC_1,נצחו ב-<AMOUNT> קרבות
TID_QUEST_DESC_2,להביס <AMOUNT> אויבים
TID_QUEST_DESC_3,לגרום נזק בהיקף של <AMOUNT> נקודות
TID_QUEST_DESC_4,לרפא <AMOUNT> נקודות בריאות
TID_QUEST_DESC_5,השתמשו ב\qמשחק מחדש\q <NUM> פעמים
TID_QUEST_DESC_6,שחקו <NUM> משחקים בקבוצה
TID_QUEST_DESC_7_MODE_0,צריך להחזיק <LIMIT> יהלומים או יותר ל-<AMOUNT> שניות
TID_QUEST_DESC_7_MODE_2,צריך לגרום <AMOUNT> נקודות נזק לכספת
TID_QUEST_DESC_7_MODE_3,צריך לסיים <AMOUNT> משחקים עם <LIMIT> כוכבים או יותר
TID_QUEST_DESC_7_MODE_5,צריך להעביר את הכדור <AMOUNT> פעמים
TID_QUEST_DESC_7_MODE_6,צריך לאסוף <AMOUNT>קוביות כוח
TID_QUEST_DESC_7_MODE_9,צריך לאסוף <AMOUNT> קוביות כוח כששני השחקנים פעילים
TID_QUEST_DESC_7_MODE_17,צריך לכבוש אזורים למשך <AMOUNT> שניות
TID_QUEST_DESC_7_MODE_20,צריך להיות ללא תבוסה למשך <AMOUNT> סבבים
TID_QUEST_DESC_1_LEVELED,השלימו את השלב
TID_QUEST_DESC_1_BIG_GAME,נצחו ב-<AMOUNT> קרבות
TID_QUEST_DESC_1_BIG_GAME_SINGLE,נצחו בקרב <AMOUNT>
TID_QUEST_HERO_CONDITION,\nעם <HERO>
TID_QUEST_MODE_CONDITION,\nב<MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nעם חבר קבוצה
TID_QUEST_NEW,חדש
TID_QUEST_PREMIUM,בלעדי ל-BRAWL PASS
TID_RANK_POPUP_QUESTS,קווסטים
TID_RANK_POPUP_CLUB_FEATURE,מועדונים
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,עונה <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,בחזרה לעונה הנוכחית
TID_BRAWL_PASS_PREVIOUS_SEASON,העונה הקודמת
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,הקישו כאן כדי לקבל את הפרסים!
TID_BRAWL_PASS_UNLOCK_INFO,פרסי פרמיום נעולים!
TID_BRAWL_PASS_UNLOCK_LABEL,פתיחה
TID_BRAWLPASS_PURCHASE_ERROR_3,עונת Brawl Pass זו נרכשה כבר.
TID_BRAWLPASS_PURCHASE_ERROR_4,"מצטערים, Brawl Pass זה כבר לא זמין!"
