"Name","Disabled","TID","LocationTheme","SupportingCampaignGround","BannerOverrideSWF","BannerOverrideExportName","GameModeVariation","Map","CommunityCredit","TrainingGroundsEnabled","Adventure"
"string","boolean","string","string","boolean","string","string","string","string","string","boolean","boolean"
"Wanted1",,"TID_WANTED_1","Bazaar",,,,"Bounty","Wanted_1",,"true",
"Wanted3","true","TID_WANTED_3","Default",,,,"Bounty","Wanted_3",,,
"Wanted4","true","TID_WANTED_4","Default",,,,"Bounty","Gemgrab_3",,,
"Wanted5","true","TID_WANTED_5","Default",,,,"Bounty","Gemgrab_2",,,
"Wanted6","true","TID_WANTED_6","Default",,,,"Bounty","Wanted_6",,,
"Wanted7",,"TID_WANTED_7","Hub",,,,"Bounty","Wanted_7",,"true",
"Wanted2","true","TID_WANTED_2","Default",,,,"Bounty","Wanted_2",,,
"Gemgrab1",,"TID_GOLDRUSH_1","Mine",,,,"GemGrab","Gemgrab_1",,"true",
"Gemgrab2",,"TID_GOLDRUSH_2","Arcade",,,,"GemGrab","Gemgrab_2",,"true",
"Gemgrab3","true","TID_WANTED_4","Default",,,,"GemGrab","Gemgrab_3",,,
"Gemgrab4",,"TID_WANTED_3B","Hub",,,,"GemGrab","Wanted_3",,"true",
"Gemgrab5","true","TID_GOLDRUSH_5","Default",,,,"GemGrab","Gemgrab_5",,"true",
"Gemgrab6","true","TID_GOLDRUSH_6","Default",,,,"GemGrab","Gemgrab_4",,"true",
"Survival1",,"TID_BATTLE_ROYALE_1","RobotFactoryShowdown",,,,"Showdown","Survival_1",,"true",
"Survival2",,"TID_BATTLE_ROYALE_2","RobotFactoryShowdown",,,,"Showdown","Survival_2","OwenReds","true",
"Survival3",,"TID_BATTLE_ROYALE_3","DefaultShowdown",,,,"Showdown","Survival_3",,,
"Survival4",,"TID_BATTLE_ROYALE_4","DefaultShowdown",,,,"Showdown","Survival_4",,"true",
"Heist1","true","TID_BANKHEIST_1","Default",,,,"Heist","Bankheist_1",,,
"Heist2",,"TID_BANKHEIST_2","Default",,,,"Heist","Bankheist_2",,"true",
"Heist3",,"TID_BANKHEIST_3","Arcade",,,,"Heist","Bankheist_3",,"true",
"Tutorial","true",,"OldTownTutorial",,,,"Tutorial","Tutorial",,"false",
"BossFight1","true","TID_BOSS_4","Default",,,,"BigGame","BossFight_1",,"false",
"Wanted8","true","TID_WANTED_8","RobotFactory",,,,"Bounty","Wanted_8",,"true",
"Heist4","true","TID_BANKHEIST_4","Default",,,,"Heist","Bankheist_4",,,
"Ball1",,"TID_BALL_1","Grassfield",,,,"BrawlBall","Laserball_1",,"true",
"Ball2","true","TID_BALL_2","Grassfield",,,,"BrawlBall","Laserball_2",,,
"Ball3",,"TID_BALL_3","Grassfield",,,,"BrawlBall","Laserball_3",,"true",
"Coop1","true","TID_COOP_1","Default",,,,"RoboRumble","Coop_1",,,
"SurvivalTeam7",,"TID_BATTLE_ROYALE_7","RobotFactoryShowdown",,,,"DuoShowdown","Survival_7",,"true",
"Coop2","true","TID_COOP_2","Default",,,,"RoboRumble","Coop_2",,,
"BossFight2","true","TID_BOSS_3","Default",,,,"BigGame","BossFight_2",,"false",
"Gemgrab8","true","TID_GOLDRUSH_8","Default",,,,"GemGrab","Gemgrab_8",,,
"Survival5",,"TID_BATTLE_ROYALE_5","RobotFactoryShowdown",,,,"Showdown","Survival_5","Mordeus","true",
"Survival6","true","TID_BATTLE_ROYALE_6","DefaultShowdown",,,,"Showdown","Survival_6",,"true",
"SurvivalTeam1",,"TID_BATTLE_ROYALE_1","RobotFactoryShowdown",,,,"DuoShowdown","Survival_1",,"true",
"SurvivalTeam2",,"TID_BATTLE_ROYALE_2","RobotFactoryShowdown",,,,"DuoShowdown","Survival_2","OwenReds","true",
"SurvivalTeam3",,"TID_BATTLE_ROYALE_3","DefaultShowdown",,,,"DuoShowdown","Survival_3",,,
"SurvivalTeam4",,"TID_BATTLE_ROYALE_4","DefaultShowdown",,,,"DuoShowdown","Survival_4",,"true",
"SurvivalTeam5",,"TID_BATTLE_ROYALE_5","RobotFactoryShowdown",,,,"DuoShowdown","Survival_5","Mordeus","true",
"Coop3","true","TID_COOP_6","DefaultShowdown",,,,"RoboRumble","Coop_3",,,
"Gemgrab7","true","TID_GOLDRUSH_7","Default",,,,"GemGrab","Gemgrab_7","DarkKnight",,
"Gemgrab10","true","TID_GOLDRUSH_10","Default",,,,"GemGrab","Gemgrab_10","Lewinham",,
"Heist5","true","TID_BANKHEIST_5","Default",,,,"Heist","Bankheist_5","Rushalisk",,
"Survival7",,"TID_BATTLE_ROYALE_7","RobotFactoryShowdown",,,,"Showdown","Survival_7",,"true",
"SurvivalTeam6","true","TID_BATTLE_ROYALE_6","DefaultShowdown",,,,"DuoShowdown","Survival_6",,"true",
"Survival8","true","TID_BATTLE_ROYALE_8","IslandShowdown",,,,"Showdown","Survival_8","Rushalisk",,
"SurvivalTeam8","true","TID_BATTLE_ROYALE_8","IslandShowdown",,,,"DuoShowdown","Survival_8","Rushalisk",,
"Heist6","true","TID_BANKHEIST_6","Default",,,,"Heist","Bankheist_6","Mordeus",,
