TID,FR
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Quêtes terminées : <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Quêtes avancées : <NUM>
TID_TICKET_COMPENSATION_TITLE,NOTIFICATION
TID_TICKET_COMPENSATION_INFO,"Voilà des gemmes en échange de vos tickets. Ces derniers ont été retirés du jeu, vous n'en aurez plus besoin."
TID_TICKET_COMPENSATION_CLAIM,RÉCUPÉRER
TID_BRAWL_PASS_OLD_BOXES_TITLE,OUVRIR LES BOÎTES RESTANTES
TID_BRAWL_PASS_QUESTS_LABEL,QUÊTES
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Atteignez <TROPHIES> trophées pour débloquer les quêtes.
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Débloquez les quêtes depuis la voie des trophées.
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Rendez-vous dans la voie des trophées pour débloquer les quêtes.
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,ACHETER UN PALIER
TID_QUESTS_TITLE,QUÊTES
TID_QUEST_DESC_1,Gagner <AMOUNT> combats
TID_QUEST_DESC_2,Vaincre <AMOUNT> ennemis
TID_QUEST_DESC_3,Infliger <AMOUNT> points de dégâts
TID_QUEST_DESC_4,Soigner <AMOUNT> points de santé
TID_QUEST_DESC_5,Utiliser la fonction \qRejouer\q <NUM> fois
TID_QUEST_DESC_6,Jouer <NUM> parties dans une équipe
TID_QUEST_DESC_7_MODE_0,Garder <LIMIT> gemmes ou plus pendant <AMOUNT> secondes
TID_QUEST_DESC_7_MODE_2,Infliger <AMOUNT> points de dégâts au coffre
TID_QUEST_DESC_7_MODE_3,Terminer <AMOUNT> matchs avec <LIMIT> étoiles ou plus
TID_QUEST_DESC_7_MODE_5,Passer le ballon <AMOUNT> fois
TID_QUEST_DESC_7_MODE_6,Récupérer <AMOUNT> cubes de pouvoir
TID_QUEST_DESC_7_MODE_9,Récupérer <AMOUNT> cubes de pouvoir avec les deux joueurs actifs
TID_QUEST_DESC_7_MODE_17,Prendre le contrôle des zones pendant <AMOUNT> secondes
TID_QUEST_DESC_7_MODE_20,Rester en vie pendant <AMOUNT> rounds
TID_QUEST_DESC_1_LEVELED,Terminer un niveau
TID_QUEST_DESC_1_BIG_GAME,Gagner <AMOUNT> combats
TID_QUEST_DESC_1_BIG_GAME_SINGLE,Gagner <AMOUNT> combat
TID_QUEST_HERO_CONDITION,\navec <HERO>
TID_QUEST_MODE_CONDITION,\nen mode <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\navec un coéquipier
TID_QUEST_NEW,NOUVEAU
TID_QUEST_PREMIUM,EXCLUSIVITÉ PASS BRAWL
TID_RANK_POPUP_QUESTS,QUÊTES
TID_RANK_POPUP_CLUB_FEATURE,CLUBS
TID_BRAWL_PASS_POPUP_TITLE,PASS BRAWL
TID_BRAWL_PASS_POPUP_INFO,SAISON <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,RETOUR À LA SAISON EN COURS
TID_BRAWL_PASS_PREVIOUS_SEASON,SAISON PRÉCÉDENTE
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,RÉCUPÉRER LES RÉCOMPENSES
TID_BRAWL_PASS_UNLOCK_INFO,RÉCOMPENSES PREMIUM BLOQUÉES
TID_BRAWL_PASS_UNLOCK_LABEL,DÉBLOQUER
TID_BRAWLPASS_PURCHASE_ERROR_3,Vous avez déjà acheté le Pass Brawl de cette saison.
TID_BRAWLPASS_PURCHASE_ERROR_4,Ce Pass Brawl n'est plus disponible.
TID_BRAWLPASS_PURCHASE_ERROR_5,Impossible d'acheter le lot Pass Brawl. Vous avez déjà obtenu toutes les récompenses.
TID_BRAWLPASS_PURCHASE_ERROR_6,Achat de Pass Brawl non autorisé avec un solde de gemmes négatif.
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,AVANCER D'UN PALIER
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,Achetez <NUM> jetons pour avancer vers le prochain palier.
TID_PURCHASE_BRAWL_PASS_TITLE,OBTENEZ LE PASS BRAWL
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,PASS BRAWL
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,LOT PASS BRAWL
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,"Débloquez des récompenses, des quêtes bonus et <NUM> relances en plus par semaine !"
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,Pass Brawl + <NUM> paliers
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,Impossible d'acheter le Pass Brawl d'une saison passée.
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,Impossible de trouver le Pass Brawl de la saison en cours. Veuillez réessayer plus tard.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,Pass Brawl de la saison en cours déjà débloqué.
TID_TAKEDOWNS_LABEL,CIBLAGES
TID_DEFEAT_LABEL,DÉFAITE
TID_UNDERDOG,OUTSIDER
TID_ACCESSORY,GADGET
TID_BATTLE_END_COIN_SHOWER,ÉVÉNEMENT PLUIE DE PIÈCES
TID_LFG_POPUP_TITLE_MEMBER,CHERCHER UN MEMBRE
TID_LFG_POPUP_TITLE_TEAM,CHERCHER UNE ÉQUIPE
TID_LFG_POPUP_INFO_MEMBER,Rechercher des joueurs pour faire équipe avec vous.
TID_LFG_POPUP_INFO_TEAM,Rechercher des joueurs pour rejoindre votre équipe.
TID_LFG_POPUP_EVENT_LABEL_MEMBER,Critères de l'événement (appuyez pour modifier)
TID_LFG_POPUP_EVENT_LABEL_TEAM,Disponible pour jouer (appuyez pour modifier)
TID_LFG_POPUP_START_SEARCH,C'EST PARTI !
TID_LFG_NO_ROOM_FOR_PLAYERS,Trop de joueurs pour ce mode
TID_LOOKING_FOR_A_TEAM,EN RECHERCHE D'ÉQUIPE
TID_LOOKING_FOR_A_MEMBER,EN RECHERCHE DE MEMBRE
TID_CC_TEASER_TITLE,C'est pour bientôt !
TID_CC_TEASER_INFO,"Préparez-vous pour le défi du championnat en <WIN> victoires !\n\nJouez avec des amis ou utilisez la \qrecherche d'équipe\q pour mettre toutes les chances de votre côté.\n\nLe défi ne dure que <DURATION> heures, alors ne le laissez pas passer !"
TID_CC_POPUP_TITLE,DÉFI DU CHAMPIONNAT
TID_CC_POPUP_1_TITLE,COUPE PSG
TID_CC_POPUP_TITLE_PSG_21,COUPE PSG 2021
TID_CC_POPUP_DESC,"Gagnez des récompenses à chaque victoire. Réussissez le défi avec <WINS> victoires, mais attention : <LOSSES> défaites et c'est l'élimination !"
TID_CC_POPUP_1_DESC,"Gagnez des récompenses à chaque victoire. Réussissez la coupe avec <WINS> victoires, mais attention : <LOSSES> défaites et c'est l'élimination !"
TID_CC_POPUP_WINS,<WINS>/<MAX> VICTOIRES
TID_CC_POPUP_WINS_FOR_EVENT,ÉTAPE <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,QUARTS DE FINALE
TID_POPUP_WINS_FOR_EVENT_PSG_2,DEMI-FINALE
TID_POPUP_WINS_FOR_EVENT_PSG_3,FINALE
TID_CC_POPUP_QUALIFY_INFO,Réussissez le défi afin de vous qualifier pour l'étape suivante du championnat Brawl Stars.
TID_CC_POPUP_QUALIFY_INFO_PSG,Réussissez le défi pour gagner le skin Shelly PSG !
TID_CC_POPUP_QUALIFY_INFO_COMPLETED,Défi réussi !
TID_CC_POPUP_CHALLENGE_OVER,DÉFI TERMINÉ
TID_CC_POPUP_OUT_OF_LIVES,PLUS D'ESSAIS
TID_CC_POPUP_BUY_LIVES,Acheter <NUM> de plus ?
TID_CC_POPUP_COMPLETED,DÉFI RÉUSSI
TID_CC_POPUP_LEVEL,ÉTAPE <LEVEL>
TID_CC_POPUP_WIN,VICTOIRE
TID_CC_POPUP_LOSSES,DÉFAITES
TID_QUALIFIED_TITLE,Épreuve qualificative débloquée !
TID_QUALIFIED_INFO,"Vous avez réussi le défi, c'est génial !\n\nPour continuer sur la route du championnat Brawl Stars, rendez-vous ici : <cFFE400><URL></c>."
TID_QUALIFIED_INFO_HUB,"Vous avez réussi le défi, c'est génial !\n\nPour continuer sur la route du championnat Brawl Stars, rendez-vous dans la nouvelle section e-sport de l'écran d'accueil."
TID_QUALIFIED_INFO_PSG,Félicitations ! Vous avez gagné la coupe PSG ! Voici le skin Shelly PSG.
TID_QUALIFIED_GO,J'y vais !
TID_EVENT_LABEL_CHAMPIONSHIP_CHALLENGE,DÉFI DU CHAMPIONNAT
TID_BATTLE_END_CC_WIN_LABEL,RÉCOMPENSE POUR LA VICTOIRE Nº <AMOUNT>
TID_BATTLE_END_CC_DEFEAT_0,Défi terminé.\nVous gagnerez une prochaine fois !
TID_BATTLE_END_CC_DEFEAT_1,Une défaite de plus et c'est fini. Ne lâchez rien !
TID_BATTLE_END_CC_DEFEAT_2,Vous avez perdu cette partie mais vous pouvez continuer !
TID_BATTLE_END_CC_DRAW_DESC,Rejouez pour tenter de gagner !
TID_BATTLE_END_CC_QUALIFY_LABEL,Félicitations !
TID_BATTLE_END_CC_QUALIFY_INFO,Vous avez réussi à vous qualifier pour la prochaine étape du championnat Brawl Stars.\nAllez voir votre boîte de réception pour en savoir plus.
TID_PRO_LEAGUE_INFO_POPUP_TITLE,Récompenses de ligue Marathon star
TID_PRO_LEAGUE_INFO_POPUP_INFO,Récompense basée sur\nvotre total final de points
TID_PRO_LEAGUE_INFO_POPUP_RANK,Classement
TID_PRO_LEAGUE_INFO_POPUP_POINTS,Points
TID_PRO_LEAGUE_INFO_POPUP_RANK_INFO,Récompense supplémentaire pour avoir\natteint le haut du classement mondial
TID_PRO_LEAGUE_POPUP_REWARDS_LABEL,Marathon star : récompenses de fin de ligue
TID_PRO_LEAGUE_POPUP_LEADERBOARDS_LABEL,CLASSEMENT DE LIGUE
TID_PRO_LEAGUE_SEASON_END_TIME,FIN DE LIGUE DANS
TID_PRO_LEAGUE_POPUP_TITLE,MARATHON STAR
TID_EVENT_LABEL_PRO_LEAGUE,MARATHON STAR
TID_PRO_LEAGUE_POPUP_INFO,"Testez votre endurance grâce au Marathon star. Participez à trois matches quotidiens et hissez-vous au sommet du classement de ligue. À la fin de la ligue, vous recevrez des points star en fonction des points gagnés et de votre rang au classement de ligue mondial."
TID_PRO_LEAGUE_POPUP_CURRENT_SEASON,LIGUE ACTUELLE
TID_PRO_LEAGUE_POPUP_PREVIOUS_SEASON,LIGUE PRÉCÉDENTE
TID_PRO_LEAGUE_LABEL,MARATHON STAR
TID_TEAM_ERROR_38,Choisissez un brawler au niveau 10 de pouvoir !
TID_TEAM_ERROR_39,Vous avez participé à tous les matches quotidiens de Marathon star.
TID_PRO_LEAGUE_GAMES,Combats restants : <GAMESLEFT>/<MAXGAMES>
TID_PRO_LEAGUE_SEASON_END_POPUP_TITLE,LIGUE MARATHON STAR TERMINÉE
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_POINTS,Vos points
TID_PRO_LEAGUE_SEASON_END_POPUP_FINAL_RANK,Votre classement
TID_PRO_LEAGUE_SEASON_END_POPUP_STAR_POINTS,Récompense en points star
TID_PRO_LEAGUE_SEASON_END_INFO_SHORT,Récompense Marathon star : <AMOUNT> <cff00ff>points star</c> obtenus !
TID_EVENT_DETAILS_PRO_LEAGUE_OVERWHELMING_VICTORY,Victoire épique (+ 3 points)
TID_OVERWHELMING_VICTORY_GMV_0,Gagnez avant l'apparition de la 15e gemme.
TID_OVERWHELMING_VICTORY_GMV_5,Gagnez 2 à 0.
TID_OVERWHELMING_VICTORY_GMV_2,Gagnez avec un coffre à 60 % de santé ou plus.
TID_OVERWHELMING_VICTORY_GMV_11,Gagnez avec une base à 80 % de santé ou plus.
TID_OVERWHELMING_VICTORY_GMV_3,Gagnez avec au moins 10 étoiles de plus que l'adversaire.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_0,Gagnez des points selon votre classement lors du combat.
TID_PRO_LEAGUE_SCORING_RULE_GAME_MODE_2,"Obtenez 30 points pour une victoire, 15 pour une égalité et 5 comme prix de consolation en cas de défaite."
TID_BATTLE_END_PRO_LEAGUE_POINTS_LABEL,POINTS
TID_DOUBLE_TOKEN_WEEKEND,ÉVÉNEMENT DOUBLE JETON
TID_COIN_SHOWER_EVENT,ÉVÉNEMENT PLUIE DE PIÈCES
TID_RANKS_ADDED_TITLE,Nouveaux rangs de brawlers
TID_RANKS_ADDED_DESC,Nous avons ajouté les rangs 21 à 35 pour tous les brawlers.\n\nVous avez gagné <cff00ff><STARPOINTS></c> points star et <TOKENS> jetons grâce aux brawlers ayant atteint ces nouveaux rangs.
TID_SKINS_TITLE,SKINS
TID_SKINS_BUTTON_LABEL,SKINS
TID_SKIN_PREVIEW,APERÇU
TID_DEFAULT_SKIN,SKIN DE BASE DE <HERO>
TID_HERO_LVL_UP_MATERIAL,Pièces
TID_TOKENS,Jetons
TID_FIRST_WINS,Jetons star
TID_CLUB_COINS,Pièces de club
TID_BUTTON_INBOX,Boîte de réception
TID_INBOX_TITLE,Boîte de réception
TID_INBOX_SYSTEM_SENDER,Système
TID_INBOX_SUPPORT_SENDER,Assistance Brawl Stars
TID_INBOX_BRAWLSTARS_SENDER,Brawl Stars
TID_INBOX_AGE,Il y a <TIME>
TID_INBOX_CLAIM,RÉCUPÉRER
TID_INBOX_VIEW,AFFICHER
TID_INBOX_TAB_0,CLUB-MAIL
TID_INBOX_TAB_1,PERSONNEL
TID_INBOX_NO_ENTRIES,Vide
TID_INBOX_CAPTION_99,Ligue de trophées terminée
TID_INBOX_CAPTION_94,Vous avez reçu le skin <NAME>.
TID_INBOX_CAPTION_93,Vous avez reçu le brawler <NAME>.
TID_INBOX_CAPTION_93_WITH_LEVEL,Vous avez reçu le brawler <NAME> (niveau <LEVEL> de pouvoir)
TID_INBOX_CAPTION_92,Vous avez reçu <AMOUNT> points de pouvoir pour <NAME>.
TID_INBOX_CAPTION_91,Vous avez reçu : <AMOUNT> tickets.
TID_INBOX_CAPTION_90,Vous avez reçu <AMOUNT> <NAME>.
TID_INBOX_CAPTION_89,Vous avez reçu <AMOUNT> gemmes.
TID_INBOX_CAPTION_88,Vous avez reçu <AMOUNT> doubleurs de jetons.
TID_INBOX_CAPTION_85,Révocation de <AMOUNT> gemmes
TID_INBOX_CAPTION_84_4,"Vous avez reçu un pouvoir star, <ABI>, pour <NAME>."
TID_INBOX_CAPTION_84_5,"Vous avez reçu un gadget, <ABI>, pour <NAME>."
TID_INBOX_CAPTION_78,Rangs de brawlers 21 à 30 ajoutés !
TID_INBOX_CAPTION_76,Épreuve qualificative en ligne débloquée !
TID_INBOX_CAPTION_75,Récompense de victoire dans le défi <CHALLENGE> :\n<NAME>
TID_INBOX_CAPTION_74,Dédommagement (tickets retirés)
TID_INBOX_CAPTION_73,DON : PASS BRAWL
