TID,JP
string,string
TID_BATTLE_END_QUESTS_COMPLETED,クリアしたクエスト：<NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,進んだクエスト：<NUM>
TID_TICKET_COMPENSATION_TITLE,アップデートのお知らせ
TID_TICKET_COMPENSATION_INFO,お持ちのチケットと引き換えにエメラルドをプレゼントします！ブロスタではチケットが廃止されたため、今後使用する機会はありません。
TID_TICKET_COMPENSATION_CLAIM,受け取る！
TID_BRAWL_PASS_OLD_BOXES_TITLE,以前のボックスを開ける
TID_BRAWL_PASS_QUESTS_LABEL,クエスト
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,<TROPHIES> トロフィー到達で\nクエストをアンロック！
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,クエストがトロフィー目標からアンロックできるようになりました！
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,トロフィー目標に移動してクエストをアンロック
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,グレードを購入
TID_QUESTS_TITLE,クエスト
TID_QUEST_DESC_1,バトルに<AMOUNT>回勝利する
TID_QUEST_DESC_2,敵を<AMOUNT>体倒す
TID_QUEST_DESC_3,ダメージを<AMOUNT>ポイント与える
TID_QUEST_DESC_4,HPを<AMOUNT>ポイント回復する
TID_QUEST_DESC_5,「もう一度」機能を<NUM>回使用する
TID_QUEST_DESC_6,チームで<NUM>回バトルする
TID_QUEST_DESC_7_MODE_0,<LIMIT>個以上のエメラルドを<AMOUNT>秒間保持する
TID_QUEST_DESC_7_MODE_2,金庫に<AMOUNT>ダメージを与える
TID_QUEST_DESC_7_MODE_3,星を<AMOUNT>個以上保持した状態でバトルを<LIMIT>回終える
TID_QUEST_DESC_7_MODE_5,ボールを<AMOUNT>回パスする
TID_QUEST_DESC_7_MODE_6,パワーキューブを<AMOUNT>個集める
TID_QUEST_DESC_7_MODE_9,お互いが生存した状態でパワーキューブを<AMOUNT>個集める
TID_QUEST_DESC_7_MODE_17,<AMOUNT>秒間ゾーンを支配する
TID_QUEST_DESC_7_MODE_20,倒されることなく<AMOUNT>ラウンドを戦う
TID_QUEST_DESC_1_LEVELED,ステージをクリアする
TID_QUEST_DESC_1_BIG_GAME,バトルに<AMOUNT>回勝利する
TID_QUEST_DESC_1_BIG_GAME_SINGLE,バトルに<AMOUNT>回勝利する
TID_QUEST_HERO_CONDITION,\nキャラクター：<HERO>
TID_QUEST_MODE_CONDITION,\nモード：<MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\n条件：チームメイトとプレイ
TID_QUEST_NEW,NEW
TID_QUEST_PREMIUM,ブロスタパス限定
TID_RANK_POPUP_QUESTS,クエスト
TID_RANK_POPUP_CLUB_FEATURE,クラブ
TID_BRAWL_PASS_POPUP_TITLE,ブロスタパス
TID_BRAWL_PASS_POPUP_INFO,シーズン<SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,現在のシーズンに戻る
TID_BRAWL_PASS_PREVIOUS_SEASON,前のシーズン
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,タップして報酬を受け取る！
TID_BRAWL_PASS_UNLOCK_INFO,プレミアム報酬はロックされています！
TID_BRAWL_PASS_UNLOCK_LABEL,アンロック
TID_BRAWLPASS_PURCHASE_ERROR_3,今シーズンのブロスタパスは購入済みです。
TID_BRAWLPASS_PURCHASE_ERROR_4,残念ながらこのブロスタパスはもうご利用になれません。
TID_BRAWLPASS_PURCHASE_ERROR_5,すでにすべての報酬を獲得しているため、ブロスタパスセットを購入できません！
TID_BRAWLPASS_PURCHASE_ERROR_6,エメラルド残高がマイナスであるため、ブロスタパスを購入できません。
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,グレードを進める？
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,<NUM>トークン購入して次のグレードに進みますか？
TID_PURCHASE_BRAWL_PASS_TITLE,ブロスタパスをゲット！
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,ブロスタパス
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,ブロスタパスセット
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,ブロスタパス報酬や追加クエストをアンロックできるほか、クエストを1週間に追加で<NUM>回入れ替えることが可能になります
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,ブロスタパス + <NUM>グレード
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,過去のシーズンのブロスタパスは購入できません。
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,今シーズンのブロスタパスが見つかりません。また後ほどお試しください。
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,今シーズンのブロスタパスはアンロック済みです。
TID_TAKEDOWNS_LABEL,撃破
TID_DEFEAT_LABEL,敗北
TID_UNDERDOG,格差救済
TID_ACCESSORY,ガジェット
TID_BATTLE_END_COIN_SHOWER,コインの雨イベント
TID_LFG_POPUP_TITLE_MEMBER,メンバーを探す
TID_LFG_POPUP_TITLE_TEAM,チームを探す
TID_LFG_POPUP_INFO_MEMBER,一緒にチームを組むプレイヤーを探します
TID_LFG_POPUP_INFO_TEAM,あなたのチームに参加するプレイヤーを探します
TID_LFG_POPUP_EVENT_LABEL_MEMBER,イベント基準（タップで変更）
TID_LFG_POPUP_EVENT_LABEL_TEAM,参加を希望する（タップで変更）
TID_LFG_POPUP_START_SEARCH,実行
TID_LFG_NO_ROOM_FOR_PLAYERS,このゲームモードには、これ以上プレイヤーを追加できません
TID_LOOKING_FOR_A_TEAM,チームを検索中
TID_LOOKING_FOR_A_MEMBER,メンバーを検索中
TID_CC_TEASER_TITLE,近日公開！
