"Name","Disabled","DisabledCN","FileName","ExportName","Character","Skin","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture"
"string","boolean","boolean","string","string","string","string","String","int","int","int","boolean","boolean","String","boolean","string"
"spray_allfine",,,"sc/ui.sc","spray_allfine",,,"COLLECTORS",255,255,255,"TRUE",,,,"spray_allfine.png"
"spray_angrycloud",,,"sc/ui.sc","spray_angrycloud",,,"COMMON",197,230,255,"TRUE",,,,"spray_angrycloud.png"
"spray_badgem",,,"sc/ui.sc","spray_badgem",,,"COLLECTORS",95,219,26,"TRUE",,,,"spray_badgem.png"
"spray_banana",,,"sc/ui.sc","spray_banana",,,"COMMON",255,234,0,"TRUE",,,,"spray_banana.png"
"spray_check",,,"sc/ui.sc","spray_check",,,"DEFAULT",14,255,14,"TRUE",,,,"spray_check.png"
"spray_cross",,,"sc/ui.sc","spray_cross",,,"DEFAULT",255,53,44,"TRUE",,,,"spray_cross.png"
"spray_crymask",,,"sc/ui.sc","spray_crymask",,,"COLLECTORS",252,188,33,"TRUE",,,,"spray_crymask.png"
"spray_drop",,,"sc/ui.sc","spray_drop",,,"COMMON",0,237,255,"TRUE",,,,"spray_drop.png"
"spray_footstep",,,"sc/ui.sc","spray_footstep",,,"COMMON",0,0,0,"TRUE",,,,"spray_footstep.png"
"spray_heartarrow",,,"sc/ui.sc","spray_heartarrow",,,"COMMON",255,49,133,"TRUE",,,,"spray_heartarrow.png"
"spray_hole",,,"sc/ui.sc","spray_hole",,,"COMMON",0,0,0,"TRUE",,,,"spray_hole.png"
"spray_salt",,,"sc/ui.sc","spray_salt",,,"COMMON",93,234,255,"TRUE",,,,"spray_salt.png"
"spray_skullchamp",,,"sc/ui.sc","spray_skullchamp",,,"COMMON",0,103,57,"TRUE",,,,"spray_skullchamp.png"
"spray_skullsign",,,"sc/ui.sc","spray_skullsign",,,"COMMON",251,205,16,"TRUE",,,,"spray_skullsign.png"
"spray_skullwings",,,"sc/ui.sc","spray_skullwings",,,"COMMON",255,255,255,"TRUE",,,,"spray_skullwings.png"
"spray_starrpark",,,"sc/ui.sc","spray_starrpark",,,"DEFAULT",252,224,91,"TRUE",,,,"spray_starrpark.png"
"spray_thumbsup",,,"sc/ui.sc","spray_thumbsup",,,"COMMON",255,255,255,"TRUE",,,,"spray_thumbsup.png"
"spray_8bit_1",,,"sc/ui.sc","spray_8bit_1","Arcade",,"COMMON",0,104,224,"TRUE",,,,"spray_8bit.png"
"spray_bo_1",,,"sc/ui.sc","spray_bo_1","BowDude",,"COMMON",183,56,21,"TRUE",,,,"spray_bo.png"
"spray_brock_1",,,"sc/ui.sc","spray_brock_1","RocketGirl",,"COMMON",135,31,145,"TRUE",,,,"spray_brock.png"
"spray_bull_1",,,"sc/ui.sc","spray_bull_1","BullDude",,"COMMON",249,214,157,"TRUE",,,,"spray_bull.png"
"spray_colt_1",,,"sc/ui.sc","spray_colt_1","Gunslinger",,"COMMON",82,117,214,"TRUE",,,,"spray_colt.png"
"spray_dynamike_1",,,"sc/ui.sc","spray_dynamike_1","TntDude",,"COMMON",233,3,21,"TRUE",,,,"spray_dynamike.png"
"spray_emz_1",,,"sc/ui.sc","spray_emz_1","Mummy",,"COMMON",19,244,189,"TRUE",,,,"spray_emz.png"
"spray_jessie_1",,,"sc/ui.sc","spray_jessie_1","Mechanic",,"COMMON",92,255,255,"TRUE",,,,"spray_jessie.png"
"spray_nita_1",,,"sc/ui.sc","spray_nita_1","Shaman",,"COMMON",255,57,83,"TRUE",,,,"spray_nita.png"
"spray_shelly_1",,,"sc/ui.sc","spray_shelly_1","ShotgunGirl",,"COMMON",255,221,195,"TRUE",,,,"spray_shelly.png"
"spray_stu_1",,,"sc/ui.sc","spray_stu_1","Roller",,"COMMON",33,53,247,"TRUE",,,,"spray_stu.png"
"spray_tick_1",,,"sc/ui.sc","spray_tick_1","ClusterBombDude",,"COMMON",253,237,83,"TRUE",,,,"spray_tick.png"
"spray_mrp_goldenweek",,,"sc/ui.sc","spray_mrp_goldenweek","SpawnerDude","SpawnerDudeDaruma","COMMON",244,28,58,"TRUE",,,,"spray_mrp_goldenweek.png"
"spray_tara_ramadan",,,"sc/ui.sc","spray_tara_ramadan","BlackHole","BlackHoleDevious","COMMON",247,205,18,"TRUE",,,,"spray_tara_ramadan.png"
"spray_crashdummy",,,"sc/ui.sc","spray_crashdummy",,,"COMMON",255,234,0,"TRUE",,,,"spray_crashdummy.png"
"spray_stuntshow_chevrons",,,"sc/ui.sc","spray_stuntshow_chevrons",,,"COMMON",251,205,16,"TRUE",,,,"spray_stuntshow_chevrons.png"
"spray_stuntshow_wheel",,,"sc/ui.sc","spray_stuntshow_wheel",,,"COMMON",82,117,214,"TRUE",,,,"spray_stuntshow_wheel.png"
"spray_tick_bt21",,"TRUE","sc/ui.sc","spray_tick_bt21","ClusterBombDude","ClusterBombDudeShooky","COMMON",253,237,83,"TRUE",,,,"spray_tick_bt21.png"
"spray_sandy_bt21",,"TRUE","sc/ui.sc","spray_sandy_bt21","Sandstorm","SandstormKoya","COMMON",0,150,217,"TRUE",,,,"spray_sandy_bt21.png"
"spray_ruffs_bt21",,"TRUE","sc/ui.sc","spray_ruffs_bt21","Ruffs","RuffsChimmy","COMMON",255,215,54,"TRUE",,,,"spray_ruffs_bt21.png"
"spray_bibi_bt21",,"TRUE","sc/ui.sc","spray_bibi_bt21","Baseball","BaseballRj","COMMON",255,255,255,"TRUE",,,,"spray_bibi_bt21.png"
"spray_jacky_bt21",,"TRUE","sc/ui.sc","spray_jacky_bt21","Driller","DrillerCooky","COMMON",254,68,169,"TRUE",,,,"spray_jacky_bt21.png"
"spray_bull_bt21",,"TRUE","sc/ui.sc","spray_bull_bt21","BullDude","BullDudeMang","COMMON",97,177,255,"TRUE",,,,"spray_bull_bt21.png"
"spray_edgar_bt21",,"TRUE","sc/ui.sc","spray_edgar_bt21","Enrager","EnragerTata","COMMON",82,133,234,"TRUE",,,,"spray_edgar_bt21.png"
"spray_elprimo_1",,,"sc/ui.sc","spray_elprimo_1","Luchador",,"COMMON",248,133,70,"TRUE",,,,"spray_elprimo.png"
"spray_rosa_1",,,"sc/ui.sc","spray_rosa_1","Rosa",,"COMMON",235,60,172,"TRUE",,,,"spray_rosa.png"
"spray_poco_1",,,"sc/ui.sc","spray_poco_1","DeadMariachi",,"COMMON",255,49,133,"TRUE",,,,"spray_poco.png"
"spray_barley_1",,,"sc/ui.sc","spray_barley_1","Barkeep",,"COMMON",7,174,74,"TRUE",,,,"spray_barley.png"
"spray_rico_1",,,"sc/ui.sc","spray_rico_1","TrickshotDude",,"COMMON",255,98,28,"TRUE",,,,"spray_rico.png"
"spray_darryl_1",,,"sc/ui.sc","spray_darryl_1","BarrelBot",,"COMMON",96,35,255,"TRUE",,,,"spray_darryl.png"
"spray_jacky_1",,,"sc/ui.sc","spray_jacky_1","Driller",,"COMMON",91,16,221,"TRUE",,,,"spray_jacky.png"
