TID,AR
string,string
TID_BATTLE_END_QUESTS_COMPLETED,المهام المنجزة: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,المهام الجارية: <NUM>
TID_TICKET_COMPENSATION_TITLE,إشعار التحديث
TID_TICKET_COMPENSATION_INFO,إليك بعض الجواهر عوضًا عن تذاكرك. لقد حذفنا التذاكر من اللعبة، ولم تعد تصلح لأي غرض بعد الآن.
TID_TICKET_COMPENSATION_CLAIM,المطالبة
TID_BRAWL_PASS_OLD_BOXES_TITLE,فتح الصناديق المتبقية
TID_BRAWL_PASS_QUESTS_LABEL,المهام
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,اجمع <TROPHIES> من الكؤوس لفتح المهام.
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,الآن يمكن فتح المهام من مسار الكؤوس.
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,انتقل إلى مسار الكؤوس لفتح المهام.
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,شراء مستوى
TID_QUESTS_TITLE,المهام
TID_QUEST_DESC_1,اربح <AMOUNT> من المعارك.
TID_QUEST_DESC_2,تغلب على <AMOUNT> من الأعداء
TID_QUEST_DESC_3,ألحق <AMOUNT> من نقاط الضرر
TID_QUEST_DESC_4,استرد <AMOUNT> من نقاط الصحة
TID_QUEST_DESC_5,استخدم 'اللعب مجددًا' <NUM> من المرات
TID_QUEST_DESC_6,العب <NUM> من المواجهات ضمن فريق
TID_QUEST_DESC_7_MODE_0,احتفظ بـ <LIMIT> أو أكثر من الجواهر لمدة <AMOUNT> ث
TID_QUEST_DESC_7_MODE_2,ألحق <AMOUNT> من نقاط الضرر بالخزينة
TID_QUEST_DESC_7_MODE_3,اختم <AMOUNT> من المواجهات بـ <LIMIT> أو أكثر من النجوم
TID_QUEST_DESC_7_MODE_5,مرر الكرة <AMOUNT> من المرات
TID_QUEST_DESC_7_MODE_6,اجمع <AMOUNT> من مكعبات القوة
TID_QUEST_DESC_7_MODE_9,اجمع <AMOUNT> من مكعبات القوة خلال نشاط كلا اللاعبين
TID_QUEST_DESC_7_MODE_17,استحوذ على المناطق لمدة <AMOUNT> ث
TID_QUEST_DESC_7_MODE_20,ابق صامدًا طوال <AMOUNT> من الجولات
TID_QUEST_DESC_1_LEVELED,أتمم مستوى
TID_QUEST_DESC_1_BIG_GAME,اربح <AMOUNT> من المعارك.
TID_QUEST_DESC_1_BIG_GAME_SINGLE,اربح <AMOUNT> من المعارك.
TID_QUEST_HERO_CONDITION,\nبـ<HERO>.
TID_QUEST_MODE_CONDITION,\nفي <MODE>.
TID_QUEST_PLAYAGAIN_CONDITION,\nمع زميل
TID_QUEST_NEW,جديد
TID_QUEST_PREMIUM,خاص بـ BRAWL PASS
TID_RANK_POPUP_QUESTS,المهام
TID_RANK_POPUP_CLUB_FEATURE,الاتحادات
TID_BRAWL_PASS_POPUP_TITLE,BRAWL PASS
TID_BRAWL_PASS_POPUP_INFO,الموسم <SEASON>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,العودة إلى الموسم الحالي
TID_BRAWL_PASS_PREVIOUS_SEASON,الموسم السابق
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,اضغط هنا للمطالبة بالمكافآت.
TID_BRAWL_PASS_UNLOCK_INFO,المكافآت المميزة مقفلة.
TID_BRAWL_PASS_UNLOCK_LABEL,الفتح
TID_BRAWLPASS_PURCHASE_ERROR_3,تم شراء موسم Brawl Pass هذا بالفعل.
TID_BRAWLPASS_PURCHASE_ERROR_4,عذرًا، Brawl Pass هذا لم يعد متوفرًا.
TID_BRAWLPASS_PURCHASE_ERROR_5,لا يمكن شراء مجموعة BRAWL PASS؛ فقد كسبت جميع المكافآت بالفعل.
TID_BRAWLPASS_PURCHASE_ERROR_6,لا يُسمح بشراء Brawl Pass باستخدام رصيد جواهر سلبي
TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE,أتريد التقدم للمستوى التالي؟
TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO,أتريد شراء <NUM> من الأقراص، والتقدم إلى المستوى التالي؟
TID_PURCHASE_BRAWL_PASS_TITLE,احصل على BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN,BRAWL PASS
TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE,مجموعة BRAWL PASS
TID_PURCHASE_BRAWL_PASS_INFO_PLAIN,افتح مكافآت Brawl Pass، ومهامًا إضافية، و<NUM> من تبديلات المهام كل أسبوع
TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE,احصل على BRAWL PASS و<NUM> من المستويات
TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON,لا يمكن شراء مواسم Brawl Pass السابقة
TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND,تعذر العثور على موسم Brawl Pass الحالي، يرجى المحاولة مرة أخرى لاحقًا.
TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED,تم فتح موسم Brawl Pass الحالي بالفعل
TID_TAKEDOWNS_LABEL,الإطاحات
TID_DEFEAT_LABEL,الهزيمة
TID_UNDERDOG,متواضع المستوى
TID_ACCESSORY,جهاز
TID_BATTLE_END_COIN_SHOWER,حدث سيل النقود
TID_LFG_POPUP_TITLE_MEMBER,البحث عن عضو
TID_LFG_POPUP_TITLE_TEAM,البحث عن فريق
TID_LFG_POPUP_INFO_MEMBER,البحث عن لاعبين لتكوين فريق معهم
TID_LFG_POPUP_INFO_TEAM,البحث عن لاعب ينضم إلى فريقك الحالي
TID_LFG_POPUP_EVENT_LABEL_MEMBER,معايير الحدث (اضغط للتغيير)
TID_LFG_POPUP_EVENT_LABEL_TEAM,أريد اللعب (اضغط للتغيير)
TID_LFG_POPUP_START_SEARCH,البدء
TID_LFG_NO_ROOM_FOR_PLAYERS,وضع اللعب المحدد لا يدعم عددًا أكبر من اللاعبين
TID_LOOKING_FOR_A_TEAM,يجري البحث عن فريق
TID_LOOKING_FOR_A_MEMBER,يجري البحث عن عضو
TID_CC_TEASER_TITLE,قريبًا!
TID_CC_TEASER_INFO,استعد لتحدي بطولة الانتصارات الـ <WIN>.\n\nالعب مع أصدقائك أو استخدم ميزة \qالبحث عن فريق\q لتحسين فرصك في الفوز.\n\nسيكون التحدي متاحًا لمدة <DURATION> س فقط، فاستغل وقتك جيدًا.
TID_CC_POPUP_TITLE,تحدي البطولة
TID_CC_POPUP_1_TITLE,PSG CUP
TID_CC_POPUP_TITLE_PSG_21,PSG CUP 2021
TID_CC_POPUP_DESC,اربح مكافآت مميزة عن كل فوز. حقق <WINS> من الانتصارات للفوز في التحدي. يتم إقصاؤك بعد <LOSSES> من الخسائر.
TID_CC_POPUP_1_DESC,اربح مكافآت مميزة عن كل فوز. حقق <WINS> من الانتصارات للفوز بالكأس. يتم إقصاؤك بعد <LOSSES> من الخسائر.
TID_CC_POPUP_WINS,<MAX>/<WINS> من الانتصارات
TID_CC_POPUP_WINS_FOR_EVENT,المرحلة <LEVEL>
TID_POPUP_WINS_FOR_EVENT_PSG_1,ربع النهائيات
TID_POPUP_WINS_FOR_EVENT_PSG_2,نصف النهائيات
TID_POPUP_WINS_FOR_EVENT_PSG_3,النهائيات
TID_CC_POPUP_QUALIFY_INFO,فز في التحدي لتتأهل للمرحلة التالية من بطولة Brawl Stars.
TID_CC_POPUP_QUALIFY_INFO_PSG,فز في التحدي لربح مظهر شيلي PSG!َ
