TID,CNT
string,string
TID_BATTLE_END_QUESTS_COMPLETED,任務完成：<NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,任務進度：<NUM>
TID_TICKET_COMPENSATION_TITLE,更新公告
TID_TICKET_COMPENSATION_INFO,你的入場券已被兌換為寶石！入場券已從遊戲中移除，以後遊戲中將不再使用入場券。
TID_TICKET_COMPENSATION_CLAIM,領取！
TID_BRAWL_PASS_OLD_BOXES_TITLE,打開剩餘寶箱
TID_BRAWL_PASS_QUESTS_LABEL,任務
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,獎盃數達到<TROPHIES>即可解鎖任務
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,可以在榮耀之路中解鎖任務囉！
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,前往榮耀之路介面解鎖任務
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,解鎖下一階獎勵
TID_QUESTS_TITLE,任務
TID_QUEST_DESC_1,贏得<AMOUNT>場對戰
TID_QUEST_DESC_2,擊敗<AMOUNT>個敵人
TID_QUEST_DESC_3,造成<AMOUNT>點傷害
TID_QUEST_DESC_4,恢復<AMOUNT>點生命值
TID_QUEST_DESC_5,使用\q再來一場\q<NUM>次
TID_QUEST_DESC_6,組隊進行<NUM>場對戰
TID_QUEST_DESC_7_MODE_0,持有<LIMIT>顆或更多寶石達<AMOUNT>秒
TID_QUEST_DESC_7_MODE_2,對金庫造成<AMOUNT>傷害
TID_QUEST_DESC_7_MODE_3,在<AMOUNT>場對戰結束時持有<LIMIT>顆或更多賞金之星
TID_QUEST_DESC_7_MODE_5,傳球<AMOUNT>次
TID_QUEST_DESC_7_MODE_6,收集<AMOUNT>個能量方塊
TID_QUEST_DESC_7_MODE_9,兩名玩家均未被擊倒的情況下收集<AMOUNT>個能量方塊
TID_QUEST_DESC_7_MODE_17,占領據點<AMOUNT>秒
TID_QUEST_DESC_7_MODE_20,<AMOUNT>局中不被擊倒
TID_QUEST_DESC_1_LEVELED,通過關卡
