TID,RU
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Пройдено квестов: <NUM>.
TID_BATTLE_END_QUESTS_PROGRESSED,Прогресс в квестах: <NUM>.
TID_TICKET_COMPENSATION_TITLE,ВЫШЛО ОБНОВЛЕНИЕ!
TID_TICKET_COMPENSATION_INFO,"Мы обменяли твои билеты на кристаллы! Билетов в игре больше не будет, так что они тебе уже не понадобятся."
TID_TICKET_COMPENSATION_CLAIM,ЗАБРАТЬ
TID_BRAWL_PASS_OLD_BOXES_TITLE,ОТКРЫТЬ ОСТАВШИЕСЯ ЯЩИКИ
TID_BRAWL_PASS_QUESTS_LABEL,КВЕСТЫ
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,"Чтобы разблокировать квесты, набери <TROPHIES> трофеев!"
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Теперь на пути к славе можно разблокировать квесты!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,"Отправляйся на путь к славе, чтобы разблокировать квесты."
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,КУПИТЬ УРОВЕНЬ
TID_QUESTS_TITLE,КВЕСТЫ
TID_QUEST_DESC_1,ВЫИГРАЙ БОЙ <AMOUNT> Р.
TID_QUEST_DESC_2,ПОБЕДИ ВРАГА <AMOUNT> Р.
TID_QUEST_DESC_3,НАНЕСИ <AMOUNT> ЕД. УРОНА
TID_QUEST_DESC_4,ИСЦЕЛИ <AMOUNT> ЕД. ЗДОРОВЬЯ
TID_QUEST_DESC_5,ВОСПОЛЬЗУЙСЯ КНОПКОЙ «ИГРАТЬ СНОВА» <NUM> Р.
TID_QUEST_DESC_6,СЫГРАЙ В КОМАНДЕ <NUM> Р.
TID_QUEST_DESC_7_MODE_0,УДЕРЖИВАЙ НЕ МЕНЕЕ <LIMIT> КРИСТАЛЛОВ В ТЕЧЕНИЕ <AMOUNT> С.
TID_QUEST_DESC_7_MODE_2,НАНЕСИ СЕЙФУ <AMOUNT> ОЧК. УРОНА
TID_QUEST_DESC_7_MODE_3,"ЗАКОНЧИ БОЙ <AMOUNT> Р., ИМЕЯ НЕ МЕНЕЕ <LIMIT> ЗВЁЗД."
