"Name","FileName","BlueExportName","RedExportName","Layer","Effect","LoopingEffect","Scale","TimeMs","Radius","Damage","CustomValue","Type","BulletExplosionBullet","BulletExplosionBulletDistance","DestroysEnvironment","PushbackStrength","PushbackStrengthSelf","FreezeStrength"
"string","string","string","string","string","string","string","int","int","int","int","int","string","string","int","boolean","int","int","int"
"RocketGirlExplosion","sc/effects.sc","range400_blue","range400_red","Ground","explosion_rocket_rose",,70,700,300,,,"Damage",,,,,,
"RocketGirlUltiExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_rocket_rose_ulti",,100,700,450,,,"Damage",,,"true",,,
"CactusExplosion","sc/effects.sc","range400_blue","range400_red","Ground","explosion_cactus",,70,700,300,,,"Damage",,,,,,
"CactusSpikeExplosion","sc/effects.sc",,,"Ground",,,100,700,300,,6,"BulletExplosion","CactusSpike",15,,,,
"CactusUltiExplosion","sc/effects.sc","range400_blue","range400_red","Ground","explosion_cactus_ulti",,170,4500,800,800,,"Dot",,,,,,350
"BarkeepExplosion","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_red","Ground","explosion_barkeep",,55,1900,600,,,"Dot",,,,,,
"BarkeepUltiExplosion","sc/effects.sc","toxic_area_effect_ulti_blue","toxic_area_effect_red","Ground","explosion_barkeep_ulti",,55,3900,600,,,"Dot",,,,,,
"ExplodingBarrelExplosion","sc/effects.sc","gen_explosion_ring1_area","gen_explosion_ring1_area","Ground","explosion_600",,100,700,600,2000,,"Damage",,,"true",120,,
"PoisonBarrelExplosion","sc/effects.sc","toxic_area_effect_blue","toxic_area_effect_red","Ground","explosion_800",,100,10500,800,400,,"Dot",,,,,,
"TntDudeExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_tnt_dude",,100,700,450,,,"Damage",,,,,150,
"TntDudeUltiExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_tnt_dude_ulti",,165,700,800,,,"Damage",,,"true",150,250,
"BowDudeExplosion","sc/effects.sc","range400_blue","range400_red","Ground","explosion_bow_dude",,70,700,300,,,"Damage",,,,,,
"CrowUltiKnifes","sc/effects.sc",,,"Ground",,,100,700,300,,14,"BulletExplosion","CrowUltiProjectile",22,,,,
"HealingStationHeal","sc/effects.sc","heal_area_effect_blue","heal_area_effect_red","Ground",,"heal_area_fx",125,150000,1000,-400,,"Hot",,,,,,
"Heal","sc/effects.sc","heal_area_effect_blue","heal_area_effect_red","Ground",,,100,700,800,-560,,"Heal",,,,,,
"MineExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_600",,133,700,600,99,,"Damage",,,"true",70,,
"SniperBombExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_600",,133,700,600,99,,"Damage",,,"true",70,,
"BlackHoleUltiExplosion","sc/effects.sc","range450_blue","range450_red","Ground","blackhole_ulti_damage",,100,1400,450,,700,"DelayedDamage",,,"true",50,,
"BlackHoleUltiSuck","sc/effects.sc","range450_blue","range450_red","Ground","blackhole_ulti_suck",,235,700,1200,,,"Pushback",,,,-150,,
"ArtilleryDudeTurretExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_artillery_dude_turret",,100,700,450,,,"Damage",,,,,,
"SelfDestructExplosion","sc/effects.sc","range450_blue","range450_red","Ground","explosion_tnt_dude",,100,700,450,,,"Damage",,,,,,
"HealWithAutoAttack","sc/effects.sc","heal_area_effect_blue","heal_area_effect_red","Ground",,"heal_area_fx",125,250,1000,-320,,"Heal",,,,,,
"BurnMainAttack","sc/effects.sc","brock_ground_fire","brock_ground_fire_red","Ground","burning_ground_brock",,28,2900,300,,,"Dot",,,,,,
