"Name","Disabled","ItemName","WeaponSkill","UltimateSkill","Pet","Speed","Hitpoints","MeleeAutoAttackSplashDamage","AutoAttackSpeedMs","AutoAttackDamage","AutoAttackBulletsPerShot","AutoAttackMode","AutoAttackProjectileSpread","AutoAttackProjectile","AutoAttackRange","RegeneratePerSecond","UltiChargeMul","UltiChargeUltiMul","Type","DamagerPercentFromAliens","DefaultSkin","FileName","BlueExportName","RedExportName","ShadowExportName","AreaEffect","DeathAreaEffect","TakeDamageEffect","DeathEffect","MoveEffect","ReloadEffect","OutOfAmmoEffect","DryFireEffect","SpawnEffect","MeleeHitEffect","AutoAttackStartEffect","BoneEffect1","BoneEffect2","LoopedEffect","LoopedEffect2","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","AttackStartEffectOffset","TwoWeaponAttackEffectOffset","ShadowScaleX","ShadowScaleY","ShadowX","ShadowY","ShadowSkew","Scale","HeroScreenScale","EndScreenScale","HeroScreenXOffset","HeroScreenZOffset","CollisionRadius","HealthBar","HealthBarOffsetY","FlyingHeight","ProjectileStartZ","StopMovementAfterMS","WaitMS","TID","ForceAttackAnimationToEnd","IconSWF","IconExportName","RecoilAmount","Homeworld","FootstepClip","DifferentFootstepOffset","FootstepIntervalMS","AttackingWeaponScale","UseThrowingLeftWeaponBoneScaling","UseThrowingRightWeaponBoneScaling","ShowEnemyInMenus","CommonSetUpgradeBonus","RareSetUpgradeBonus","SuperRareSetUpgradeBonus"
"string","boolean","string","string","string","string","int","int","boolean","int","int","int","string","int","string","int","int","int","int","String","int","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","int","int","int","int","int","int","int","int","int","int","int","int","int","string","int","int","int","int","int","string","boolean","string","string","int","string","string","int","int","int","boolean","boolean","boolean","int","int","int"
"ShotgunGirl",,"shelly","ShotgunGirlWeapon","ShotgunGirlUlti",,650,3200,,,,,,,,12,,120,120,"Hero",,"BanditGirlDefault",,,,,,,"takedamage_gen","death_shotgun_girl","Gen_move_fx","reload_shotgun_girl","No_ammo_shotgungirl","Dry_fire_shotgungirl",,,,,,,,"Shelly_Kill","Shelly_Lead","Shelly_Start","Utilshotgun_Vo","ShellyTakedamge_Vo","Shelly_Die",,30,,80,80,,,35,110,95,80,,,120,"Medium",-50,,350,,,"TID_SHOTGUN_GIRL",,"sc/ui.sc","hero_icon_shelly",1000,"human","footstep",25,250,200,,,,1,3,2
"Gunslinger",,"colt","GunslingerWeapon","GunslingerUlti",,650,2800,,,,,,,,12,,120,100,"Hero",,"GunSlingerDefault",,,,,,,"takedamage_gen","death_gunslinger","Gen_move_fx","reload_gunslinger","No_ammo_shotgungirl",,,,,,,,,"Hotshot_Kill","Hotshot_Lead","Hotshot_Start","Hotshot_Ulti","Hotshot_Takedamge_Vo","Hotshot_Die",,35,50,80,80,,,35,110,95,80,,,120,"Medium",-45,,350,,,"TID_GUNSLINGER",,"sc/ui.sc","hero_icon_colt",300,"human","footstep",25,300,160,,,,2,3,1
"BullDude",,"bull","BullDudeWeapon","BullDudeUlti",,650,4800,,,,,,,,12,,120,120,"Hero",,"BullGuyDefault",,,,,,,"takedamage_gen","death_bull_dude","Gen_move_fx","reload_bull_dude","No_ammo_shotgungirl",,,,,,,,,"Bull_kill","Bull_lead","Bull_start","Bull_ulti","Bull_takedamage_vo","Bull_die",,40,,80,80,,,35,110,93,80,,,145,"Medium",-55,,350,,,"TID_BULL_DUDE",,"sc/ui.sc","hero_icon_bull",600,"human","footstep",40,300,130,,,,1,2,3
"RocketGirl",,"brock","RocketGirlWeapon","RocketGirlUlti",,650,2800,,,,,,,,12,,120,80,"Hero",,"RocketGirlDefault",,,,,,,"takedamage_gen","death_rocket_girl","Gen_move_fx","reload_rocket_girl","No_ammo_shotgungirl","Brock_dryfire",,,,,,,,,,,,,,,35,,80,80,,,35,110,95,80,,,120,"Medium",-50,,350,,,"TID_ROCKET_GIRL",,"sc/ui.sc","hero_icon_brock",300,"human","footstep",25,300,100,,,"true",2,3,1
"TrickshotDude",,"ricochet","TrickshotDudeWeapon","TrickshotDudeUlti",,650,2800,,,,,,,,12,,120,120,"Hero",,"TrickshotDefault",,,,,,,"takedamage_gen","death_trickshot_dude","Gen_move_fx","reload_trickshot_dude","No_ammo_shotgungirl",,,,,,,,,"Rick_kill","Rick_lead","Rick_start","Rick_ulti","Rick_hurt","Rick_die",,70,,80,80,,,35,110,95,80,,,120,"Medium",-45,,350,,,"TID_TRICKSHOT_DUDE",,"sc/ui.sc","hero_icon_rick",300,"human","footstep",25,300,160,,,,2,3,1
"Cactus",,"spike","CactusWeapon","CactusUlti",,650,2400,,,,,,,,12,,120,120,"Hero",,"CactusDefault",,,,,,,"takedamage_gen","death_cactus","Gen_move_fx","reload_cactus","No_ammo_shotgungirl",,,,,,,,,,,,,,,,35,,80,80,,,35,110,,80,,,120,"Medium",-30,,350,,,"TID_CACTUS",,"sc/ui.sc","hero_icon_spike",0,"human","footstep",40,300,100,"true","true",,2,1,3
"Barkeep",,"barley","BarkeepWeapon","BarkeepUlti",,650,2400,,,,,,,,12,,120,80,"Hero",,"BarkeepDefault",,,,,,,"takedamage_gen","death_barkeep","Gen_move_fx","reload_barkeep","No_ammo_shotgungirl","dry_fire_barkeep",,,,,,,,"Barley_Kill","Barley_Lead","Barley_Start","Barley_Ulti","Barley_Hurt","Barley_Die","Barley_throw",,,80,80,,,35,110,95,80,,,120,"Medium",-40,,350,,,"TID_BARKEEP",,"sc/ui.sc","hero_icon_barley",0,"human","footstep",25,300,100,"true","true",,2,3,1
"Mechanic",,"jessie","MechanicWeapon","MechanicUlti",,650,2800,,,,,,,,12,,100,100,"Hero",,"MechanicDefault",,,,,,,"takedamage_gen","death_mechanic","Gen_move_fx","reload_mechanic","No_ammo_shotgungirl","dry_fire_mechanic",,,,,,,,"Jess_kill","Jess_lead","Jess_start","Jess_ulti","Jess_takedamage","Jess_die",,35,,80,80,,,35,110,100,80,-280,,120,"Medium",-45,,350,,,"TID_MECHANIC",,"sc/ui.sc","hero_icon_jess",500,"human","footstep",20,200,160,,,,3,2,1
"Shaman",,"nita","ShamanWeapon","ShamanUlti",,650,3200,,,,,,,,12,,90,90,"Hero",,"ShamanDefault",,,,,,,"takedamage_gen","death_shaman","Gen_move_fx",,"No_ammo_shotgungirl",,,,,,,,,"Nita_kill","Nita_lead","Nita_start","Nita_ulti","Nita_hurt","Nita_death",,35,,80,80,,,35,110,100,80,-325,,120,"Medium",-45,,350,,,"TID_SHAMAN",,"sc/ui.sc","hero_icon_nita",1000,"human","footstep",25,250,160,,,,3,1,2
