"Name","Speed","FileName","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionTimeMs","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","Radius","Indirect","ConstantFlyTime","TriggerWithDelayMs","BouncePercent","Gravity","EarlyTicks","HideTime","Scale","RandomStartFrame","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnCharacter","SpawnItem","TrailEffect","ShotByHero","IsBeam","IsBouncing","Rendering","PiercesCharacters","PiercesEnvironment","PiercesEnvironmentLikeButter","PushbackStrength","ChainsToEnemies","ChainBullets","ChainSpread","ChainTravelDistance","ChainBullet","DamagePercentStart","DamagePercentEnd","DamagesConstantly","FreezeStrength","StunLengthMS","ScaleStart","ScaleEnd","AttractsPet","LifeStealPercent","PassesEnvironment","PoisonDamagePercent","SameProjectileCanNotDamageMS","HealOwnPercent","CanGrowStronger"
"string","int","string","string","string","string","string","string","string","string","int","string","string","string","int","boolean","boolean","int","int","int","int","int","int","int","string","string","string","string","string","boolean","boolean","boolean","string","boolean","boolean","boolean","int","int","int","int","int","string","int","int","boolean","int","int","int","int","boolean","int","boolean","int","int","int","boolean"
"ShotgunGirlProjectile",2700,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ShotgunGirlUltiProjectile",3800,"sc/effects.sc","shotgun_shell_ulti_blue","shotgun_shell_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",50,,,,,0,2,20,100,,,,,,"Smoke_Trail","true",,,,"true","true",,70,,,,,,,,,,,,,,,,,,,
"GunslingerProjectile",3500,"sc/effects.sc","Bullet_blue","Bullet_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"Gen_Trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"GunslingerUltiProjectile",4500,"sc/effects.sc","Bullet_blue_ulti","Bullet_blue_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"Gen_Trail_small","true",,,,"true","true",,,,,,,,,,,,,,,,,,,,,
"BullDudeProjectile",2625,"sc/effects.sc","shotgun_shell_blue","shotgun_shell_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,2,20,100,,,,,,"shotgun_trail_small","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlProjectile",2800,"sc/effects.sc","rocket1_projectile_blue","rocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,50,,,,,0,1,20,100,,"RocketGirlExplosion",,,,"Rocket_Trail","true",,,"Use360Frames",,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlUltiProjectile",800,"sc/effects.sc","ballisticrocket1_projectile_blue","ballisticrocket1_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true","true",,,80,1,20,100,,"RocketGirlUltiExplosion",,,,"Rocket_Trail","true",,,"UseZFrames",,,,,,,,,,,,,,,,,,,,,,,
"TrickshotDudeProjectile",3200,"sc/effects.sc","Bouncy_bullet_blue","Bouncy_bullet_red","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",0,,,,,0,3,20,100,,,,,,"Gen_Trail_small","true",,"true",,,,,,,,,,,,,,,,,,,,,,,,"true"
"TrickshotDudeUltiProjectile",4500,"sc/effects.sc","Bouncy_bullet_blue_ulti","Bouncy_bullet_red_ulti","projectile_shadow",,,,,,"Trickshot_hit_env","Gen_hit","no_hit",0,,,,,0,3,20,100,,,,,,"Plasma_Trail","true",,"true",,"true",,,,,,,,,,,,,,,,,,,,,,"true"
"CactusProjectile",2000,"sc/effects.sc","cactus_projectile","cactus_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,100,,,,,0,1,20,100,,"CactusExplosion","CactusSpikeExplosion",,,"Gen_Trail_dust","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,
"CactusUltiProjectile",1600,"sc/effects.sc","cactus_ulti_projectile","cactus_ulti_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,160,1,20,100,,"CactusUltiExplosion",,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"CactusSpike",3000,"sc/effects.sc","cactus_projectile_spike","cactus_projectile_spike_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit","no_hit",0,,,,,0,1,20,100,,,,,,"Gen_Trail_dust","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicProjectile1",2400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,2,20,100,,,,,,"electricity_Trail","true",,,,,,,,1,,,20,"MechanicProjectile2",,,,,,,,,,,,,,
"MechanicProjectile2",1400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,1,20,100,,,,,,"electricity_Trail","true",,,,,,,,1,,,20,"MechanicProjectile3",,,,,,,,,,,,,,
"MechanicProjectile3",1400,"sc/effects.sc","electricity_ball","electricity_ball_red",,"projectile_light","projectile_light_red",,,,"Electricity_hit","Electricity_hit","no_hit",100,,,,,0,1,20,100,,,,,,"electricity_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicUltiProjectile",1100,"sc/effects.sc","turret_projectile","turret_projectile","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanUltiProjectile",1100,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,120,1,20,100,,,,,,"magic_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepProjectile",1400,"sc/effects.sc","bottle_blue","bottle_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,145,1,20,100,1,"BarkeepExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepUltiProjectile",1400,"sc/effects.sc","bottle_blue_ulti","bottle_red_ulti","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,,,145,1,20,100,1,"BarkeepUltiExplosion",,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,,,,,,,
"TntDudeProjectile",1300,"sc/effects.sc","basic_grenade_projectile","dynamite_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1400,35,200,1,20,100,1,"TntDudeExplosion",,,,"Gen_Trail","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,
"TntDudeUltiProjectile",1300,"sc/effects.sc","grenadeer_ulti","dynamite_bundle_ulti_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,1400,35,200,1,20,100,,"TntDudeUltiExplosion",,,,"Plasma_Trail","true",,,"DoNotRotateClip",,,,,,,,,,,,,,,,,,,,,,,
"BoneThrowerProjectile",1200,"sc/effects.sc","basic_grenade_projectile","basic_grenade_projectile_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,4000,35,130,1,20,100,,,,,,"Gen_Trail","true",,,,,,,,,,,,,,,,,,,,"true",,,,,,
"BoneThrowerUltiProjectile",1200,"sc/effects.sc","projectile_plasmaball","projectile_plasmaball_red","projectile_shadow",,,,,,"Gen_hit","Gen_hit",,0,"true",,15000,35,130,1,20,100,,,,,,"Plasma_Trail","true",,,,,,,,,,,,,,,,,,,,"true",,,,,,
