"Name","BehaviorType","CanMoveAtSameTime","Targeted","Cooldown","ActiveTime","CastingTime","CastingRange","MaxCastingRange","RechargeTime","MaxCharge","Damage","MsBetweenAttacks","Spread","AttackPattern","NumBulletsInOneAttack","TwoGuns","ExecuteFirstAttackImmediately","ChargePushback","ChargeSpeed","ChargeType","NumSpawns","MaxSpawns","AlwaysCastAtMaxRange","Projectile","SummonedCharacter","AreaEffectObject","AreaEffectObject2","SpawnedItem","IconSWF","IconExportName","LargeIconSWF","LargeIconExportName","ButtonSWF","ButtonExportName","AttackEffect","UseEffect","EndEffect","LoopEffect","ChargeMoveSound"
"string","String","boolean","boolean","int","int","int","int","int","int","int","int","int","int","int","int","boolean","boolean","int","int","int","int","int","boolean","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"ShotgunGirlWeapon","Attack","true","true",250,150,,20,,1500,3,320,100,60,,5,,"true",,,,,,,"ShotgunGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","shotgun_girl_attack",,,,
"ShotgunGirlUlti","Attack","true","true",250,150,,23,,,,320,100,100,,9,,"true",,,,,,,"ShotgunGirlUltiProjectile",,,,,,"skillicon_megablast",,,"sc/ui.sc","rapid_fire_button","shotgun_girl_attack_ulti",,,,
"GunslingerWeapon","Attack","true","true",50,650,,32,,1250,3,320,100,0,,1,"true","true",,,,,,,"GunslingerProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","gunslinger_attack",,,,
"GunslingerUlti","Attack","true","true",50,1250,,40,,,,320,100,0,,1,"true","true",,,,,,,"GunslingerUltiProjectile",,,,,,"skillicon_bullet_storm",,,"sc/ui.sc","rapid_fire_button","gunslinger_attack_ulti",,,,
"BullDudeWeapon","Attack","true","true",250,150,,16,,1600,3,400,100,90,,5,,"true",,,,,,,"BullDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","bull_dude_attack",,,,
"BullDudeUlti","Charge",,"true",50,,,33,,,,800,,,,,,,130,1800,1,,,"true",,,,,,,"skillicon_powercharge",,,"sc/ui.sc","charge_button",,"bull_dude_ulti",,"bull_dude_ulti_loop","Rhinostep"
"RocketGirlWeapon","Attack","true","true",250,150,,36,,2100,3,1040,100,,,1,,"true",,,,,,,"RocketGirlProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","rocket_girl_attack",,,,
"RocketGirlUlti","Attack","true","true",250,1850,,25,,,,1040,200,210,,1,,"true",,,,,,,"RocketGirlUltiProjectile",,,,,,"skillicon_bigger_granade",,,"sc/ui.sc","plasma_bomb_button","rocket_girl_attack_ulti",,,,
"TrickshotDudeWeapon","Attack","true","true",50,800,,40,,1000,3,320,150,15,1,1,,"true",,,,,,,"TrickshotDudeProjectile",,,,,,,,,"sc/ui.sc","rapid_fire_button","trickshot_dude_attack",,,,
