"Name","Character","PetSkin","CostGems","TID","Model","BlueTexture","RedTexture","BlueSpecular","RedSpecular","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyAnimLoop","SadAnim","SadAnimLoop","SignatureAnim","UiPoseAnim","EnterAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","IdleFace","WalkFace","HappyFace","SadFace","SignatureFace","UiPoseFace","HeadRotationIngame","HatScaleIngame"
"String","String","String","int","string","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","String","int","int"
"BanditGirlDefault","ShotgunGirl",,,"TID_SHOTGUN_DEFAULT_SKIN","shelly_geo.scw:body+gun+head","shelly_tex.pvr","shelly_tex.pvr","shelly_tex.pvr","shelly_tex.pvr","ShellyIdle","ShellyWalk","ShellyPrimary","ShellySecondary","ShellyRecoil",,"ShellyRecoil",,"ShellyReload","ShellyPushback","ShellyWin","ShellyWinloop","ShellyLose","ShellyLoseloop","ShellyWin","ShellyUipose","ShellyIdle",,,,"ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace","ShellyFace",0,100
"GunSlingerDefault","Gunslinger",,,"TID_GUNSLINGER_DEFAULT_SKIN","gunslinger_geo.scw:male_eyebrows003+male_gunslingerbody1+male_guns1+male_gunslingerhead1","gunslinger_color.pvr","gunslinger_color.pvr","gunslinger_color.pvr","gunslinger_color.pvr","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerUipose","GunslingerIdle",,,,"ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace",0,100
"GunSlingerRockstar","Gunslinger",,20,"TID_GUNSLINGER_ROCKSTAR_SKIN","gunslinger_geo.scw:male_eyebrows003+male_gunslingerbody1+male_guns1+male_gunslingerhead1","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","gunslingerRockstar_d_01.pvr","GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerWin","GunslingerUipose","GunslingerIdle",,,,"ColtFace","ColtFace","ColtFace","ColtFace","ColtFace","ColtFace",0,100
"BullGuyDefault","BullDude",,,"TID_BULL_DEFAULT_SKIN","bull_rock_geo.scw:body+gun+head","bull_rock_tex.pvr","bull_rock_tex.pvr","bull_rock_tex.pvr","bull_rock_tex.pvr","BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullRockWin","BullRockWinloop","BullRockLose","BullRockLoseloop","BullRockWin","BullRockUipose","BullRockIdle",,,,"BullFace","BullFace","BullFace","BullFace","BullFace","BullFace",0,100
"RocketGirlDefault","RocketGirl",,,"TID_ROCKET_DEFAULT_SKIN","brock_geo.scw:male_eyebrows004+brock_body1+brock_weapon1+brock_head1+brock_glasses1+brock_hat1","brock_d_01_blue.pvr","brock_d_01.pvr","brock_d_01_blue.pvr","brock_d_01.pvr","BrockIdle","BrockWalk","GunslingerPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockIdle","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockWin","BrockUipose","BrockIdle",,,,,,,,,,0,100
"RocketGirlBeach","RocketGirl",,20,"TID_ROCKET_BEACH_SKIN","brock_geo.scw:male_eyebrows004+brock_bodynoboots+brock_weapon1+brock_head1+brock_glasses1+brock_hat1","brockBeach_d_01_blue.pvr","brockBeach_d_01.pvr","brockBeach_d_01_blue.pvr","brockBeach_d_01.pvr","BrockIdle","BrockWalk","GunslingerPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockIdle","BrockWin","BrockWinloop","BrockLose","BrockLoseloop","BrockWin","BrockUipose","BrockIdle",,,,,,,,,,0,100
"TntGuyDefault","TntDude",,,"TID_TNT_DEFAULT_SKIN","tntguy_geo.scw:male_eyebrows006+tnt_barrel1+tnt_body1+tnt_boots1+tnt_dynamite1+tnt_dynamite1_02+tnt_gloves1+tnt_hat1+tnt_head1","tnt_d_01_blue.pvr","tnt_d_01.pvr","tnt_d_01_blue.pvr","tnt_d_01.pvr","TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyWin","TntguyUipose","TntguyIdle",,,,,,,,,,0,100
"LuchadorDefault","Luchador",,,"TID_LUCHADOR_DEFAULT_SKIN","louchador_geo.scw:body+buckle1","louchador_tex.pvr","louchador_tex.pvr","louchador_tex.pvr","louchador_tex.pvr","LouchadorIdle","LouchadorWalk","LouchadorPrimary","LouchadorSecondary","LouchadorRecoil","LouchadorRecoil2","LouchadorRecoil",,,"LouchadorPushback","LouchadorWin","LouchadorWinloop","LouchadorLose","LouchadorLoseloop","LouchadorWin","LouchadorUipose","LouchadorIdle",,,,,,,,,,0,100
"TurretDefault","MechanicTurret",,,,"turret.scw","turret_diffuse.pvr","turret_diffuse.pvr","turret_diffuse.pvr","turret_diffuse.pvr","Turret","Turret","Turret","Turret","Turret",,"Turret",,"Turret",,,"Turret",,"Turret",,"Turret","Turret",,,,,,,,,,0,100
