"Name","Disabled","DisabledCN","FileName","ExportName","Character","Skin","Rarity","EffectColorR","EffectColorG","EffectColorB","FlipSprayForEnemies","LockedForChronos","SprayBundles","IsDefaultBattleSpray","Texture","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","UseShineVFX","ExtraCatalogCampaign","HideFromCatalogMainCategory"
"string","boolean","boolean","string","string","string","string","String","int","int","int","boolean","boolean","String","boolean","string","int","int","boolean","int","string","boolean","string","boolean"
"spray_allfine",,,"sc/ui.sc","spray_allfine",,,"COMMON",255,255,255,"TRUE",,,,"spray_allfine.png",1000,29,,,,"TRUE",,
"spray_angrycloud",,,"sc/ui.sc","spray_angrycloud",,,"COMMON",197,230,255,"TRUE",,,,"spray_angrycloud.png",1000,29,,,,,,
"spray_badgem",,,"sc/ui.sc","spray_badgem",,,"COMMON",95,219,26,"TRUE",,,,"spray_badgem.png",1000,29,,,,"TRUE",,
"spray_banana",,,"sc/ui.sc","spray_banana",,,"COMMON",255,234,0,"TRUE",,,,"spray_banana.png",1000,29,,,,,,
"spray_check",,,"sc/ui.sc","spray_check",,,"DEFAULT",14,255,14,"TRUE",,,,"spray_check.png",,,,,,,,
"spray_cross",,,"sc/ui.sc","spray_cross",,,"DEFAULT",255,53,44,"TRUE",,,,"spray_cross.png",,,,,,,,
"spray_crymask",,,"sc/ui.sc","spray_crymask",,,"COMMON",252,188,33,"TRUE",,,,"spray_crymask.png",1000,29,,,,"TRUE",,
"spray_drop",,,"sc/ui.sc","spray_drop",,,"COMMON",0,237,255,"TRUE",,,,"spray_drop.png",1000,29,,,,,,
"spray_footstep",,,"sc/ui.sc","spray_footstep",,,"COMMON",0,0,0,"TRUE",,,,"spray_footstep.png",1000,29,,,,,,
"spray_heartarrow",,,"sc/ui.sc","spray_heartarrow",,,"COMMON",255,49,133,"TRUE",,,,"spray_heartarrow.png",1000,29,,,,,,
"spray_hole",,,"sc/ui.sc","spray_hole",,,"COMMON",0,0,0,"TRUE",,,,"spray_hole.png",1000,29,,,,,,
"spray_salt",,,"sc/ui.sc","spray_salt",,,"COMMON",93,234,255,"TRUE",,,,"spray_salt.png",1000,29,,,,,,
"spray_skullchamp",,,"sc/ui.sc","spray_skullchamp",,,"COMMON",0,103,57,"TRUE",,,,"spray_skullchamp.png",1000,29,,,,,,
"spray_skullsign",,,"sc/ui.sc","spray_skullsign",,,"COMMON",251,205,16,"TRUE",,,,"spray_skullsign.png",1000,29,,,,,,
"spray_skullwings",,,"sc/ui.sc","spray_skullwings",,,"COMMON",255,255,255,"TRUE",,,,"spray_skullwings.png",1000,29,,,,,,
"spray_starrpark",,,"sc/ui.sc","spray_starrpark",,,"DEFAULT",252,224,91,"TRUE",,,,"spray_starrpark.png",,,,,,,,
"spray_thumbsup",,,"sc/ui.sc","spray_thumbsup",,,"COMMON",255,255,255,"TRUE",,,,"spray_thumbsup.png",1000,29,,,,,,
"spray_8bit_1",,,"sc/ui.sc","spray_8bit_1","Arcade",,"COMMON",0,104,224,"TRUE",,,,"spray_8bit.png",750,19,,,,,,
"spray_bo_1",,,"sc/ui.sc","spray_bo_1","BowDude",,"COMMON",183,56,21,"TRUE",,,,"spray_bo.png",750,19,,,,,,
"spray_brock_1",,,"sc/ui.sc","spray_brock_1","RocketGirl",,"COMMON",135,31,145,"TRUE",,,,"spray_brock.png",750,19,,,,,,
"spray_bull_1",,,"sc/ui.sc","spray_bull_1","BullDude",,"COMMON",249,214,157,"TRUE",,,,"spray_bull.png",750,19,,,,,,
"spray_colt_1",,,"sc/ui.sc","spray_colt_1","Gunslinger",,"COMMON",82,117,214,"TRUE",,,,"spray_colt.png",750,19,,,,,,
"spray_dynamike_1",,,"sc/ui.sc","spray_dynamike_1","TntDude",,"COMMON",233,3,21,"TRUE",,,,"spray_dynamike.png",750,19,,,,,,
"spray_emz_1",,,"sc/ui.sc","spray_emz_1","Mummy",,"COMMON",19,244,189,"TRUE",,,,"spray_emz.png",750,19,,,,,,
"spray_jessie_1",,,"sc/ui.sc","spray_jessie_1","Mechanic",,"COMMON",92,255,255,"TRUE",,,,"spray_jessie.png",750,19,,,,,,
"spray_nita_1",,,"sc/ui.sc","spray_nita_1","Shaman",,"COMMON",255,57,83,"TRUE",,,,"spray_nita.png",750,19,,,,,,
"spray_shelly_1",,,"sc/ui.sc","spray_shelly_1","ShotgunGirl",,"COMMON",255,221,195,"TRUE",,,,"spray_shelly.png",750,19,,,,,,
"spray_stu_1",,,"sc/ui.sc","spray_stu_1","Roller",,"COMMON",33,53,247,"TRUE",,,,"spray_stu.png",750,19,,,,,,
"spray_tick_1",,,"sc/ui.sc","spray_tick_1","ClusterBombDude",,"COMMON",253,237,83,"TRUE",,,,"spray_tick.png",750,19,,,,,,
"spray_mrp_goldenweek",,,"sc/ui.sc","spray_mrp_goldenweek","SpawnerDude","SpawnerDudeDaruma","COMMON",244,28,58,"TRUE",,,,"spray_mrp_goldenweek.png",750,19,,,,,,
"spray_tara_ramadan",,,"sc/ui.sc","spray_tara_ramadan","BlackHole","BlackHoleDevious","COMMON",247,205,18,"TRUE",,,,"spray_tara_ramadan.png",750,19,,,,,,
"spray_crashdummy",,,"sc/ui.sc","spray_crashdummy",,,"COLLECTORS",255,234,0,"TRUE",,,,"spray_crashdummy.png",,,,,,,,
"spray_stuntshow_chevrons",,,"sc/ui.sc","spray_stuntshow_chevrons",,,"COLLECTORS",251,205,16,"TRUE",,,,"spray_stuntshow_chevrons.png",,,,,,,,
"spray_stuntshow_wheel",,,"sc/ui.sc","spray_stuntshow_wheel",,,"COLLECTORS",82,117,214,"TRUE",,,,"spray_stuntshow_wheel.png",,,,,,,,
"spray_tick_bt21",,"TRUE","sc/ui.sc","spray_tick_bt21","ClusterBombDude","ClusterBombDudeShooky","COMMON",253,237,83,"TRUE",,,,"spray_tick_bt21.png",,19,,,,,,
"spray_sandy_bt21",,"TRUE","sc/ui.sc","spray_sandy_bt21","Sandstorm","SandstormKoya","COMMON",0,150,217,"TRUE",,,,"spray_sandy_bt21.png",,19,,,,,,
"spray_ruffs_bt21",,"TRUE","sc/ui.sc","spray_ruffs_bt21","Ruffs","RuffsChimmy","COMMON",255,215,54,"TRUE",,,,"spray_ruffs_bt21.png",,19,,,,,,
"spray_bibi_bt21",,"TRUE","sc/ui.sc","spray_bibi_bt21","Baseball","BaseballRj","COMMON",255,255,255,"TRUE",,,,"spray_bibi_bt21.png",,19,,,,,,
"spray_jacky_bt21",,"TRUE","sc/ui.sc","spray_jacky_bt21","Driller","DrillerCooky","COMMON",254,68,169,"TRUE",,,,"spray_jacky_bt21.png",,19,,,,,,
"spray_bull_bt21",,"TRUE","sc/ui.sc","spray_bull_bt21","BullDude","BullDudeMang","COMMON",97,177,255,"TRUE",,,,"spray_bull_bt21.png",,19,,,,,,
"spray_edgar_bt21",,"TRUE","sc/ui.sc","spray_edgar_bt21","Enrager","EnragerTata","COMMON",82,133,234,"TRUE",,,,"spray_edgar_bt21.png",,19,,,,,,
"spray_elprimo_1",,,"sc/ui.sc","spray_elprimo_1","Luchador",,"COMMON",248,133,70,"TRUE",,,,"spray_elprimo.png",750,19,,,,,,
