"Name","NameTID","InfoTID","BgItemName","SkinBuyRequiresExclusiveOption","EmoteBundleName","CampaignIconExportName","DisabledFromCatalog","ShowInCatalogCollectionsSection","CatalogSortingOrder","BundledUnderCatalogCategory","CatalogNameOverrideTID","CatalogDescriptionTID"
"String","String","String","String","boolean","String","String","boolean","boolean","int","String","String","String"
"BRAWLIDAYS","TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE",,"bg_campaign_1",,,"icon_skins_brawlmas",,,,,"TID_CATALOG_NAME_BRAWLIDAYS","TID_CATALOG_DESC_BRAWLIDAYS"
"LNY_2019","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019",,"bg_campaign_5",,,"icon_skins_lny20",,,,,"TID_CATALOG_NAME_LNY",
"BRAWLOWEEN2020","TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE",,"bg_campaign_3",,,"icon_skins_brawloween",,,,"BRAWLOWEEN",,
"LINE","TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE",,"bg_campaign_4",,,"icon_skins_line",,,,,,
"LNY_2020","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020",,"bg_campaign_5",,,"icon_skins_lny20",,,,"LNY_2019",,
"PSG","TID_SKIN_INFO_CAMPAIGN_6_NOT_AVAILABLE",,"bg_campaign_6",,,"icon_skins_psg",,,,,,
"SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_SC_MAKE","TID_SKIN_INFO_CAMPAIGN_7_NOT_AVAILABLE","bg_campaign_7",,,"icon_skins_make",,,,,,
"ARCHIVING","TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE",,"bg_campaign_8",,,"icon_skins_archive",,,,,,
"ARCHIVED","TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE",,"bg_campaign_9",,,"icon_skins_archive",,,,,,
"SC10","TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE",,"bg_campaign_10",,,"icon_skins_sc10y",,,,,,
"BRAWLPASS","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11",,,"icon_skins_brawl_pass",,,,,,"TID_CATALOG_DESC_BRAWLPASS"
"CHINA","TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE",,"bg_campaign_12",,,"icon_skins_prereg_cn",,,,,,
"SILVER","TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE",,"bg_campaign_13",,,"icon_skins_silver",,"TRUE",,,,
"GOLD","TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE",,"bg_campaign_14",,,"icon_skins_gold",,"TRUE",,,,
"WF_2020","TID_SKIN_INFO_CAMPAIGN_15_NOT_AVAILABLE",,"bg_campaign_15",,,"icon_skins_wf",,,,,"TID_CATALOG_NAME_BSC",
"BRAWLIDAYS_2018","TID_SKIN_INFO_CAMPAIGN_BRAWLIDAYS_2018",,"bg_campaign_1",,,"icon_skins_brawlmas",,,,"BRAWLIDAYS",,
"ANNIVERSARY2019","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2019",,"bg_campaign_16",,,"icon_skins_anniversary",,,,,"TID_CATALOG_NAME_ANNIVERSARY",
"ANNIVERSARY2020","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2020",,"bg_campaign_16",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,
"LNY_2021","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2021",,"bg_campaign_5",,,"icon_skins_lny20",,,,"LNY_2019",,
"RANKED","TID_SKIN_INFO_CAMPAIGN_RANKED",,"bg_campaign_ranked","TRUE",,"icon_skins_ranked",,,,,,
"LAML","TID_SKIN_INFO_CAMPAIGN_LAML",,"bg_campaign_laml",,,"icon_skins_laml",,,,,,
"PUNK","TID_SKIN_INFO_CAMPAIGN_PUNK_TITLE",,"bg_campaign_punk",,,"icon_skins_punk",,,,,,
"BRAWLPASS_PUNK","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11",,,"icon_skins_brawl_pass",,,,,,
"C1A","TID_SKIN_INFO_CAMPAIGN_C1A",,"bg_campaign_c1a",,,"icon_skins_mega",,,,,,
"RETRO","TID_SKIN_INFO_CAMPAIGN_RETRO",,"bg_campaign_retro",,,"icon_skins_retro",,,,,,
"CLUBLEAGUE","TID_SKIN_INFO_CLUB_LEAGUE",,"bg_campaign_club_league",,,"icon_skins_club_league",,,,,,
"BRAWLOWEEN","TID_SKIN_INFO_BRAWLOWEEN",,"bg_campaign_3",,,"icon_skins_brawloween",,,-5,,,
"LEGENDARYSET","TID_SKIN_INFO_LEGENDARYSET_SKINS",,"bg_campaign_legendary",,,"icon_skins_legendary",,,,,,
"BRAWLYWOOD","TID_SKIN_INFO_BRAWLYWOOD",,"bg_campaign_brawlywood",,,"icon_skins_brawlywood",,,,,,
"BRAWLPASS_BRAWLYWOOD","TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE",,"bg_campaign_11",,,"icon_skins_brawl_pass",,,,,,
"WF_2021","TID_SKIN_INFO_WF_2021",,"bg_campaign_15",,,"icon_skins_wf",,,,"WF_2020",,
"PIRATES","TID_SKIN_INFO_PIRATES",,"bg_campaign_pirates",,,"icon_skins_pirates",,,,,,
"BRAWLENTINES","TID_SKIN_INFO_BRAWLENTINES",,"bg_campaign_brawlentines",,,"icon_skins_brawlentines",,,,,,
"LNY22","TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2022",,"bg_campaign_5",,"Lny22","icon_skins_lny20",,,,"LNY_2019",,
"ANNIVERSARY2021","TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2021",,"bg_campaign_16",,,"icon_skins_anniversary",,,,"ANNIVERSARY2019",,
"BIODOME","TID_SKIN_INFO_CAMPAIGN_BIODOME",,"bg_campaign_biodome",,"Biodome","icon_skins_biodome",,,,,,
"STUNTSHOW","TID_SKIN_INFO_CAMPAIGN_STUNTSHOW",,"bg_campaign_stuntshow",,"Stuntshow","icon_skins_stuntshow",,,,,,
"GOLDENWEEK","TID_SKIN_INFO_CAMPAIGN_GOLDENWEEK",,"bg_campaign_goldenkawaii",,"Goldenweek","icon_skins_goldenkawaii",,,,,,
"VILLAINS","TID_SKIN_INFO_CAMPAIGN_VILLAINS",,"bg_campaign_villains",,"Villains","icon_skins_villains",,,,,,
"LANTERN","TID_SKIN_INFO_CAMPAIGN_LANTERN",,"bg_campaign_lantern",,,"icon_skins_lantern",,,,,,
"DEEPSEA","TID_SKIN_INFO_DEEPSEA",,"bg_campaign_deepsea",,"Deepsea","icon_skins_deepsea",,,,,,
"BT21","TID_SKIN_INFO_BT21",,"bg_campaign_bt21",,,"icon_skins_bt21",,,,,,
"OUTLAW","TID_SKIN_INFO_OUTLAW",,"bg_campaign_outlaw",,,"icon_skins_outlaw",,,,,,
"MECHA","TID_SKIN_INFO_MECHA",,"bg_campaign_mecha",,,"icon_skins_mecha",,,-30,,,
"GHOST_TRAIN","TID_SKIN_INFO_GHOST_TRAIN",,"bg_campaign_ghosttrain",,,"icon_skins_ghosttrain",,,,,,
"ACTION","TID_SKIN_INFO_ACTION",,"bg_campaign_action",,,"icon_skins_action",,,,,,
"WF_2022","TID_SKIN_INFO_WF_2022",,"bg_campaign_15",,,"icon_skins_wf",,,,"WF_2020",,
"BRAWLOWEEN22","TID_SKIN_INFO_BRAWLOWEEN",,"bg_campaign_3",,,"icon_skins_brawloween",,,,"BRAWLOWEEN",,
"RETRO22","TID_SKIN_INFO_CAMPAIGN_RETRO",,"bg_campaign_retro",,,"icon_skins_retro",,,,,,
"LASTBOX","TID_SKIN_INFO_CAMPAIGN_LASTBOX",,"bg_campaign_lastbox",,,"icon_skins_lastbox",,,,,,
"DARKMAS","TID_SKIN_INFO_DARKMAS",,"bg_campaign_darkmas",,,"icon_skins_darkmas",,,,,,
"CANDYLAND","TID_SKIN_INFO_CANDYLAND",,"bg_campaign_candyland",,,"icon_skins_candyland",,,,,,
