"Name","FameToNext","Group","TID","IconSWF","IconExportName","IconBigExportName","IconStarsExportName"
"string","int","int","String","String","String","String","String"
"Global1",2000,1,"TID_FAME_TIER_GLOBAL1","sc/ui.sc","icon_fame_tier_1_1","fame_big_tier_1","fame_stars_tier_1_1"
"Global2",2000,1,"TID_FAME_TIER_GLOBAL2","sc/ui.sc","icon_fame_tier_1_2","fame_big_tier_1","fame_stars_tier_1_2"
"Global3",2000,1,"TID_FAME_TIER_GLOBAL3","sc/ui.sc","icon_fame_tier_1_3","fame_big_tier_1","fame_stars_tier_1_3"
"Lunar1",3200,2,"TID_FAME_TIER_LUNAR1","sc/ui.sc","icon_fame_tier_2_1","fame_big_tier_2","fame_stars_tier_2_1"
"Lunar2",3200,2,"TID_FAME_TIER_LUNAR2","sc/ui.sc","icon_fame_tier_2_2","fame_big_tier_2","fame_stars_tier_2_2"
"Lunar3",3200,2,"TID_FAME_TIER_LUNAR3","sc/ui.sc","icon_fame_tier_2_3","fame_big_tier_2","fame_stars_tier_2_3"
"Martial1",4500,3,"TID_FAME_TIER_MARTIAL1","sc/ui.sc","icon_fame_tier_3_1","fame_big_tier_3","fame_stars_tier_3_1"
"Martial2",4500,3,"TID_FAME_TIER_MARTIAL2","sc/ui.sc","icon_fame_tier_3_2","fame_big_tier_3","fame_stars_tier_3_2"
"Martial3",4500,3,"TID_FAME_TIER_MARTIAL3","sc/ui.sc","icon_fame_tier_3_3","fame_big_tier_3","fame_stars_tier_3_3"
"Saturnal1",8000,4,"TID_FAME_TIER_SATURNAL1","sc/ui.sc","icon_fame_tier_4_1","fame_big_tier_4","fame_stars_tier_4_1"
"Saturnal2",8000,4,"TID_FAME_TIER_SATURNAL2","sc/ui.sc","icon_fame_tier_4_2","fame_big_tier_4","fame_stars_tier_4_2"
"Saturnal3",8000,4,"TID_FAME_TIER_SATURNAL3","sc/ui.sc","icon_fame_tier_4_3","fame_big_tier_4","fame_stars_tier_4_3"
"Solar1",12000,5,"TID_FAME_TIER_SOLAR1","sc/ui.sc","icon_fame_tier_5_1","fame_big_tier_5","fame_stars_tier_5_1"
"Solar2",12000,5,"TID_FAME_TIER_SOLAR2","sc/ui.sc","icon_fame_tier_5_2","fame_big_tier_5","fame_stars_tier_5_2"
"Solar3",12000,5,"TID_FAME_TIER_SOLAR3","sc/ui.sc","icon_fame_tier_5_3","fame_big_tier_5","fame_stars_tier_5_3"
