"Name","Disabled","DisabledCN","IconSWF","IconExportName","Character","Skin","GiveOnSkinUnlock","IsPicto","BattleCategory","Rarity","EmoteType","SoundEffect","SfxIndex","LockedForChronos","EmoteBundles","IsDefaultBattleEmote","PriceBling","PriceGems","DisableCatalogRelease","CatalogNewDaysAdjustment","NotInCatalogTID","ExtraCatalogCampaign","HideFromCatalogRarityCategory"
"string","boolean","boolean","string","string","string","string","boolean","boolean","String","String","String","String","int","boolean","String","boolean","int","int","boolean","int","string","string","boolean"
"emoji_8bit","","","sc/ui.sc","emoji_8bit","Arcade","","","TRUE","DEFAULT","DEFAULT","DEFAULT","8bit_start_vo","0","","","","","","","","","",""
"emoji_8bit_angry","","","sc/ui.sc","emoji_8bit_angry","Arcade","","","","ANGRY","COMMON","ANGRY","8bit_hurt_vo","0","","","","375","9","","","","",""
"emoji_8bit_gg","","","sc/ui.sc","emoji_8bit_gg","Arcade","","","","SPECIAL","RARE","GG","8bit_kill_vo","1","","","","750","19","","","","",""
"emoji_8bit_sad","","","sc/ui.sc","emoji_8bit_sad","Arcade","","","","SAD","COMMON","SAD","8bit_die_vo","3","","","","375","9","","","","",""
"emoji_8bit_thanks","","","sc/ui.sc","emoji_8bit_thanks","Arcade","","","","SPECIAL","EPIC","THANKS","8bit_kill_vo","2","","","","1500","39","","","","",""
"emoji_angry","","","sc/ui.sc","emoji_angry","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","",""
"emoji_annoyed","","","sc/ui.sc","emoji_annoyed","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","",""
"emoji_barley","","","sc/ui.sc","emoji_barley","Barkeep","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Barley_Die","1","","","","","","","","","",""
"emoji_barley_angry","","","sc/ui.sc","emoji_barley_angry","Barkeep","","","","ANGRY","COMMON","ANGRY","Barley_Hurt","0","","","","375","9","","","","",""
"emoji_barley_gg","","","sc/ui.sc","emoji_barley_gg","Barkeep","","","","SPECIAL","RARE","GG","Barley_Start","0","","","","750","19","","","","",""
"emoji_barley_sad","","","sc/ui.sc","emoji_barley_sad","Barkeep","","","","SAD","COMMON","SAD","Barley_Hurt","2","","","","375","9","","","","",""
"emoji_barley_thanks","","","sc/ui.sc","emoji_barley_thanks","Barkeep","","","","SPECIAL","EPIC","THANKS","Barley_Start","3","","","","1500","39","","","","",""
"emoji_bea","","","sc/ui.sc","emoji_bea","BeeSniper","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bea_Start_VO","3","","","","","","","","","",""
"emoji_bea_angry","","","sc/ui.sc","emoji_bea_angry","BeeSniper","","","","ANGRY","COMMON","ANGRY","Bea_Hurt_VO","0","","","","375","9","","","","",""
"emoji_bea_gg","","","sc/ui.sc","emoji_bea_gg","BeeSniper","","","","SPECIAL","RARE","GG","Bea_Lead_VO","1","","","","750","19","","","","",""
"emoji_bea_sad","","","sc/ui.sc","emoji_bea_sad","BeeSniper","","","","SAD","COMMON","SAD","Bea_Die_VO","1","","","","375","9","","","","",""
"emoji_bea_thanks","","","sc/ui.sc","emoji_bea_thanks","BeeSniper","","","","SPECIAL","EPIC","THANKS","Bea_Lead_VO","2","","","","1500","39","","","","",""
"emoji_bibi","","","sc/ui.sc","emoji_bibi","Baseball","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bibi_kill_vo","1","","","","","","","","","",""
"emoji_bibi_angry","","","sc/ui.sc","emoji_bibi_angry","Baseball","","","","ANGRY","COMMON","ANGRY","Bibi_hurt_vo","1","","","","375","9","","","","",""
"emoji_bibi_gg","","","sc/ui.sc","emoji_bibi_gg","Baseball","","","","SPECIAL","RARE","GG","Bibi_kill_vo","3","","","","750","19","","","","",""
"emoji_bibi_sad","","","sc/ui.sc","emoji_bibi_sad","Baseball","","","","SAD","COMMON","SAD","Bibi_die_vo","0","","","","375","9","","","","",""
"emoji_bibi_thanks","","","sc/ui.sc","emoji_bibi_thanks","Baseball","","","","SPECIAL","EPIC","THANKS","Bibi_lead_vo","3","","","","1500","39","","","","",""
"emoji_blank","","","sc/ui.sc","emoji_blank","","","","","SAD","DEFAULT","SAD","","","","","","","","","","","",""
"emoji_bo","","","sc/ui.sc","emoji_bo","BowDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bo_ulti_vo","2","","","","","","","","","",""
"emoji_bo_angry","","","sc/ui.sc","emoji_bo_angry","BowDude","","","","ANGRY","COMMON","ANGRY","Bo_hurt","3","","","","375","9","","","","",""
"emoji_bo_gg","","","sc/ui.sc","emoji_bo_gg","BowDude","","","","SPECIAL","RARE","GG","Bo_ulti_vo","0","","","","750","19","","","","",""
"emoji_bo_sad","","","sc/ui.sc","emoji_bo_sad","BowDude","","","","SAD","COMMON","SAD","Bo_hurt","2","","","","375","9","","","","",""
"emoji_bo_thanks","","","sc/ui.sc","emoji_bo_thanks","BowDude","","","","SPECIAL","EPIC","THANKS","Bo_start","0","","","","1500","39","","","","",""
"emoji_bothered","","","sc/ui.sc","emoji_bothered","","","","","PLAYER_2","DEFAULT","ANGRY","","","","","TRUE","","","","","","",""
"emoji_brock","","","sc/ui.sc","emoji_brock","RocketGirl","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Brock_start_vo","2","","","","","","","","","",""
"emoji_brock_angry","","","sc/ui.sc","emoji_brock_angry","RocketGirl","","","","ANGRY","COMMON","ANGRY","Brock_hurt_vo","4","","","","375","9","","","","",""
"emoji_brock_gg","","","sc/ui.sc","emoji_brock_gg","RocketGirl","","","","SPECIAL","RARE","GG","Brock_kill_vo","3","","","","750","19","","","","",""
"emoji_brock_sad","","","sc/ui.sc","emoji_brock_sad","RocketGirl","","","","SAD","COMMON","SAD","Brock_hurt_vo","0","","","","375","9","","","","",""
"emoji_brock_thanks","","","sc/ui.sc","emoji_brock_thanks","RocketGirl","","","","SPECIAL","EPIC","THANKS","Brock_start_vo","3","","","","1500","39","","","","",""
"emoji_bull","","","sc/ui.sc","emoji_bull","BullDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Bull_start","2","","","","","","","","","",""
"emoji_bull_angry","","","sc/ui.sc","emoji_bull_angry","BullDude","","","","ANGRY","COMMON","ANGRY","Bull_ulti","2","","","","375","9","","","","",""
"emoji_bull_gg","","","sc/ui.sc","emoji_bull_gg","BullDude","","","","SPECIAL","RARE","GG","Bull_start","1","","","","750","19","","","","",""
"emoji_bull_sad","","","sc/ui.sc","emoji_bull_sad","BullDude","","","","SAD","COMMON","SAD","Bull_die","3","","","","375","9","","","","",""
"emoji_bull_thanks","","","sc/ui.sc","emoji_bull_thanks","BullDude","","","","SPECIAL","EPIC","THANKS","Bull_lead","0","","","","1500","39","","","","",""
"emoji_carl","","","sc/ui.sc","emoji_carl","Whirlwind","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Carl_start_vo","0","","","","","","","","","",""
"emoji_carl_angry","","","sc/ui.sc","emoji_carl_angry","Whirlwind","","","","ANGRY","COMMON","ANGRY","Carl_hurt_vo","2","","","","375","9","","","","",""
"emoji_carl_gg","","","sc/ui.sc","emoji_carl_gg","Whirlwind","","","","SPECIAL","RARE","GG","Carl_start_vo","1","","","","750","19","","","","",""
"emoji_carl_sad","","","sc/ui.sc","emoji_carl_sad","Whirlwind","","","","SAD","COMMON","SAD","Carl_die_vo","0","","","","375","9","","","","",""
"emoji_carl_thanks","","","sc/ui.sc","emoji_carl_thanks","Whirlwind","","","","SPECIAL","EPIC","THANKS","Carl_start_vo","2","","","","1500","39","","","","",""
"emoji_colt","","","sc/ui.sc","emoji_colt","Gunslinger","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Hotshot_Start","1","","","","","","","","","",""
"emoji_colt_angry","","","sc/ui.sc","emoji_colt_angry","Gunslinger","","","","ANGRY","COMMON","ANGRY","Hotshot_Takedamge_Vo","2","","","","375","9","","","","",""
"emoji_colt_gg","","","sc/ui.sc","emoji_colt_gg","Gunslinger","","","","SPECIAL","RARE","GG","Hotshot_Lead","4","","","","750","19","","","","",""
"emoji_colt_sad","","","sc/ui.sc","emoji_colt_sad","Gunslinger","","","","SAD","COMMON","SAD","Hotshot_Takedamge_Vo","5","","","","375","9","","","","",""
"emoji_colt_thanks","","","sc/ui.sc","emoji_colt_thanks","Gunslinger","","","","SPECIAL","EPIC","THANKS","Hotshot_Start","2","","","","1500","39","","","","",""
"emoji_crow","","","sc/ui.sc","emoji_crow","Crow","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Crow_Start","0","","","","","","","","","",""
"emoji_crow_angry","","","sc/ui.sc","emoji_crow_angry","Crow","","","","ANGRY","COMMON","ANGRY","Crow_Takedamage","4","","","","375","9","","","","",""
"emoji_crow_gg","","","sc/ui.sc","emoji_crow_gg","Crow","","","","SPECIAL","RARE","GG","Crow_Kill","2","","","","750","19","","","","",""
"emoji_crow_sad","","","sc/ui.sc","emoji_crow_sad","Crow","","","","SAD","COMMON","SAD","Crow_Takedamage","0","","","","375","9","","","","",""
"emoji_crow_thanks","","","sc/ui.sc","emoji_crow_thanks","Crow","","","","SPECIAL","EPIC","THANKS","Crow_Lead","1","","","","1500","39","","","","",""
"emoji_darryl","","","sc/ui.sc","emoji_darryl","BarrelBot","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Darryl_Start_VO","3","","","","","","","","","",""
"emoji_darryl_angry","","","sc/ui.sc","emoji_darryl_angry","BarrelBot","","","","ANGRY","COMMON","ANGRY","Darryl_Hurt_VO","5","","","","375","9","","","","",""
"emoji_darryl_gg","","","sc/ui.sc","emoji_darryl_gg","BarrelBot","","","","SPECIAL","RARE","GG","Darryl_Start_VO","4","","LoginCalendarDarryl1","","750","19","","","","",""
"emoji_darryl_sad","","","sc/ui.sc","emoji_darryl_sad","BarrelBot","","","","SAD","COMMON","SAD","Darryl_Die_VO","5","","","","375","9","","","","",""
"emoji_darryl_thanks","","","sc/ui.sc","emoji_darryl_thanks","BarrelBot","","","","SPECIAL","EPIC","THANKS","Darryl_Start_VO","6","","LoginCalendarDarryl2","","1500","39","","","","",""
"emoji_dynamike","","","sc/ui.sc","emoji_dynamike","TntDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Tnt_guy_start_vo","1","","","","","","","","","",""
"emoji_dynamike_angry","","","sc/ui.sc","emoji_dynamike_angry","TntDude","","","","ANGRY","COMMON","ANGRY","Tnt_guy_hurt_vo","2","","","","375","9","","","","",""
"emoji_dynamike_gg","","","sc/ui.sc","emoji_dynamike_gg","TntDude","","","","SPECIAL","RARE","GG","Tnt_guy_start_vo","2","","","","750","19","","","","",""
"emoji_dynamike_sad","","","sc/ui.sc","emoji_dynamike_sad","TntDude","","","","SAD","COMMON","SAD","Tnt_guy_hurt_vo","3","","","","375","9","","","","",""
"emoji_dynamike_thanks","","","sc/ui.sc","emoji_dynamike_thanks","TntDude","","","","SPECIAL","EPIC","THANKS","Tnt_guy_lead_vo","0","","","","1500","39","","","","",""
"emoji_ecstatic","","","sc/ui.sc","emoji_ecstatic","","","","","HAPPY","DEFAULT","HAPPY","","","","","","","","","","","",""
"emoji_emz","","","sc/ui.sc","emoji_emz","Mummy","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Emz_start_vo","1","","","","","","","","","",""
"emoji_emz_angry","","","sc/ui.sc","emoji_emz_angry","Mummy","","","","ANGRY","COMMON","ANGRY","Emz_hurt_vo","3","","","","375","9","","","","",""
"emoji_emz_gg","","","sc/ui.sc","emoji_emz_gg","Mummy","","","","SPECIAL","RARE","GG","Emz_lead_vo","3","","","","750","19","","","","",""
"emoji_emz_sad","","","sc/ui.sc","emoji_emz_sad","Mummy","","","","SAD","COMMON","SAD","Emz_hurt_vo","4","","","","375","9","","","","",""
"emoji_emz_thanks","","","sc/ui.sc","emoji_emz_thanks","Mummy","","","","SPECIAL","EPIC","THANKS","Emz_lead_vo","2","","","","1500","39","","","","",""
"emoji_frank","","","sc/ui.sc","emoji_frank","HammerDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Frank_Gadget","0","","","","","","","","","",""
"emoji_frank_angry","","","sc/ui.sc","emoji_frank_angry","HammerDude","","","","ANGRY","COMMON","ANGRY","Frank_vo","5","","","","375","9","","","","",""
"emoji_frank_gg","","","sc/ui.sc","emoji_frank_gg","HammerDude","","","","SPECIAL","RARE","GG","Frank_vo","2","","","","750","19","","","","",""
"emoji_frank_sad","","","sc/ui.sc","emoji_frank_sad","HammerDude","","","","SAD","COMMON","SAD","Frank_vo","1","","","","375","9","","","","",""
"emoji_frank_thanks","","","sc/ui.sc","emoji_frank_thanks","HammerDude","","","","SPECIAL","EPIC","THANKS","Frank_vo","2","","","","1500","39","","","","",""
"emoji_frenzied","","","sc/ui.sc","emoji_frenzied","","","","","ANGRY","DEFAULT","ANGRY","","","","","","","","","","","",""
"emoji_gene","","","sc/ui.sc","emoji_gene","HookDude","","","TRUE","DEFAULT","DEFAULT","DEFAULT","Gene_vo","2","","","","","","","","","",""
"emoji_gene_angry","","","sc/ui.sc","emoji_gene_angry","HookDude","","","","ANGRY","COMMON","ANGRY","Gene_vo","4","","","","375","9","","","","",""
"emoji_gene_gg","","","sc/ui.sc","emoji_gene_gg","HookDude","","","","SPECIAL","RARE","GG","Gene_vo","6","","","","750","19","","","","",""
"emoji_gene_sad","","","sc/ui.sc","emoji_gene_sad","HookDude","","","","SAD","COMMON","SAD","Gene_vo","12","","","","375","9","","","","",""
"emoji_gene_thanks","","","sc/ui.sc","emoji_gene_thanks","HookDude","","","","SPECIAL","EPIC","THANKS","Gene_vo","9","","","","1500","39","","","","",""
"emoji_grin","","","sc/ui.sc","emoji_grin","","","","","HAPPY","DEFAULT","HAPPY","","","","","","","","","","","",""
