"Name","TicketsInRareDraw","TicketsInSuperRareDraw","TicketsInEpicDraw","TicketsInMythicDraw","TicketsInLegendaryDraw","TicketsInOverchargeDraw","TypeName","TypeValue","TypePriceMin","TypePriceMax","AmountMin","AmountMax","FallbackTypeName","FallbackAmount"
"String","int","int","int","int","int","int","String","int","int","int","int","int","String","int"
"Coins S",90,,,,,,"Coins",,,,50,62,,
"Coins M",,64,,,,,"Coins",,,,100,120,,
"Coins L",,,100,,,,"Coins",,,,200,230,,
"Coins XL",,,,30,,,"Coins",,,,500,610,,
"Gadget",,,,,37,,"Gadget",,,,,,"Coins",1000
"Star Power",,,,,22,,"StarPower",,,,,,"Coins",1000
"Gears SR",,,,,,,"Gear",2,,,,,"Coins",500
"Gears Mythic",,,,,,,"Gear",4,,,,,"Coins",500
"Power Points S",70,,,,,,"PowerPoints",,,,20,30,,
"Power Points M",,50,,,,,"PowerPoints",,,,50,62,,
"Power Points L",,,55,,,,"PowerPoints",,,,100,120,,
"Power Points XL",,,,30,,,"PowerPoints",,,,200,230,,
"Credits S",5,,,,,,"Credits",,,,20,28,,
"Credits M",,4,,,,,"Credits",,,,50,60,,
"Credits L",,,,,,,"Credits",,,,100,140,,
"Credits XL",,,,,,,"Credits",,,,180,220,,
"Brawler Rare",,,7,,,,"Brawler",1,,,,,"Credits",100
"Brawler Super Rare",,,3,,,,"Brawler",2,,,,,"Credits",250
"Brawler Epic",,,,7,9,,"Brawler",3,,,,,"Credits",500
"Brawler Mythic",,,,2,3,,"Brawler",4,,,,,"Credits",1000
"Brawler Legendary",,,,,2,,"Brawler",5,,,,,"Credits",2000
"Bling S",5,,,,,,"Bling",,,,20,28,,
"Bling M",,5,,,,,"Bling",,,,50,60,,
"Bling L",,,,,,,"Bling",,,,100,140,,
"Bling XL",,,,,,,"Bling",,,,180,220,,
"Skin 1-29 Gem",,,,10,10,,"Skin",,1,29,,,"Credits",200
"Skin 30-79 Gem",,,,2,6,,"Skin",,30,79,,,"Credits",250
"Skin 80-149 Gem",,,,,4,,"Skin",,80,149,,,"Credits",300
"Pin 1-9 Gem",,,10,25,,,"Pin",,1,9,,,"Credits",100
"Pin 10-29 Gem",,,,10,,,"Pin",,10,29,,,"Credits",150
"Pin 30-39 Gem",,,,,12,,"Pin",,30,999,,,"Credits",200
"Spray 1-19 Gem",,,5,5,,,"Spray",,1,19,,,"Credits",100
"Spray 20-29 Gem",,,,,5,,"Spray",,20,999,,,"Credits",150
"Profile Pic",,,7,14,,,"ProfilePic",,,,,,"Credits",200
"Token Doubler S",45,,,,,,"TokenDoubler",,,,100,110,"Credits",100
"Skin 150-199 Gem",,,,,,,"Skin",,150,199,,,"Bling",100
"Skin 200-999 Gem",,,,,,,"Skin",,200,999,,,"Bling",100
"Token Doubler M",,28,,,,,"TokenDoubler",,,,200,215,"Credits",100
"Token Doubler L",,,40,,,,"TokenDoubler",,,,500,610,"Credits",100
"Overcharge",,,,,6,1,"Overcharge",,,,,,"Coins",1000
